0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-4.31363310299095e-12 	 -9.51056516313552e-01   3.09016994370000e-01 	-7.17445952769007e-10	 -2.37848920695409e-09	-2.05831861406026e-19		1.00000000000000e+00
6.00000000000000e-02    	-1.35436331789639e-10 	 -9.51056516844496e-01   3.09016994370000e-01 	-1.11613693619791e-08	 -4.89171716198612e-08	-1.16470524345828e-16		1.00000000000000e+00
9.00000000000000e-02    	-9.91483515603792e-10 	 -9.51056521202121e-01   3.09016994370000e-01 	-5.35702965776543e-08	 -2.96517607915662e-07	-4.96555425244492e-15		1.00000000000005e+00
1.20000000000000e-01    	-3.95300099700165e-09 	 -9.51056539818320e-01   3.09016994369999e-01 	-1.56100155171345e-07	 -1.06848066487083e-06	-7.09354970585740e-14		1.00000000000058e+00
1.50000000000000e-01    	-1.11798818517307e-08 	 -9.51056595507793e-01   3.09016994369992e-01 	-3.40121279024039e-07	 -2.86500907757100e-06	-5.47037281331924e-13		1.00000000000416e+00
1.80000000000000e-01    	-2.51765742768269e-08 	 -9.51056728352005e-01   3.09016994369949e-01 	-6.04458017287412e-07	 -6.32689234527106e-06	-2.82286750119312e-12		1.00000000002020e+00
2.10000000000000e-01    	-4.78646268726449e-08 	 -9.51056998764140e-01   3.09016994369766e-01 	-9.08689942330244e-07	 -1.21507539358949e-05	-1.09353359734989e-11		1.00000000007423e+00
2.40000000000000e-01    	-7.91703062219184e-08 	 -9.51057487328606e-01   3.09016994369146e-01 	-1.15794112059333e-06	 -2.09599305534243e-05	-3.40504863109680e-11		1.00000000022033e+00
2.70000000000000e-01    	-1.15209754479568e-07 	 -9.51058290215896e-01   3.09016994367408e-01 	-1.19167517319909e-06	 -3.31406795204389e-05	-8.89984574525217e-11		1.00000000054986e+00
3.00000000000000e-01    	-1.46228134476559e-07 	 -9.51059509342698e-01   3.09016994363238e-01 	-7.78870508727369e-07	 -4.86584975098087e-05	-2.00895690269769e-10		1.00000000118413e+00
3.30000000000000e-01    	-1.54515305361714e-07 	 -9.51061236955150e-01   3.09016994354489e-01 	3.78431452869434e-07	 -6.68734318829735e-05	-3.99061626164369e-10		1.00000000223610e+00
3.60000000000000e-01    	-1.12571785213190e-07 	 -9.51063534924171e-01   3.09016994338200e-01 	2.63181922120498e-06	 -8.63759817193942e-05	-7.05862780100536e-10		1.00000000373387e+00
3.90000000000000e-01    	1.81712555575331e-08 	 -9.51066409709649e-01   3.09016994311062e-01 	6.36286079210106e-06	 -1.04866211614849e-04	-1.11868893068240e-09		1.00000000551870e+00
4.20000000000000e-01    	2.87770582834806e-07 	 -9.51069784620865e-01   3.09016994270471e-01 	1.19494701166451e-05	 -1.19097839022320e-04	-1.59031495352243e-09		1.00000000716354e+00
4.50000000000000e-01    	7.57046682885884e-07 	 -9.51073471615944e-01   3.09016994216052e-01 	1.97236689941342e-05	 -1.24906233779002e-04	-2.01968281430604e-09		1.00000000799530e+00
4.80000000000000e-01    	1.49549193867070e-06 	 -9.51077145385048e-01   3.09016994151075e-01 	2.99231281072149e-05	 -1.17334552483396e-04	-2.27156213976813e-09		1.00000000733140e+00
5.10000000000000e-01    	2.57767174889818e-06 	 -9.51080322796527e-01   3.09016994082584e-01 	4.26397676111621e-05	 -9.08658265021456e-05	-2.24637153765669e-09		1.00000000503737e+00
5.40000000000000e-01    	4.07808858211983e-06 	 -9.51082350906351e-01   3.09016994018458e-01 	5.77693921242561e-05	 -3.97610702342591e-05	-2.01703147896259e-09		1.00000000245912e+00
5.70000000000000e-01    	6.06460518634347e-06 	 -9.51082406605110e-01   3.09016993959297e-01 	7.49667485897063e-05	 4.15051660719349e-05	-2.03531164847331e-09		1.00000000367135e+00
6.00000000000000e-01    	8.59065693048198e-06 	 -9.51079510585015e-01   3.09016993883318e-01 	9.36104783829810e-05	 1.57729354547067e-04	-3.38533664726259e-09		1.00000001682074e+00
6.30000000000000e-01    	1.16866143456457e-05 	 -9.51072557650661e-01   3.09016993723582e-01 	1.12782176077009e-04	 3.12409916537806e-04	-8.02996700710733e-09		1.00000005515989e+00
6.60000000000000e-01    	1.53507754712171e-05 	 -9.51060364489798e-01   3.09016993338966e-01 	1.31263197481590e-04	 5.07158559059942e-04	-1.89640820568430e-08		1.00000013721991e+00
6.90000000000000e-01    	1.95405652062661e-05 	 -9.51041734900876e-01   3.09016992483264e-01 	1.47552046469752e-04	 7.41132302645936e-04	-4.01682493582585e-08		1.00000028552431e+00
7.20000000000000e-01    	2.41645895258715e-05 	 -9.51015541197707e-01   3.09016990779992e-01 	1.59904202545584e-04	 1.01053061526094e-03	-7.62591731780575e-08		1.00000052337061e+00
7.50000000000000e-01    	2.90762328540333e-05 	 -9.50980819148632e-01   3.09016987713139e-01 	1.66395216809717e-04	 1.30820362610502e-03	-1.31770063642039e-07		1.00000086954168e+00
7.80000000000000e-01    	3.40694960949187e-05 	 -9.50936872440761e-01   3.09016982645084e-01 	1.65006864592669e-04	 1.62341604721876e-03	-2.10069179660774e-07		1.00000133135260e+00
8.10000000000000e-01    	3.88777510042838e-05 	 -9.50883381379309e-01   3.09016974871069e-01 	1.53735113493827e-04	 1.94180701067010e-03	-3.12033283169897e-07		1.00000189712272e+00
8.40000000000000e-01    	4.31760335447843e-05 	 -9.50820509430585e-01   3.09016963714288e-01 	1.30717604935671e-04	 2.24557854539331e-03	-4.34717944485564e-07		1.00000252985194e+00
8.70000000000000e-01    	4.65874124507435e-05 	 -9.50749000384301e-01   3.09016948656566e-01 	9.43771668241355e-05	 2.51393506778053e-03	-5.70380644220773e-07		1.00000316438344e+00
9.00000000000000e-01    	4.86938442333554e-05 	 -9.50670258427512e-01   3.09016929487795e-01 	4.35764654828556e-05	 2.72378342318698e-03	-7.06279903722956e-07		1.00000371044089e+00
9.30000000000000e-01    	4.90517540817913e-05 	 -9.50586403355136e-01   3.09016906444555e-01 	-2.22228178371969e-05	 2.85068823732295e-03	-8.25658008524901e-07		1.00000406345073e+00
9.60000000000000e-01    	4.72123538611808e-05 	 -9.50500293538642e-01   3.09016880297731e-01 	-1.02804943104062e-04	 2.87006130419772e-03	-9.10188609285945e-07		1.00000412390228e+00
9.90000000000000e-01    	4.27464155810442e-05 	 -9.50415510160041e-01   3.09016852343890e-01 	-1.97060097216704e-04	 2.75854724735780e-03	-9.43924495244941e-07		1.00000382420093e+00
1.02000000000000e+00    	3.52728591825200e-05 	 -9.50336297593095e-01   3.09016824259144e-01 	-3.02872459825142e-04	 2.49555161366562e-03	-9.18432961253807e-07		1.00000315975022e+00
1.05000000000000e+00    	2.44900959886874e-05 	 -9.50267456651311e-01   3.09016797789560e-01 	-4.17051024541239e-04	 2.06484280112704e-03	-8.38405380655470e-07		1.00000221875157e+00
1.08000000000000e+00    	1.02086174995207e-05 	 -9.50214189670167e-01   3.09016774279379e-01 	-5.35318388180221e-04	 1.45614669493308e-03	-7.26651782951999e-07		1.00000120346403e+00
1.11000000000000e+00    	-7.61712537568291e-06 	 -9.50181898970700e-01   3.09016754075249e-01 	-6.52371585788860e-04	 6.66643471902926e-04	-6.27137582031718e-07		1.00000043500120e+00
1.14000000000000e+00    	-2.88598873277324e-05 	 -9.50175943059507e-01   3.09016735886083e-01 	-7.62025757406160e-04	 -2.97729441779437e-04	-6.04687349633135e-07		1.00000033466316e+00
1.17000000000000e+00    	-5.31964183017437e-05 	 -9.50201357829698e-01   3.09016716216250e-01 	-8.57445744202480e-04	 -1.42126507742908e-03	-7.40248387714228e-07		1.00000137760314e+00
1.20000000000000e+00    	-8.00924985133202e-05 	 -9.50262552889749e-01   3.09016689014806e-01 	-9.31462767488723e-04	 -2.67785764516735e-03	-1.12120867136681e-06		1.00000401926478e+00
1.23000000000000e+00    	-1.08798613952106e-04 	 -9.50362995796256e-01   3.09016645685756e-01 	-9.76963756356338e-04	 -4.03083847687758e-03	-1.82716762797417e-06		1.00000860102318e+00
1.26000000000000e+00    	-1.38358141223434e-04 	 -9.50504899224026e-01   3.09016575576196e-01 	-9.87330756958698e-04	 -5.43334344562192e-03	-2.91265496866565e-06		1.00001524790950e+00
1.29000000000000e+00    	-1.67629088536892e-04 	 -9.50688927792890e-01   3.09016466997426e-01 	-9.56898676534115e-04	 -6.82925656810459e-03	-4.38939878927701e-06		1.00002377692714e+00
1.32000000000000e+00    	-1.95319376161175e-04 	 -9.50913942217484e-01   3.09016308741992e-01 	-8.81393088532006e-04	 -8.15474798512708e-03	-6.21162224640287e-06		1.00003363783778e+00
1.35000000000000e+00    	-2.20034440534619e-04 	 -9.51176798515921e-01   3.09016091947726e-01 	-7.58307562862342e-04	 -9.34039412528590e-03	-8.26824619839239e-06		1.00004390806661e+00
1.38000000000000e+00    	-2.40334760699852e-04 	 -9.51472219114251e-01   3.09015812046090e-01 	-5.87183164419592e-04	 -1.03138351038802e-02	-1.03855782509418e-05		1.00005335861967e+00
1.41000000000000e+00    	-2.54799907592179e-04 	 -9.51792750784861e-01   3.09015470439448e-01 	-3.69761792175821e-04	 -1.10028911404694e-02	-1.23429551794529e-05		1.00006059840871e+00
1.44000000000000e+00    	-2.62095076116486e-04 	 -9.52128821493748e-01   3.09015075504872e-01 	-1.09999302999972e-04	 -1.13390280158158e-02	-1.39018967073167e-05		1.00006429085807e+00
1.47000000000000e+00    	-2.61035910267975e-04 	 -9.52468904502017e-01   3.09014642541990e-01 	1.86057832048386e-04	 -1.12610333263993e-02	-1.48468161269718e-05		1.00006342084366e+00
1.50000000000000e+00    	-2.50647837269285e-04 	 -9.52799793617973e-01   3.09014192382298e-01 	5.10509949049392e-04	 -1.07187423069262e-02	-1.50325780937950e-05		1.00005757448410e+00
1.53000000000000e+00    	-2.30217059281883e-04 	 -9.53106988505369e-01   3.09013748557250e-01 	8.53917151314273e-04	 -9.67663569490641e-03	-1.44316876210742e-05		1.00004718221749e+00
1.56000000000000e+00    	-1.99331679227912e-04 	 -9.53375183610560e-01   3.09013333166814e-01 	1.20563904970418e-03	 -8.11712351489829e-03	-1.31721869896771e-05		1.00003367014975e+00
1.59000000000000e+00    	-1.57912934629239e-04 	 -9.53588848769647e-01   3.09012961867395e-01 	1.55415112252404e-03	 -6.04332840324110e-03	-1.15569407692306e-05		1.00001946847922e+00
1.62000000000000e+00    	-1.06237887642097e-04 	 -9.53732884095302e-01   3.09012638662980e-01 	1.88729662369144e-03	 -3.48119054185694e-03	-1.00562698925939e-05		1.00000784030790e+00
1.65000000000000e+00    	-4.49558573007164e-05 	 -9.53793326542183e-01   3.09012351383368e-01 	2.19245244813872e-03	 -4.80733594902951e-04	-9.26897590722158e-06		1.00000251901605e+00
1.68000000000000e+00    	2.48988947967977e-05 	 -9.53758080869871e-01   3.09012068816240e-01 	2.45661502904424e-03	 2.88364277068147e-03	-9.85148236626358e-06		1.00000717519930e+00
1.71000000000000e+00    	1.01896378465103e-04 	 -9.53617643872758e-01   3.09011740383978e-01 	2.66644389139228e-03	 6.51394346988771e-03	-1.24205756322414e-05		1.00002477046162e+00
1.74000000000000e+00    	1.84201718045946e-04 	 -9.53365788074260e-01   3.09011299000880e-01 	2.80832994925695e-03	 1.02904889483761e-02	-1.74412063790824e-05		1.00005688897387e+00
1.77000000000000e+00    	2.69569674639288e-04 	 -9.53000169928806e-01   3.09010667320192e-01 	2.86857622415827e-03	 1.40749652226230e-02	-2.51159591859905e-05		1.00010316168203e+00
1.80000000000000e+00    	3.55347599087913e-04 	 -9.52522828203443e-01   3.09009767025482e-01 	2.83378398553996e-03	 1.77145695816294e-02	-3.52960029141392e-05		1.00016090583113e+00
1.83000000000000e+00    	4.38494126438783e-04 	 -9.51940540730110e-01   3.09008530211993e-01 	2.69152274317938e-03	 2.10471559546897e-02	-4.74336399449597e-05		1.00022508932660e+00
1.86000000000000e+00    	5.15622728143542e-04 	 -9.51265012023249e-01   3.09006911339531e-01 	2.43132644923164e-03	 2.39072344846376e-02	-6.05933732113498e-05		1.00028869376824e+00
1.89000000000000e+00    	5.83079694831153e-04 	 -9.50512870016334e-01   3.09004897827947e-01 	2.04600294810476e-03	 2.61326365717878e-02	-7.35316240706128e-05		1.00034349412047e+00
1.92000000000000e+00    	6.37064763745249e-04 	 -9.49705456896132e-01   3.09002517209345e-01 	1.53317543162561e-03	 2.75716214703897e-02	-8.48453923662659e-05		1.00038120341006e+00
1.95000000000000e+00    	6.73799195674560e-04 	 -9.48868406185049e-01   3.08999838921065e-01 	8.96903156510619e-04	 2.80901735962318e-02	-9.31783873140973e-05		1.00039485752884e+00
1.98000000000000e+00    	6.89740714469220e-04 	 -9.48031005450540e-01   3.08996969350583e-01 	1.49165930793530e-04	 2.75792194610240e-02	-9.74611053032437e-05		1.00038025025248e+00
2.01000000000000e+00    	6.81837752603049e-04 	 -9.47225351187772e-01   3.08994039605636e-01 	-6.89044564107961e-04	 2.59614769241054e-02	-9.71509321432646e-05		1.00033718440574e+00
2.04000000000000e+00    	6.47807635051379e-04 	 -9.46485309737160e-01   3.08991186601590e-01 	-1.58729231373025e-03	 2.31976348005689e-02	-9.24316274787657e-05		1.00027029262137e+00
2.07000000000000e+00    	5.86415710914380e-04 	 -9.45845306029082e-01   3.08988529300068e-01 	-2.50615675466251e-03	 1.92915471872201e-02	-8.43303515374542e-05		1.00018920796326e+00
2.10000000000000e+00    	4.97726258422272e-04 	 -9.45338971010231e-01   3.08986143117981e-01 	-3.39874103342205e-03	 1.42941168436866e-02	-7.47160880032541e-05		1.00010793357490e+00
2.13000000000000e+00    	3.83292595396021e-04 	 -9.44997689055174e-01   3.08984036441567e-01 	-4.21326550534828e-03	 8.30554218116175e-03	-6.61564649776313e-05		1.00004336806652e+00
2.16000000000000e+00    	2.46254487440386e-04 	 -9.44849098172837e-01   3.08982133605449e-01 	-4.89663162190397e-03	 1.47562262862175e-03	-6.16299860078309e-05		1.00001307904529e+00
2.19000000000000e+00    	9.13165699419838e-05 	 -9.44915607248745e-01   3.08980268442207e-01 	-5.39867605292816e-03	 -5.99813203088776e-03	-6.41155133880390e-05		1.00003256317071e+00
2.22000000000000e+00    	-7.54076749111973e-05 	 -9.45213004005647e-01   3.08978191463705e-01 	-5.67668182328596e-03	 -1.38747535653865e-02	-7.61069175854174e-05		1.00011236333488e+00
2.25000000000000e+00    	-2.46686543691021e-04 	 -9.45749232462233e-01   3.08975591924057e-01 	-5.69960265001604e-03	 -2.18764652274065e-02	-9.91232978624102e-05		1.00025550487195e+00
2.28000000000000e+00    	-4.14577546632916e-04 	 -9.46523417267498e-01   3.08972133626620e-01 	-5.45141745760780e-03	 -2.96976078736594e-02	-1.33298815429514e-04		1.00045573796860e+00
2.31000000000000e+00    	-5.70916045020466e-04 	 -9.47525203214038e-01   3.08967500732186e-01 	-4.93308451726643e-03	 -3.70155507340404e-02	-1.77136456604083e-04		1.00069701593256e+00
2.34000000000000e+00    	-7.07835083182331e-04 	 -9.48734461931665e-01   3.08961447476634e-01 	-4.16271360717956e-03	 -4.35031403156257e-02	-2.27494573350874e-04		1.00095449604649e+00
2.37000000000000e+00    	-8.18258460082687e-04 	 -9.50121396478578e-01   3.08953844104818e-01 	-3.17380554174366e-03	 -4.88421263455355e-02	-2.79844565529601e-04		1.00119713576326e+00
2.40000000000000e+00    	-8.96309640487217e-04 	 -9.51647051876959e-01   3.08944710864594e-01 	-2.01168881267561e-03	 -5.27369470537562e-02	-3.28796631105166e-04		1.00139170187477e+00
2.43000000000000e+00    	-9.37588689805663e-04 	 -9.53264219510076e-01   3.08934232775599e-01 	-7.28568604024106e-04	 -5.49282607514026e-02	-3.68844743304516e-04		1.00150775368333e+00
2.46000000000000e+00    	-9.39286924655441e-04 	 -9.54918708696171e-01   3.08922750049618e-01 	6.22152738659599e-04	 -5.52056638142115e-02	-3.95239637203553e-04		1.00152294462262e+00
2.49000000000000e+00    	-9.00131976399096e-04 	 -9.56550950663559e-01   3.08910722237544e-01 	1.99146310086953e-03	 -5.34191118856562e-02	-4.04866787324480e-04		1.00142784630599e+00
