0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.61280168722204e-12 	 3.00000000000533e+00   -7.34788079490000e-16 	2.67858215615191e-10	 1.06555946882107e-09	3.10076126376591e-35		1.00000000000000e+00
6.00000000000000e-02    	5.02708805569663e-11 	 3.00000000033792e+00   -7.34788079490000e-16 	4.13038309839970e-09	 3.36410317030074e-08	1.50037429124298e-32		1.00000000000000e+00
9.00000000000000e-02    	3.65193946094817e-10 	 3.00000000378571e+00   -7.34788079490000e-16 	1.96340865430710e-08	 2.49877420493767e-07	5.23820097729367e-31		1.00000000000003e+00
1.20000000000000e-01    	1.44377503809059e-09 	 3.00000002078458e+00   -7.34788079490000e-16 	5.65830332404685e-08	 1.02092943045514e-06	6.05514751111728e-30		1.00000000000052e+00
1.50000000000000e-01    	4.04423935348402e-09 	 3.00000007696173e+00   -7.34788079490000e-16 	1.21636888861997e-07	 2.99343744708511e-06	3.70526024087276e-29		1.00000000000449e+00
1.80000000000000e-01    	9.00404460850103e-09 	 3.00000022154853e+00   -7.34788079489997e-16 	2.12387154111188e-07	 7.08892329027876e-06	1.45819116648144e-28		1.00000000002515e+00
2.10000000000000e-01    	1.68753754277118e-08 	 3.00000053479491e+00   -7.34788079489989e-16 	3.11235162601928e-07	 1.44368614208015e-05	3.97334071023563e-28		1.00000000010426e+00
2.40000000000000e-01    	2.73854624418485e-08 	 3.00000113234546e+00   -7.34788079489972e-16 	3.79992683077598e-07	 2.62393430452931e-05	7.17807514849051e-28		1.00000000034432e+00
2.70000000000000e-01    	3.87574231640881e-08 	 3.00000216459061e+00   -7.34788079489951e-16 	3.56132948713549e-07	 4.35730293239358e-05	4.64590466267526e-28		1.00000000094937e+00
3.00000000000000e-01    	4.69540712590246e-08 	 3.00000380929480e+00   -7.34788079489969e-16 	1.51531973239329e-07	 6.71418625622897e-05	-2.41288704965763e-27		1.00000000225403e+00
3.30000000000000e-01    	4.49298992372443e-08 	 3.00000625631668e+00   -7.34788079490168e-16 	-3.45635904028678e-07	 9.70011223482745e-05	-1.26119175833696e-26		1.00000000470467e+00
3.60000000000000e-01    	2.19928235312259e-08 	 3.00000968394550e+00   -7.34788079490884e-16 	-1.26542933834424e-06	 1.32279253717572e-04	-3.88205248604921e-26		1.00000000874970e+00
3.90000000000000e-01    	-3.66143856743182e-08 	 3.00001422723613e+00   -7.34788079492790e-16 	-2.74696591513470e-06	 1.70927902288857e-04	-9.44924180182717e-26		1.00000001461195e+00
4.20000000000000e-01    	-1.49803582570557e-07 	 3.00001993967008e+00   -7.34788079497022e-16 	-4.92570896641741e-06	 2.09532322050326e-04	-1.97047893202156e-25		1.00000002196403e+00
