0.00000000000000e+00    	0.00000000000000e+00 	 -2.85316954890000e+00  	-9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-6.12071355599649e-13 	 -2.85316954889323e+00   -9.27050983120000e-01 	-9.99425570203822e-11	 9.78843394616804e-10	-9.43613466738809e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.74430397232936e-11 	 -2.85316954882761e+00   -9.27050983120000e-01 	-1.37718357988128e-09	 1.20530209844461e-09	9.40191294054105e-19		1.00000000000000e+00
9.00000000000000e-02    	-1.14037699126257e-10 	 -2.85316954944814e+00   -9.27050983120000e-01 	-5.68959922023412e-09	 -6.68700783766565e-08	-1.59324261469183e-16		1.00000000000000e+00
1.20000000000000e-01    	-3.95420414167006e-10 	 -2.85316955576218e+00   -9.27050983120000e-01 	-1.35310749442492e-08	 -4.35470177184225e-07	-5.88629180824136e-15		1.00000000000009e+00
1.50000000000000e-01    	-9.29086782545887e-10 	 -2.85316958324621e+00   -9.27050983120001e-01 	-2.14770389694454e-08	 -1.58073736373816e-06	-7.25451740052440e-14		1.00000000000125e+00
1.80000000000000e-01    	-1.59008654462978e-09 	 -2.85316966588282e+00   -9.27050983120008e-01 	-1.97485823555734e-08	 -4.26296301915943e-06	-5.06925316491898e-13		1.00000000000909e+00
2.10000000000000e-01    	-1.84007284484272e-09 	 -2.85316986465009e+00   -9.27050983120046e-01 	9.68515059017165e-09	 -9.51472760208063e-06	-2.45610318474325e-12		1.00000000004526e+00
2.40000000000000e-01    	-4.62451746039766e-10 	 -2.85317027476678e+00   -9.27050983120201e-01 	9.40751984615924e-08	 -1.85689709107182e-05	-9.15629798533100e-12		1.00000000017241e+00
2.70000000000000e-01    	4.71338892639911e-09 	 -2.85317102984759e+00   -9.27050983120714e-01 	2.69605258692965e-07	 -3.27251825972907e-05	-2.79334683148655e-11		1.00000000053550e+00
3.00000000000000e-01    	1.70573508693152e-08 	 -2.85317230116946e+00   -9.27050983122133e-01 	5.79616392879646e-07	 -5.31586769375647e-05	-7.25358959675795e-11		1.00000000141309e+00
3.30000000000000e-01    	4.13067285868986e-08 	 -2.85317429050152e+00   -9.27050983125538e-01 	1.07122956670556e-06	 -8.06847585756624e-05	-1.64586379515911e-10		1.00000000325559e+00
3.60000000000000e-01    	8.36090499961821e-08 	 -2.85317721540322e+00   -9.27050983132763e-01 	1.79038830729630e-06	 -1.15495937642993e-04	-3.32154434717563e-10		1.00000000667126e+00
3.90000000000000e-01    	1.51394500326388e-07 	 -2.85318128652251e+00   -9.27050983146506e-01 	2.77549820093841e-06	 -1.56895666223347e-04	-6.03177862682679e-10		1.00000001231198e+00
4.20000000000000e-01    	2.53040615062997e-07 	 -2.85318667719125e+00   -9.27050983170146e-01 	4.05001200688960e-06	 -2.03055847165675e-04	-9.92304717084384e-10		1.00000002062404e+00
4.50000000000000e-01    	3.97305162908944e-07 	 -2.85319348646553e+00   -9.27050983207069e-01 	5.61449577886024e-06	 -2.50827200637493e-04	-1.48211062672785e-09		1.00000003147290e+00
4.80000000000000e-01    	5.92522065994196e-07 	 -2.85320169763076e+00   -9.27050983259410e-01 	7.43890135203772e-06	 -2.95631171153816e-04	-2.00353338783256e-09		1.00000004372656e+00
5.10000000000000e-01    	8.45579600046629e-07 	 -2.85321113501612e+00   -9.27050983326300e-01 	9.45594004851293e-06	 -3.31459268326958e-04	-2.42500609624446e-09		1.00000005497733e+00
5.40000000000000e-01    	1.16072883549960e-06 	 -2.85322142266814e+00   -9.27050983402085e-01 	1.15565638568502e-05	 -3.51000567935849e-04	-2.56363926533325e-09		1.00000006166747e+00
5.70000000000000e-01    	1.53830088330323e-06 	 -2.85323194894944e+00   -9.27050983475396e-01 	1.35885663505505e-05	 -3.45910732614876e-04	-2.23282507303910e-09		1.00000005991944e+00
6.00000000000000e-01    	1.97344011471336e-06 	 -2.85324184139528e+00   -9.27050983530326e-01 	1.53591694695341e-05	 -3.07226683924224e-04	-1.33670796685457e-09		1.00000004731207e+00
6.30000000000000e-01    	2.45498204265943e-06 	 -2.85324995612815e+00   -9.27050983551174e-01 	1.66421330089868e-05	 -2.25920460626775e-04	-1.17118942554171e-11		1.00000002565851e+00
6.60000000000000e-01    	2.96461341435485e-06 	 -2.85325488576753e+00   -9.27050983531957e-01 	1.71894129925919e-05	 -9.35744493088177e-05	1.20108548980989e-09		1.00000000452583e+00
6.90000000000000e-01    	3.47644342621375e-06 	 -2.85325498906617e+00   -9.27050983491126e-01 	1.67467513360421e-05	 9.68512151312153e-05	1.18912753205524e-09		1.00000000483031e+00
7.20000000000000e-01    	3.95708621261931e-06 	 -2.85324844446529e+00   -9.27050983490528e-01 	1.50719021819157e-05	 3.50198943958410e-04	-1.83723165020228e-09		1.00000006143323e+00
7.50000000000000e-01    	4.36630694161022e-06 	 -2.85323332842341e+00   -9.27050983655785e-01 	1.19536330340225e-05	 6.68290709096877e-04	-1.03216290778946e-08		1.00000022337766e+00
7.80000000000000e-01    	4.65822269178404e-06 	 -2.85320771779243e+00   -9.27050984193211e-01 	7.22934362107619e-06	 1.04915772208027e-03	-2.71450890045732e-08		1.00000055039194e+00
8.10000000000000e-01    	4.78298520298030e-06 	 -2.85316981376740e+00   -9.27050985396770e-01 	7.99266178292868e-07	 1.48638274534670e-03	-5.51740668681822e-08		1.00000110466654e+00
8.40000000000000e-01    	4.68881948587731e-06 	 -2.85311808311873e+00   -9.27050987637901e-01 	-7.36417200300109e-06	 1.96861560356632e-03	-9.65767053933033e-08		1.00000193774894e+00
8.70000000000000e-01    	4.32426496213014e-06 	 -2.85305141063547e+00   -9.27050991332133e-01 	-1.72121546449730e-05	 2.47931927748138e-03	-1.51975479085888e-07		1.00000307365546e+00
9.00000000000000e-01    	3.64047639878149e-06 	 -2.85296925508284e+00   -9.27050996879491e-01 	-2.86193808310759e-05	 2.99679683011336e-03	-2.19578424837743e-07		1.00000449079510e+00
9.30000000000000e-01    	2.59349573710613e-06 	 -2.85287179962581e+00   -9.27051004581088e-01 	-4.13855740997003e-05	 3.49453839595745e-03	-2.94498610652524e-07		1.00000610673708e+00
9.60000000000000e-01    	1.14649800694989e-06 	 -2.85276008670534e+00   -9.27051014541232e-01 	-5.52350464634386e-05	 3.94191285572982e-03	-3.68512327002284e-07		1.00000777083381e+00
9.90000000000000e-01    	-7.27872414261154e-07 	 -2.85263612687649e+00   -9.27051026571968e-01 	-6.98104938285214e-05	 4.30521115789411e-03	-4.30500400687083e-07		1.00000926981544e+00
1.02000000000000e+00    	-3.04485383360756e-06 	 -2.85250297120790e+00   -9.27051040123450e-01 	-8.46580515681595e-05	 4.54902829229378e-03	-4.67748579047710e-07		1.00001035035924e+00
1.05000000000000e+00    	-5.80432585014767e-06 	 -2.85236473755307e+00   -9.27051054266933e-01 	-9.92027785178909e-05	 4.63794962174538e-03	-4.68146914171596e-07		1.00001076015116e+00
1.08000000000000e+00    	-8.98671489334308e-06 	 -2.85222658235789e+00   -9.27051067755565e-01 	-1.12717047286339e-04	 4.53848573160275e-03	-4.23134018906421e-07		1.00001030522593e+00
1.11000000000000e+00    	-1.25479207779689e-05 	 -2.85209461165292e+00   -9.27051079180222e-01 	-1.24288347703809e-04	 4.22117935155219e-03	-3.31006414833036e-07		1.00000891686166e+00
1.14000000000000e+00    	-1.64133945028109e-05 	 -2.85197572744591e+00   -9.27051087222884e-01 	-1.32796983723554e-04	 3.66278945279625e-03	-1.99998086996430e-07		1.00000671680827e+00
1.17000000000000e+00    	-2.04718597509088e-05 	 -2.85187740879859e+00   -9.27051090989732e-01 	-1.36917052889147e-04	 2.84844251179188e-03	-5.03833794784143e-08		1.00000406617725e+00
1.20000000000000e+00    	-2.45695907471890e-05 	 -2.85180743033049e+00   -9.27051090382843e-01 	-1.35154866551664e-04	 1.77363026296326e-03	8.51785897179459e-08		1.00000158201433e+00
1.23000000000000e+00    	-2.85065586733489e-05 	 -2.85177352460000e+00   -9.27051086447347e-01 	-1.25936687211910e-04	 4.45928018721358e-04	1.63714409642066e-07		1.00000010735593e+00
1.26000000000000e+00    	-3.20360372698084e-05 	 -2.85178299860169e+00   -9.27051081615347e-01 	-1.07751833654802e-04	 -1.11369136638156e-03	1.36772307105902e-07		1.00000062595927e+00
1.29000000000000e+00    	-3.48693093603349e-05 	 -2.85184231829602e+00   -9.27051079764074e-01 	-7.93479883358687e-05	 -2.87006496450907e-03	-4.20982481702992e-08		1.00000412177601e+00
1.32000000000000e+00    	-3.66868498020682e-05 	 -2.85195667843759e+00   -9.27051086017999e-01 	-3.99638795297943e-05	 -4.77367073562991e-03	-4.07929674479990e-07		1.00001139469987e+00
1.35000000000000e+00    	-3.71567274731366e-05 	 -2.85212957776345e+00   -9.27051106254996e-01 	1.04278529691930e-05	 -6.76116189333430e-03	-9.74292395663602e-07		1.00002285644871e+00
1.38000000000000e+00    	-3.59599829939018e-05 	 -2.85236242161381e+00   -9.27051146323931e-01 	7.09054884588042e-05	 -8.75665581605305e-03	-1.72443537619869e-06		1.00003834129079e+00
1.41000000000000e+00    	-3.28214909151246e-05 	 -2.85265417507720e+00   -9.27051211040234e-01 	1.39454983796522e-04	 -1.06737942823620e-02	-2.60568948322377e-06		1.00005697304647e+00
1.44000000000000e+00    	-2.75434746627145e-05 	 -2.85300108962175e+00   -9.27051303088079e-01 	2.12942455130621e-04	 -1.24185534328263e-02	-3.52912949529137e-06		1.00007712993864e+00
1.47000000000000e+00    	-2.00376423036145e-05 	 -2.85339652480656e+00   -9.27051422011223e-01 	2.87237282586002e-04	 -1.38927415025319e-02	-4.37598756273696e-06		1.00009654073537e+00
1.50000000000000e+00    	-1.03511144878189e-05 	 -2.85383088406767e+00   -9.27051563506246e-01 	3.57503018332150e-04	 -1.49980823255390e-02	-5.01138608399845e-06		1.00011252882211e+00
1.53000000000000e+00    	1.31882942927682e-06 	 -2.85429167983669e+00   -9.27051719230566e-01 	4.18648044083711e-04	 -1.56407451762707e-02	-5.30469469012482e-06		1.00012239661153e+00
1.56000000000000e+00    	1.46254749419342e-05 	 -2.85476373854522e+00   -9.27051877295289e-01 	4.65898247538348e-04	 -1.57361486812588e-02	-5.15438322233982e-06		1.00012391405419e+00
1.59000000000000e+00    	2.90915722301569e-05 	 -2.85522955060001e+00   -9.27052023528270e-01 	4.95424462675955e-04	 -1.52138397994275e-02	-4.51387833489894e-06		1.00011584648340e+00
1.62000000000000e+00    	4.41467307891962e-05 	 -2.85566976438295e+00   -9.27052143471783e-01 	5.04933583269347e-04	 -1.40222291612219e-02	-3.41391058887640e-06		1.00009843409548e+00
1.65000000000000e+00    	5.91806865664695e-05 	 -2.85606381690005e+00   -9.27052224936258e-01 	4.94119742589744e-04	 -1.21329518914421e-02	-1.97642907316620e-06		1.00007372362233e+00
1.68000000000000e+00    	7.36067332975585e-05 	 -2.85639068699563e+00   -9.27052260787999e-01 	4.64875467865029e-04	 -9.54461882821016e-03	-4.15571522963895e-07		1.00004565688670e+00
1.71000000000000e+00    	8.69268986143249e-05 	 -2.85662975016952e+00   -9.27052251530938e-01 	4.21185026298113e-04	 -6.28572746237985e-03	9.77487130397242e-07		1.00001984368687e+00
1.74000000000000e+00    	9.87886741359811e-05 	 -2.85676170714052e+00   -9.27052207177610e-01 	3.68663181584466e-04	 -2.41651613835132e-03	1.86676959392958e-06		1.00000298772867e+00
1.77000000000000e+00    	1.09022795436576e-04 	 -2.85676955166665e+00   -9.27052147916730e-01 	3.13758702420983e-04	 1.97042927270780e-03	1.91889582231074e-06		1.00000199051788e+00
1.80000000000000e+00    	1.17653077677165e-04 	 -2.85663953721323e+00   -9.27052103189045e-01 	2.62706019241759e-04	 6.75096820953591e-03	8.60569779359276e-07		1.00002282203306e+00
1.83000000000000e+00    	1.24872750793107e-04 	 -2.85636209748434e+00   -9.27052108981069e-01 	2.20370126400191e-04	 1.17716968771094e-02	-1.46183588463587e-06		1.00006930830443e+00
1.86000000000000e+00    	1.30986864556995e-04 	 -2.85593267332442e+00   -9.27052203421591e-01 	1.89177087542849e-04	 1.68537712512888e-02	-5.03065440998483e-06		1.00014203262270e+00
1.89000000000000e+00    	1.36326529912114e-04 	 -2.85535239871287e+00   -9.27052421083945e-01 	1.68343479310923e-04	 2.17982182325030e-02	-9.62397697993123e-06		1.00023756715605e+00
1.92000000000000e+00    	1.41147073868626e-04 	 -2.85462860190163e+00   -9.27052786707537e-01 	1.53603719655455e-04	 2.63926107497746e-02	-1.48109475849710e-05		1.00034823622359e+00
1.95000000000000e+00    	1.45527450157372e-04 	 -2.85377508412260e+00   -9.27053309296408e-01 	1.37580598306840e-04	 3.04189047722405e-02	-1.99817644345634e-05		1.00046255756787e+00
1.98000000000000e+00    	1.49291302692611e-04 	 -2.85281214713347e+00   -9.27053977673892e-01 	1.10854499747056e-04	 3.36621688782777e-02	-2.44140152752001e-05		1.00056641683516e+00
2.01000000000000e+00    	1.51969989558521e-04 	 -2.85176635116768e+00   -9.27054758527877e-01 	6.36711204734981e-05	 3.59198859805228e-02	-2.73709752919022e-05		1.00064491354927e+00
2.04000000000000e+00    	1.52824143375330e-04 	 -2.85066999542750e+00   -9.27055597751078e-01 	-1.18976012731574e-05	 3.70114741226962e-02	-2.82212004761573e-05		1.00068469067670e+00
2.07000000000000e+00    	1.50933035131425e-04 	 -2.84956032313343e+00   -9.27056425474883e-01 	-1.19638953314571e-04	 3.67876567482530e-02	-2.65631875639836e-05		1.00067644456543e+00
2.10000000000000e+00    	1.45350780721184e-04 	 -2.84847846188852e+00   -9.27057164652745e-01 	-2.57113736963252e-04	 3.51393067728762e-02	-2.23350852136236e-05		1.00061722825804e+00
2.13000000000000e+00    	1.35316474466163e-04 	 -2.84746811805117e+00   -9.27057742434975e-01 	-4.14214716064392e-04	 3.20053862461126e-02	-1.58883303325863e-05		1.00051212715041e+00
2.16000000000000e+00    	1.20493268420300e-04 	 -2.84657405193522e+00   -9.27058102975981e-01 	-5.72754115846421e-04	 2.73795994712467e-02	-8.00627898297034e-06		1.00037491500866e+00
2.19000000000000e+00    	1.01201148236543e-04 	 -2.84584037029699e+00   -9.27058219824990e-01 	-7.07364737074918e-04	 2.13153724790941e-02	1.45346319725811e-07		1.00022739687974e+00
2.22000000000000e+00    	7.86017220106837e-05 	 -2.84530868478520e+00   -9.27058105773191e-01 	-7.87831583156342e-04	 1.39287731159171e-02	7.14029848696435e-06		1.00009731099034e+00
2.25000000000000e+00    	5.47926658975009e-05 	 -2.84501619993058e+00   -9.27057818056396e-01 	-7.82749569611681e-04	 5.39900768097110e-03	1.14784795665531e-05		1.00001488094557e+00
2.28000000000000e+00    	3.27760197609541e-05 	 -2.84499381046147e+00   -9.27057457207164e-01 	-6.64154436093580e-04	 -4.03381091743615e-03	1.18174273203608e-05		1.00000835640073e+00
2.31000000000000e+00    	1.62788089618354e-05 	 -2.84526430226940e+00   -9.27057158626795e-01 	-4.12537572862564e-04	 -1.40738182123687e-02	7.21713978982873e-06		1.00009911638718e+00
2.34000000000000e+00    	9.42555223653647e-06 	 -2.84584076013179e+00   -9.27057077043214e-01 	-2.14788367588238e-05	 -2.43775061578634e-02	-2.64112829511259e-06		1.00029708750690e+00
2.37000000000000e+00    	1.62874381457272e-05 	 -2.84672528431163e+00   -9.27057365286869e-01 	4.98938101896797e-04	 -3.45646068684111e-02	-1.73034819892019e-05		1.00059730225831e+00
2.40000000000000e+00    	4.03580977232990e-05 	 -2.84790810499157e+00   -9.27058150031916e-01 	1.12069157717608e-03	 -4.42313561179341e-02	-3.54954575152811e-05		1.00097835644612e+00
2.43000000000000e+00    	8.40259693864980e-05 	 -2.84936715873138e+00   -9.27059508062958e-01 	1.79891105845522e-03	 -5.29655509273398e-02	-5.52008248567120e-05		1.00140330971750e+00
2.46000000000000e+00    	1.48123687992834e-04 	 -2.85106815879954e+00   -9.27061447021183e-01 	2.47568447731037e-03	 -6.03626950847369e-02	-7.38718348645742e-05		1.00182323262568e+00
2.49000000000000e+00    	2.31632880360591e-04 	 -2.85296515801677e+00   -9.27063894336480e-01 	3.08635916874755e-03	 -6.60424996387321e-02	-8.87543010581806e-05		1.00218318946627e+00
2.52000000000000e+00    	3.31607827688970e-04 	 -2.85500157601930e+00   -9.27066697170922e-01 	3.56769015494948e-03	 -6.96650704914406e-02	-9.72905082687880e-05		1.00243002744584e+00
2.55000000000000e+00    	4.43355668915475e-04 	 -2.85711164811676e+00   -9.27069634809505e-01 	3.86683429022319e-03	 -7.09462420389727e-02	-9.75468572107711e-05		1.00252098790114e+00
2.58000000000000e+00    	5.60877745993628e-04 	 -2.85922225178738e+00   -9.27072443232933e-01 	3.94995287808684e-03	 -6.96716538902793e-02	-8.86037702388996e-05		1.00243191755559e+00
2.61000000000000e+00    	6.77540381749008e-04 	 -2.86125507613784e+00   -9.27074849806349e-01 	3.80910023661587e-03	 -6.57092617531500e-02	-7.08438855080186e-05		1.00216376972210e+00
2.64000000000000e+00    	7.86907594474192e-04 	 -2.86312911196634e+00   -9.27076614306780e-01 	3.46615578338910e-03	 -5.90199814402117e-02	-4.60812566260560e-05		1.00174616274214e+00
2.67000000000000e+00    	8.83636435518810e-04 	 -2.86476344566272e+00   -9.27077571060613e-01 	2.97280880992173e-03	 -4.96660730443864e-02	-1.74890803379223e-05		1.00123701325397e+00
2.70000000000000e+00    	9.64311548504249e-04 	 -2.86608032971936e+00   -9.27077665953626e-01 	2.40603108706374e-03	 -3.78167052618780e-02	1.06937877737752e-05		1.00071768860994e+00
2.73000000000000e+00    	1.02808400218414e-03 	 -2.86700847042577e+00   -9.27076981740839e-01 	1.85906578472930e-03	 -2.37499614612327e-02	3.36672193441907e-05		1.00028371871609e+00
2.76000000000000e+00    	1.07698628131643e-03 	 -2.86748642053964e+00   -9.27075745693867e-01 	1.42868620401836e-03	 -7.85045218416746e-03	4.67394103536655e-05		1.00003183595740e+00
2.79000000000000e+00    	1.11582589397667e-03 	 -2.86746590149453e+00   -9.27074315411924e-01 	1.20024721306543e-03	 9.39821950214721e-03	4.60797202511487e-05		1.00004488361599e+00
2.82000000000000e+00    	1.15161624461918e-03 	 -2.86691482459959e+00   -9.27073141631216e-01 	1.23271729005089e-03	 2.74265688744401e-02	2.94428864575542e-05		1.00037679758130e+00
2.85000000000000e+00    	1.19258023410106e-03 	 -2.86581975618868e+00   -9.27072710788744e-01 	1.54625134738809e-03	 4.55977874846193e-02	-3.26181334799434e-06		1.00104023352079e+00
2.88000000000000e+00    	1.24684603907281e-03 	 -2.86418759572476e+00   -9.27073474215609e-01 	2.11477598729091e-03	 6.32309317002219e-02	-4.96744372650613e-05		1.00199931410591e+00
