0.00000000000000e+00    	0.00000000000000e+00 	 1.54508497190000e+00  	-4.75528258150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	4.37989414467457e-13 	 1.54508497189719e+00   -4.75528258150000e+00 	7.27423984940771e-11	 -5.61861435393687e-10	-5.57937588504371e-20		1.00000000000000e+00
6.00000000000000e-02    	1.36520898731789e-11 	 1.54508497172182e+00   -4.75528258150000e+00 	1.12169034572395e-09	 -1.77386612084290e-08	-2.69970870176456e-17		1.00000000000000e+00
9.00000000000000e-02    	9.91759166116883e-11 	 1.54508496990382e+00   -4.75528258150000e+00 	5.33203957631122e-09	 -1.31758472723247e-07	-9.42539273784351e-16		1.00000000000001e+00
1.20000000000000e-01    	3.92086796875167e-10 	 1.54508496094045e+00   -4.75528258150000e+00 	1.53662880222066e-08	 -5.38328377974500e-07	-1.08953714358313e-14		1.00000000000014e+00
1.50000000000000e-01    	1.09829665762905e-09 	 1.54508493131866e+00   -4.75528258150000e+00 	3.30330241904707e-08	 -1.57841704536263e-06	-6.66708599751180e-14		1.00000000000125e+00
1.80000000000000e-01    	2.44523601953616e-09 	 1.54508485507913e+00   -4.75528258150000e+00 	5.76782555882831e-08	 -3.73793624720820e-06	-2.62380675711416e-13		1.00000000000699e+00
2.10000000000000e-01    	4.58286851925566e-09 	 1.54508468990664e+00   -4.75528258150002e+00 	8.45229703449153e-08	 -7.61244999841281e-06	-7.14945991921939e-13		1.00000000002898e+00
2.40000000000000e-01    	7.43713783741210e-09 	 1.54508437482264e+00   -4.75528258150005e+00 	1.03197027133822e-07	 -1.38358130685036e-05	-1.29159217804383e-12		1.00000000009572e+00
2.70000000000000e-01    	1.05255437512386e-08 	 1.54508383052730e+00   -4.75528258150009e+00 	9.67213129605028e-08	 -2.29757421956618e-05	-8.35961962697702e-13		1.00000000026395e+00
3.00000000000000e-01    	1.27518062275425e-08 	 1.54508296328665e+00   -4.75528258150006e+00 	4.11661285435552e-08	 -3.54034218308567e-05	4.34166361177408e-12		1.00000000062670e+00
3.30000000000000e-01    	1.22027517900188e-08 	 1.54508167298952e+00   -4.75528258149970e+00 	-9.38341135832640e-08	 -5.11479998397990e-05	2.26934296117727e-11		1.00000000130806e+00
3.60000000000000e-01    	5.97499819955828e-09 	 1.54507986562524e+00   -4.75528258149841e+00 	-3.43596383651899e-07	 -6.97499086624421e-05	6.98522941090445e-11		1.00000000243258e+00
3.90000000000000e-01    	-9.93873054770932e-09 	 1.54507746998047e+00   -4.75528258149498e+00 	-7.45898986496956e-07	 -9.01290616033218e-05	1.70026501839510e-10		1.00000000406190e+00
4.20000000000000e-01    	-4.06739684300033e-08 	 1.54507445785495e+00   -4.75528258148736e+00 	-1.33753101890167e-06	 -1.10484887342695e-04	3.54561783665977e-10		1.00000000610435e+00
4.50000000000000e-01    	-9.24023857654399e-08 	 1.54507086659065e+00   -4.75528258147253e+00 	-2.15000369479829e-06	 -1.28244719177609e-04	6.55748426357737e-10		1.00000000822567e+00
4.80000000000000e-01    	-1.72100768259498e-07 	 1.54506682223733e+00   -4.75528258144663e+00 	-3.20461689734556e-06	 -1.40075179078588e-04	1.09473391302485e-09		1.00000000981566e+00
5.10000000000000e-01    	-2.87165485763144e-07 	 1.54506256128453e+00   -4.75528258140553e+00 	-4.50714069662461e-06	 -1.41967918442857e-04	1.66435221843337e-09		1.00000001008760e+00
5.40000000000000e-01    	-4.44865628827604e-07 	 1.54505844861426e+00   -4.75528258134598e+00 	-6.04243871109161e-06	 -1.29406526006941e-04	2.31072484265358e-09		1.00000000839128e+00
5.70000000000000e-01    	-6.51638885267512e-07 	 1.54505498920617e+00   -4.75528258126722e+00 	-7.76943427306232e-06	 -9.76158142042541e-05	2.92106524361691e-09		1.00000000479461e+00
6.00000000000000e-01    	-9.12247490128880e-07 	 1.54505283118420e+00   -4.75528258117274e+00 	-9.61690394667295e-06	 -4.18883608620489e-05	3.32815341550550e-09		1.00000000092356e+00
6.30000000000000e-01    	-1.22882743414471e-06 	 1.54505275804730e+00   -4.75528258107147e+00 	-1.14806701453072e-05	 4.20235024023375e-05	3.34300469613032e-09		1.00000000094889e+00
6.60000000000000e-01    	-1.59988242983290e-06 	 1.54505566838105e+00   -4.75528258097754e+00 	-1.32228374597176e-05	 1.57468665397341e-04	2.82487879939842e-09		1.00000001248561e+00
6.90000000000000e-01    	-2.01929405169286e-06 	 1.54506254199177e+00   -4.75528258090723e+00 	-1.46737452870368e-05	 3.06435644930065e-04	1.79096877261476e-09		1.00000004705906e+00
7.20000000000000e-01    	-2.47543906457189e-06 	 1.54507439221790e+00   -4.75528258087223e+00 	-1.56372531306096e-05	 4.89097938195637e-04	5.56873328203600e-10		1.00000011973065e+00
7.50000000000000e-01    	-2.95052110064964e-06 	 1.54509220511685e+00   -4.75528258086839e+00 	-1.58997950907795e-05	 7.03399455365425e-04	-1.15306896339799e-10		1.00000024751177e+00
7.80000000000000e-01    	-3.42023237687368e-06 	 1.54511686725209e+00   -4.75528258086047e+00 	-1.52433095272120e-05	 9.44714966483747e-04	1.10124636744784e-09		1.00000044635926e+00
8.10000000000000e-01    	-3.85385744518429e-06 	 1.54514908485389e+00   -4.75528258076429e+00 	-1.34616678452760e-05	 1.20562020207153e-03	6.13868204925212e-09		1.00000072685038e+00
8.40000000000000e-01    	-4.21491094353584e-06 	 1.54518929813427e+00   -4.75528258042952e+00 	-1.03796299865489e-05	 1.47580366986137e-03	1.74484082745683e-08		1.00000108905151e+00
8.70000000000000e-01    	-4.46236263488122e-06 	 1.54523759543023e+00   -4.75528257962741e+00 	-5.87272394597083e-06	 1.74214733605067e-03	3.77508534447227e-08		1.00000151755476e+00
9.00000000000000e-01    	-4.55244637531309e-06 	 1.54529363256201e+00   -4.75528257804867e+00 	1.14098242723914e-07	 1.98899615116613e-03	6.96102396000575e-08		1.00000197805090e+00
9.30000000000000e-01    	-4.44097970547996e-06 	 1.54535656325860e+00   -4.75528257531641e+00 	7.55149338575387e-06	 2.19862720480653e-03	1.14864111221290e-07		1.00000241700639e+00
9.60000000000000e-01    	-4.08604643355957e-06 	 1.54542498666664e+00   -4.75528257101750e+00 	1.63168681665834e-05	 2.35191843775941e-03	1.73986583861007e-07		1.00000276588948e+00
9.90000000000000e-01    	-3.45082838940452e-06 	 1.54549691777774e+00   -4.75528256475242e+00 	2.61935409888794e-05	 2.42920482069544e-03	2.45512833989215e-07		1.00000295085676e+00
1.02000000000000e+00    	-2.50632884522930e-06 	 1.54556978605820e+00   -4.75528255619951e+00 	3.68788486982110e-05	 2.41129733010289e-03	3.25687890961046e-07		1.00000290785326e+00
1.05000000000000e+00    	-1.23372242499468e-06 	 1.54564046663708e+00   -4.75528254518414e+00 	4.80007335021107e-05	 2.28062759746359e-03	4.08512056304880e-07		1.00000260177985e+00
1.08000000000000e+00    	3.73895995538865e-07 	 1.54570534711909e+00   -4.75528253173877e+00 	5.91407519267233e-05	 2.02246950377472e-03	4.86327076814786e-07		1.00000204693828e+00
1.11000000000000e+00    	2.31050595820985e-06 	 1.54576043147386e+00   -4.75528251613625e+00 	6.98599451676032e-05	 1.62617897042344e-03	5.51015743035369e-07		1.00000132466850e+00
