0.00000000000000e+00    	0.00000000000000e+00 	 -1.76335575690000e+00  	-2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.05168613070652e-13 	 -1.76335575689711e+00   -2.42705098310000e+00 	1.90341412290116e-11	 4.70727393616308e-10	-1.65920909194381e-20		1.00000000000000e+00
6.00000000000000e-02    	4.77538214427238e-12 	 -1.76335575681922e+00   -2.42705098310000e+00 	4.43617795169032e-10	 6.31512682082205e-09	-3.94516508636231e-18		1.00000000000000e+00
9.00000000000000e-02    	4.62994149744958e-11 	 -1.76335575638612e+00   -2.42705098310000e+00 	2.89344380754788e-09	 2.50873862871242e-08	-8.66766229749076e-17		1.00000000000000e+00
1.20000000000000e-01    	2.33787961626018e-10 	 -1.76335575518736e+00   -2.42705098310000e+00 	1.09623077385731e-08	 5.58064776324792e-08	-6.71667222767017e-16		1.00000000000000e+00
1.50000000000000e-01    	8.18337622271547e-10 	 -1.76335575313014e+00   -2.42705098310000e+00 	3.05324299252530e-08	 7.61717051142091e-08	-2.67655395836888e-15		1.00000000000000e+00
1.80000000000000e-01    	2.25980004582706e-09 	 -1.76335575125961e+00   -2.42705098310000e+00 	6.95535045122876e-08	 3.08785580683883e-08	-5.68467842547931e-15		1.00000000000000e+00
2.10000000000000e-01    	5.27817830476458e-09 	 -1.76335575288650e+00   -2.42705098310000e+00 	1.37235681588047e-07	 -1.76842084682069e-07	-1.21078337797544e-15		1.00000000000003e+00
2.40000000000000e-01    	1.08721269994161e-08 	 -1.76335576489574e+00   -2.42705098310000e+00 	2.42671767007476e-07	 -6.88534430713293e-07	3.93465124748192e-14		1.00000000000027e+00
2.70000000000000e-01    	2.02885193176125e-08 	 -1.76335579905732e+00   -2.42705098310000e+00 	3.92972398800299e-07	 -1.68714668178159e-06	1.73253250323611e-13		1.00000000000150e+00
3.00000000000000e-01    	3.49305499300867e-08 	 -1.76335587312300e+00   -2.42705098309999e+00 	5.91063119931258e-07	 -3.38601750871902e-06	4.66631748551650e-13		1.00000000000591e+00
3.30000000000000e-01    	5.61971822754215e-08 	 -1.76335601147383e+00   -2.42705098309997e+00 	8.33348458117785e-07	 -6.00996534167887e-06	9.03764832735786e-13		1.00000000001841e+00
3.60000000000000e-01    	8.52535739435144e-08 	 -1.76335624508750e+00   -2.42705098309993e+00 	1.10749016261950e-06	 -9.76901701675189e-06	1.17458125525753e-12		1.00000000004833e+00
3.90000000000000e-01    	1.22739932783027e-07 	 -1.76335661062316e+00   -2.42705098309991e+00 	1.39057033642456e-06	 -1.48261297726745e-05	3.04151782857581e-13		1.00000000011087e+00
4.20000000000000e-01    	1.68434466117669e-07 	 -1.76335714847349e+00   -2.42705098309995e+00 	1.64791227822938e-06	 -2.12610404820815e-05	-3.86291792434886e-12		1.00000000022737e+00
4.50000000000000e-01    	2.20894013245693e-07 	 -1.76335789970864e+00   -2.42705098310021e+00 	1.83281084808992e-06	 -2.90330540809147e-05	-1.52259479085129e-11		1.00000000042314e+00
4.80000000000000e-01    	2.77102901831452e-07 	 -1.76335890192891e+00   -2.42705098310099e+00 	1.88738016411641e-06	 -3.79460989842237e-05	-3.98380513545808e-11		1.00000000072173e+00
5.10000000000000e-01    	3.32165873278687e-07 	 -1.76336018414841e+00   -2.42705098310281e+00 	1.74466112875987e-06	 -4.76196784434426e-05	-8.58711149872242e-11		1.00000000113534e+00
5.40000000000000e-01    	3.79083986218013e-07 	 -1.76336176094172e+00   -2.42705098310645e+00 	1.33204787809010e-06	 -5.74693928157005e-05	-1.62817479032157e-10		1.00000000165225e+00
5.70000000000000e-01    	4.08652752285606e-07 	 -1.76336362619333e+00   -2.42705098311298e+00 	5.75995223785522e-07	 -6.67004732559410e-05	-2.79695884146697e-10		1.00000000222464e+00
6.00000000000000e-01    	4.09519055733369e-07 	 -1.76336574688559e+00   -2.42705098312370e+00 	-5.92136020033664e-07	 -7.43172446870486e-05	-4.42262349885512e-10		1.00000000276170e+00
6.30000000000000e-01    	3.68427504494683e-07 	 -1.76336805743722e+00   -2.42705098313997e+00 	-2.22934610344193e-06	 -7.91506363693051e-05	-6.49604252765711e-10		1.00000000313490e+00
