0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	0.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.04015463358127e-12 	 1.00000000000186e+00   0.00000000000000e+00 	1.72751532977574e-10	 3.71196420427618e-10	0.00000000000000e+00		1.00000000000000e+00
6.00000000000000e-02    	3.24215228643885e-11 	 1.00000000011772e+00   0.00000000000000e+00 	2.66383441913182e-09	 1.17191305886267e-08	0.00000000000000e+00		1.00000000000000e+00
9.00000000000000e-02    	2.35526761036116e-10 	 1.00000000131878e+00   0.00000000000000e+00 	1.26627222390354e-08	 8.70468588654791e-08	0.00000000000000e+00		1.00000000000000e+00
1.20000000000000e-01    	9.31140143903449e-10 	 1.00000000724048e+00   0.00000000000000e+00 	3.64921893569721e-08	 3.55649186474948e-07	0.00000000000000e+00		1.00000000000006e+00
1.50000000000000e-01    	2.60824437558176e-09 	 1.00000002681026e+00   0.00000000000000e+00 	7.84457216132303e-08	 1.04278864918899e-06	0.00000000000000e+00		1.00000000000055e+00
1.80000000000000e-01    	5.80681037703814e-09 	 1.00000007717826e+00   0.00000000000000e+00 	1.36963070209827e-07	 2.46948506163762e-06	0.00000000000000e+00		1.00000000000306e+00
2.10000000000000e-01    	1.08824273187629e-08 	 1.00000018630023e+00   0.00000000000000e+00 	2.00672351939458e-07	 5.02920038009393e-06	0.00000000000000e+00		1.00000000001267e+00
2.40000000000000e-01    	1.76575589083499e-08 	 1.00000039446193e+00   0.00000000000000e+00 	2.44890899904764e-07	 9.14069336218278e-06	0.00000000000000e+00		1.00000000004181e+00
2.70000000000000e-01    	2.49822558263796e-08 	 1.00000075405313e+00   0.00000000000000e+00 	2.29186051255406e-07	 1.51790282672282e-05	0.00000000000000e+00		1.00000000011523e+00
3.00000000000000e-01    	3.02446009022091e-08 	 1.00000132699957e+00   0.00000000000000e+00 	9.65481430937663e-08	 2.33894295254007e-05	0.00000000000000e+00		1.00000000027354e+00
3.30000000000000e-01    	2.88862901219530e-08 	 1.00000217944014e+00   0.00000000000000e+00 	-2.25377069527031e-07	 3.37911540382249e-05	0.00000000000000e+00		1.00000000057095e+00
3.60000000000000e-01    	1.39899623831930e-08 	 1.00000337348339e+00   0.00000000000000e+00 	-8.20703922704081e-07	 4.60805874254529e-05	0.00000000000000e+00		1.00000000106205e+00
3.90000000000000e-01    	-2.39891466982765e-08 	 1.00000495617679e+00   0.00000000000000e+00 	-1.77927077096515e-06	 5.95441669782335e-05	0.00000000000000e+00		1.00000000177434e+00
4.20000000000000e-01    	-9.72748895407323e-08 	 1.00000694615101e+00   0.00000000000000e+00 	-3.18827052116822e-06	 7.29923372565391e-05	0.00000000000000e+00		1.00000000266902e+00
4.50000000000000e-01    	-2.20539836183178e-07 	 1.00000931873593e+00   0.00000000000000e+00 	-5.12189269117080e-06	 8.47254491395476e-05	0.00000000000000e+00		1.00000000360232e+00
4.80000000000000e-01    	-4.10341142470851e-07 	 1.00001199065587e+00   0.00000000000000e+00 	-7.62954229560727e-06	 9.25412737405319e-05	0.00000000000000e+00		1.00000000431105e+00
5.10000000000000e-01    	-6.84190977587740e-07 	 1.00001480567180e+00   0.00000000000000e+00 	-1.07234009467082e-05	 9.37916376042975e-05	0.00000000000000e+00		1.00000000445593e+00
5.40000000000000e-01    	-1.05925540473575e-06 	 1.00001752271994e+00   0.00000000000000e+00 	-1.43662633816631e-05	 8.54926799547925e-05	0.00000000000000e+00		1.00000000375769e+00
5.70000000000000e-01    	-1.55070560265844e-06 	 1.00001980817755e+00   0.00000000000000e+00 	-1.84607079130181e-05	 6.44895352032650e-05	0.00000000000000e+00		1.00000000224985e+00
6.00000000000000e-01    	-2.16977830998902e-06 	 1.00002123384877e+00   0.00000000000000e+00 	-2.28407324232905e-05	 2.76720605357597e-05	0.00000000000000e+00		1.00000000064372e+00
6.30000000000000e-01    	-2.92163665327634e-06 	 1.00002128209613e+00   0.00000000000000e+00 	-2.72669982097037e-05	 -2.77661876603297e-05	0.00000000000000e+00		1.00000000075723e+00
6.60000000000000e-01    	-3.80315603653382e-06 	 1.00001935924325e+00   0.00000000000000e+00 	-3.14267603795020e-05	 -1.04037886707408e-04	0.00000000000000e+00		1.00000000590576e+00
6.90000000000000e-01    	-4.80079010067900e-06 	 1.00001481794855e+00   0.00000000000000e+00 	-3.49394124087849e-05	 -2.02456951508669e-04	0.00000000000000e+00		1.00000002110479e+00
7.20000000000000e-01    	-5.88869608657822e-06 	 1.00000698871252e+00   0.00000000000000e+00 	-3.73683213116156e-05	 -3.23138111825735e-04	0.00000000000000e+00		1.00000005290731e+00
7.50000000000000e-01    	-7.02731411299206e-06 	 9.99995220057467e-01   0.00000000000000e+00 	-3.82392704184086e-05	 -4.64722958419789e-04	0.00000000000000e+00		1.00000010871483e+00
7.80000000000000e-01    	-8.16259765157220e-06 	 9.99978926240727e-01   0.00000000000000e+00 	-3.70653604474088e-05	 -6.24155551079959e-04	0.00000000000000e+00		1.00000019547198e+00
8.10000000000000e-01    	-9.22607984294338e-06 	 9.99957640668464e-01   0.00000000000000e+00 	-3.33776629789865e-05	 -7.96530491213966e-04	0.00000000000000e+00		1.00000031778740e+00
8.40000000000000e-01    	-1.01359300320481e-05 	 9.99931072511813e-01   0.00000000000000e+00 	-2.67603097670227e-05	 -9.75034661667258e-04	0.00000000000000e+00		1.00000047570424e+00
8.70000000000000e-01    	-1.07991061891405e-05 	 9.99899163435904e-01   0.00000000000000e+00 	-1.68880936073024e-05	 -1.15100058833578e-03	0.00000000000000e+00		1.00000066254356e+00
9.00000000000000e-01    	-1.11146429005518e-05 	 9.99862140881177e-01   0.00000000000000e+00 	-3.56412652281769e-06	 -1.31408463547633e-03	0.00000000000000e+00		1.00000086341519e+00
9.30000000000000e-01    	-1.09780349481073e-05 	 9.99820564028400e-01   0.00000000000000e+00 	1.32452671547345e-05	 -1.45257715874551e-03	0.00000000000000e+00		1.00000105507736e+00
9.60000000000000e-01    	-1.02865892328945e-05 	 9.99775358470720e-01   0.00000000000000e+00 	3.33813718339348e-05	 -1.55384455041140e-03	0.00000000000000e+00		1.00000120777287e+00
9.90000000000000e-01    	-8.94553114664099e-06 	 9.99727835736168e-01   0.00000000000000e+00 	5.64723910181051e-05	 -1.60489514988869e-03	0.00000000000000e+00		1.00000128943796e+00
1.02000000000000e+00    	-6.87457489750521e-06 	 9.99679694169576e-01   0.00000000000000e+00 	8.19235267224104e-05	 -1.59305266261581e-03	0.00000000000000e+00		1.00000127226332e+00
1.05000000000000e+00    	-4.01461009117590e-06 	 9.99632998297950e-01   0.00000000000000e+00 	1.08919320523716e-04	 -1.50671248784243e-03	0.00000000000000e+00		1.00000114102232e+00
1.08000000000000e+00    	-3.34126643893243e-07 	 9.99590134658029e-01   0.00000000000000e+00 	1.36438755929156e-04	 -1.33614868758838e-03	0.00000000000000e+00		1.00000090195402e+00
1.11000000000000e+00    	4.16499892368978e-06 	 9.99553743134536e-01   0.00000000000000e+00 	1.63282559924049e-04	 -1.07433272455046e-03	0.00000000000000e+00		1.00000059042582e+00
1.14000000000000e+00    	9.44270103167658e-06 	 9.99526624103559e-01   0.00000000000000e+00 	1.88111180274450e-04	 -7.17720021070025e-04	0.00000000000000e+00		1.00000027525388e+00
1.17000000000000e+00    	1.54171948057731e-05 	 9.99511623045750e-01   0.00000000000000e+00 	2.09491227423043e-04	 -2.66957257493768e-04	0.00000000000000e+00		1.00000005757637e+00
1.20000000000000e+00    	2.19629349222157e-05 	 9.99511495725501e-01   0.00000000000000e+00 	2.25947895697352e-04	 2.72537527550791e-04	0.00000000000000e+00		1.00000006266458e+00
1.23000000000000e+00    	2.89102078383140e-05 	 9.99528758453013e-01   0.00000000000000e+00 	2.36021087959623e-04	 8.90168312851257e-04	0.00000000000000e+00		1.00000042405270e+00
1.26000000000000e+00    	3.60464424146556e-05 	 9.99565529278635e-01   0.00000000000000e+00 	2.38323630720529e-04	 1.56996992800422e-03	0.00000000000000e+00		1.00000126080107e+00
1.29000000000000e+00    	4.31192895791118e-05 	 9.99623367133366e-01   0.00000000000000e+00 	2.31600939023134e-04	 2.29066740166350e-03	0.00000000000000e+00		1.00000265039456e+00
1.32000000000000e+00    	4.98415180168224e-05 	 9.99703116847880e-01   0.00000000000000e+00 	2.14792522241157e-04	 3.02601147423476e-03	0.00000000000000e+00		1.00000460143005e+00
1.35000000000000e+00    	5.58977969883041e-05 	 9.99804768583268e-01   0.00000000000000e+00 	1.87096491598416e-04	 3.74540431866396e-03	0.00000000000000e+00		1.00000703150458e+00
1.38000000000000e+00    	6.09534763867071e-05 	 9.99927340428870e-01   0.00000000000000e+00 	1.48038401764745e-04	 4.41481612723679e-03	0.00000000000000e+00		1.00000975621081e+00
1.41000000000000e+00    	6.46655058184036e-05 	 1.00006879272024e+00   0.00000000000000e+00 	9.75450563558865e-05	 4.99797859587807e-03	0.00000000000000e+00		1.00001249457448e+00
