0.00000000000000e+00    	0.00000000000000e+00 	 3.53553390590000e-01  	3.53553390590000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	3.98127155319427e-13 	 3.53553390592180e-01   3.53553390590000e-01 	6.61219728499583e-11	 4.35575774770907e-10	-1.27748067629384e-20		1.00000000000000e+00
6.00000000000000e-02    	1.24095866515250e-11 	 3.53553390728132e-01   3.53553390590000e-01 	1.01960310170679e-09	 1.37516665378471e-08	-6.18138259438866e-18		1.00000000000000e+00
9.00000000000000e-02    	9.01497036309327e-11 	 3.53553392137511e-01   3.53553390590000e-01 	4.84675773542608e-09	 1.02144043446177e-07	-2.15808315077147e-16		1.00000000000001e+00
1.20000000000000e-01    	3.56401727416737e-10 	 3.53553399086252e-01   3.53553390590000e-01 	1.39677281123202e-08	 4.17332078510424e-07	-2.49465652430393e-15		1.00000000000009e+00
1.50000000000000e-01    	9.98333166451148e-10 	 3.53553422050158e-01   3.53553390590000e-01 	3.00262425558992e-08	 1.22364730245136e-06	-1.52652799281239e-14		1.00000000000075e+00
1.80000000000000e-01    	2.22265343966078e-09 	 3.53553481153865e-01   3.53553390589999e-01 	5.24267000891125e-08	 2.89778650876934e-06	-6.00759372259397e-14		1.00000000000420e+00
2.10000000000000e-01    	4.16559037420113e-09 	 3.53553609201689e-01   3.53553390589996e-01 	7.68214643996599e-08	 5.90145297706147e-06	-1.63697455699375e-13		1.00000000001742e+00
2.40000000000000e-01    	6.75956335815695e-09 	 3.53553853466468e-01   3.53553390589989e-01 	9.37754198136950e-08	 1.07260344098224e-05	-2.95729109419978e-13		1.00000000005753e+00
2.70000000000000e-01    	9.56533547471024e-09 	 3.53554275424362e-01   3.53553390589980e-01 	8.78372426679257e-08	 1.78116458680194e-05	-1.91405861206890e-13		1.00000000015863e+00
3.00000000000000e-01    	1.15850594952354e-08 	 3.53554947741421e-01   3.53553390589988e-01 	3.72263128977126e-08	 2.74460432998880e-05	9.94087372604808e-13		1.00000000037664e+00
3.30000000000000e-01    	1.10773184999686e-08 	 3.53555948027530e-01   3.53553390590070e-01 	-8.56979566676693e-08	 3.96518231941906e-05	5.19599110306649e-12		1.00000000078614e+00
3.60000000000000e-01    	5.39940395124400e-09 	 3.53557349163232e-01   3.53553390590365e-01 	-3.13077546362780e-07	 5.40727116909275e-05	1.59936917136040e-11		1.00000000146198e+00
3.90000000000000e-01    	-9.09577915619055e-09 	 3.53559206355762e-01   3.53553390591150e-01 	-6.79273182677590e-07	 6.98713854902042e-05	3.89299969387770e-11		1.00000000244124e+00
4.20000000000000e-01    	-3.70809022153874e-08 	 3.53561541466986e-01   3.53553390592894e-01 	-1.21770027798332e-06	 8.56519750355646e-05	8.11819161967233e-11		1.00000000366887e+00
4.50000000000000e-01    	-8.41686630985565e-08 	 3.53564325548033e-01   3.53553390596289e-01 	-1.95690318642651e-06	 9.94200542509281e-05	1.50142687297733e-10		1.00000000494409e+00
4.80000000000000e-01    	-1.56699357897419e-07 	 3.53567460880489e-01   3.53553390602220e-01 	-2.91606022309591e-06	 1.08591466420320e-04	2.50654207850847e-10		1.00000000590030e+00
5.10000000000000e-01    	-2.61388229138748e-07 	 3.53570764128995e-01   3.53553390611631e-01 	-4.10017898099445e-06	 1.10058794359189e-04	3.81075604860602e-10		1.00000000606487e+00
5.40000000000000e-01    	-4.04827977379896e-07 	 3.53573952423715e-01   3.53553390625265e-01 	-5.49530393154343e-06	 1.00320754500491e-04	5.29070632446950e-10		1.00000000504723e+00
5.70000000000000e-01    	-5.92852381111242e-07 	 3.53576634286158e-01   3.53553390643297e-01 	-7.06411778736210e-06	 7.56754536953731e-05	6.68815454079355e-10		1.00000000288834e+00
6.00000000000000e-01    	-8.29779270742542e-07 	 3.53578307267427e-01   3.53553390664930e-01 	-8.74237446892848e-06	 3.24735367297114e-05	7.62023222020903e-10		1.00000000056548e+00
6.30000000000000e-01    	-1.11756499477690e-06 	 3.53578363971314e-01   3.53553390688117e-01 	-1.04366499320137e-05	 -3.25779304197164e-05	7.65423901374612e-10		1.00000000058512e+00
6.60000000000000e-01    	-1.45491760704326e-06 	 3.53576107782700e-01   3.53553390709624e-01 	-1.20239260590516e-05	 -1.22075114415857e-04	6.46793330691849e-10		1.00000000752345e+00
6.90000000000000e-01    	-1.83643144771178e-06 	 3.53570779121546e-01   3.53553390725721e-01 	-1.33535138193616e-05	 -2.37559573271677e-04	4.10067360221708e-10		1.00000002830643e+00
7.20000000000000e-01    	-2.25182010987178e-06 	 3.53561592412674e-01   3.53553390733735e-01 	-1.42517519093160e-05	 -3.79165802777146e-04	1.27504718006460e-10		1.00000007198491e+00
7.50000000000000e-01    	-2.68533580173567e-06 	 3.53547783229832e-01   3.53553390734614e-01 	-1.45297637109087e-05	 -5.45299854436255e-04	-2.64027742071271e-11		1.00000014878151e+00
7.80000000000000e-01    	-3.11546808648269e-06 	 3.53528664277187e-01   3.53553390736428e-01 	-1.39943044594195e-05	 -7.32376106240015e-04	2.52141955651782e-10		1.00000026828526e+00
8.10000000000000e-01    	-3.51501096308351e-06 	 3.53503688058079e-01   3.53553390758450e-01 	-1.24613842959591e-05	 -9.34639037759614e-04	1.40555013921932e-09		1.00000043685261e+00
