0.00000000000000e+00    	0.00000000000000e+00 	 3.06161699790000e-16  	5.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	3.87848751809453e-23 	 -8.43434789827183e-13   5.00000000000000e+00 	1.42105523564821e-20	 -1.68558430628336e-10	-5.27985268068002e-21		1.00000000000000e+00
6.00000000000000e-02    	7.76821556564402e-20 	 -5.34539455668223e-11   5.00000000000000e+00 	1.41643087560216e-17	 -5.32159836852753e-09	-2.55477754783743e-18		1.00000000000000e+00
9.00000000000000e-02    	6.47268651930825e-18 	 -5.98853074111249e-10   5.00000000000000e+00 	7.81455273659150e-16	 -3.95275420352369e-08	-8.91940001994888e-17		1.00000000000000e+00
1.20000000000000e-01    	1.45461290302905e-16 	 -3.28786608018381e-09   5.00000000000000e+00 	1.30446278130139e-14	 -1.61498516052968e-07	-1.03104644846681e-15		1.00000000000001e+00
1.50000000000000e-01    	1.58317847457061e-15 	 -1.21744024478819e-08   5.00000000000000e+00 	1.12141750413143e-13	 -4.73525131235112e-07	-6.30917033445341e-15		1.00000000000011e+00
1.80000000000000e-01    	1.08274779811399e-14 	 -3.50462634976313e-08   5.00000000000000e+00 	6.28883573950155e-13	 -1.12138095261614e-06	-2.48295040593746e-14		1.00000000000063e+00
2.10000000000000e-01    	5.34455581290431e-14 	 -8.45980140413413e-08   5.00000000000000e+00 	2.60815420006258e-12	 -2.28373526167770e-06	-6.76564843973838e-14		1.00000000000261e+00
2.40000000000000e-01    	2.06738913333465e-13 	 -1.79123227592020e-07   5.00000000000000e+00 	8.61520704864828e-12	 -4.15074462161050e-06	-1.22225424323966e-13		1.00000000000861e+00
2.70000000000000e-01    	6.60553377581548e-13 	 -3.42411861833836e-07   5.00000000000000e+00 	2.37552672486816e-11	 -6.89272421771591e-06	-7.91083547753986e-14		1.00000000002375e+00
3.00000000000000e-01    	1.80606355086442e-12 	 -6.02584124140097e-07   5.00000000000000e+00 	5.63982811932720e-11	 -1.06210294977749e-05	4.10858681865693e-13		1.00000000005640e+00
3.30000000000000e-01    	4.33089646763909e-12 	 -9.89673379608702e-07   5.00000000000004e+00 	1.17699256840345e-10	 -1.53444047495578e-05	2.14751495235404e-12		1.00000000011773e+00
3.60000000000000e-01    	9.26819784313587e-12 	 -1.53188283577840e-06   5.00000000000016e+00 	2.18839345896051e-10	 -2.09249793436006e-05	6.61022885671006e-12		1.00000000021893e+00
