0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+01  	1.22464679910000e-15    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.11699122986419e-13 	 -9.99999999999929e+00   1.22464679910000e-15 	-3.51595299702948e-11	 1.42664511869474e-10	-2.72467487270284e-37		1.00000000000000e+00
6.00000000000000e-02    	-6.59864178118294e-12 	 -9.99999999995476e+00   1.22464679910000e-15 	-5.42161105352717e-10	 4.50409529308422e-09	-1.31839629147356e-34		1.00000000000000e+00
9.00000000000000e-02    	-4.79359470214296e-11 	 -9.99999999949314e+00   1.22464679910000e-15 	-2.57719932468555e-09	 3.34553275307623e-08	-4.60286804342252e-33		1.00000000000000e+00
1.20000000000000e-01    	-1.89511529292361e-10 	 -9.99999999721721e+00   1.22464679910000e-15 	-7.42710862012272e-09	 1.36689141309890e-07	-5.32072870347763e-32		1.00000000000001e+00
1.50000000000000e-01    	-5.30844385716925e-10 	 -9.99999998969583e+00   1.22464679910000e-15 	-1.59655992299209e-08	 4.00782284619056e-07	-3.25585563705544e-31		1.00000000000008e+00
1.80000000000000e-01    	-1.18182187033209e-09 	 -9.99999997033754e+00   1.22464679910000e-15 	-2.78745552806228e-08	 9.49114624722646e-07	-1.28132982443014e-30		1.00000000000045e+00
2.10000000000000e-01    	-2.21477226150112e-09 	 -9.99999992839792e+00   1.22464679910000e-15 	-4.08377149997853e-08	 1.93290832856951e-06	-3.49142175989488e-30		1.00000000000187e+00
2.40000000000000e-01    	-3.59343044162739e-09 	 -9.99999984839365e+00   1.22464679910000e-15 	-4.98271267305860e-08	 3.51310819306986e-06	-6.30745878574051e-30		1.00000000000617e+00
2.70000000000000e-01    	-5.08342758109656e-09 	 -9.99999971018937e+00   1.22464679910000e-15 	-4.66049695410603e-08	 5.83386567930018e-06	-4.08239537799835e-30		1.00000000001702e+00
3.00000000000000e-01    	-6.15250260196069e-09 	 -9.99999948998471e+00   1.22464679910000e-15 	-1.95540107753216e-08	 8.98942987490336e-06	2.12024199554739e-29		1.00000000004041e+00
3.30000000000000e-01    	-5.87174859696241e-09 	 -9.99999916235999e+00   1.22464679910000e-15 	4.60707236843727e-08	 1.29872017414422e-05	1.10822783610638e-28		1.00000000008433e+00
3.60000000000000e-01    	-2.83154145853892e-09 	 -9.99999870344459e+00   1.22464679910001e-15 	1.67407668361625e-07	 1.77104901642392e-05	3.41121626350353e-28		1.00000000015684e+00
3.90000000000000e-01    	4.91294061845379e-09 	 -9.99999809515644e+00   1.22464679910002e-15 	3.62750420033433e-07	 2.28850452616695e-05	8.30318567898349e-28		1.00000000026193e+00
4.20000000000000e-01    	1.98517391945545e-08 	 -9.99999733033513e+00   1.22464679910006e-15 	6.49830389795980e-07	 2.80536764540623e-05	1.73148796229349e-27		1.00000000039372e+00
4.50000000000000e-01    	4.49723009118377e-08 	 -9.99999641846230e+00   1.22464679910013e-15 	1.04369495741837e-06	 3.25631494398271e-05	3.20231551948503e-27		1.00000000053072e+00
4.80000000000000e-01    	8.36434257110553e-08 	 -9.99999539154363e+00   1.22464679910026e-15 	1.55430465537249e-06	 3.55670796684713e-05	5.34607053953002e-27		1.00000000063372e+00
5.10000000000000e-01    	1.39424962469601e-07 	 -9.99999430962670e+00   1.22464679910046e-15 	2.18401699816692e-06	 3.60477072051695e-05	8.12775579812177e-27		1.00000000065210e+00
5.40000000000000e-01    	2.15802815563266e-07 	 -9.99999326535905e+00   1.22464679910075e-15 	2.92515936578709e-06	 3.28582816882418e-05	1.12842619559245e-26		1.00000000054411e+00
5.70000000000000e-01    	3.15855257373530e-07 	 -9.99999238695980e+00   1.22464679910114e-15 	3.75791476916059e-06	 2.47863637073918e-05	1.42648173925530e-26		1.00000000031424e+00
6.00000000000000e-01    	4.41863373662382e-07 	 -9.99999183899272e+00   1.22464679910160e-15 	4.64874916764612e-06	 1.06367399003448e-05	1.62528421692196e-26		1.00000000006738e+00
6.30000000000000e-01    	5.94885172810502e-07 	 -9.99999182039290e+00   1.22464679910209e-15 	5.54959549127779e-06	 -1.06690488565799e-05	1.63254738806644e-26		1.00000000007231e+00
6.60000000000000e-01    	7.74318911307019e-07 	 -9.99999255931491e+00   1.22464679910255e-15 	6.39797770213692e-06	 -3.99812428685333e-05	1.37954187449673e-26		1.00000000081972e+00
6.90000000000000e-01    	9.77486003585658e-07 	 -9.99999430453387e+00   1.22464679910289e-15 	7.11821017562762e-06	 -7.78046762079609e-05	8.74655067598388e-27		1.00000000305212e+00
7.20000000000000e-01    	1.19926706158951e-06 	 -9.99999731333742e+00   1.22464679910306e-15 	7.62374728299609e-06	 -1.24183360624796e-04	2.71983015618999e-27		1.00000000773981e+00
7.50000000000000e-01    	1.43182585297108e-06 	 -1.00000018360860e+01   1.22464679910308e-15 	7.82069045672662e-06	 -1.78595249992681e-04	-5.63505144780341e-28		1.00000001597871e+00
7.80000000000000e-01    	1.66445514361793e-06 	 -1.00000080978796e+01   1.22464679910312e-15 	7.61239073174955e-06	 -2.39866049661160e-04	5.37545199159523e-27		1.00000002879683e+00
8.10000000000000e-01    	1.88357552492442e-06 	 -1.00000162780347e+01   1.22464679910359e-15 	6.90501860059387e-06	 -3.06110857680757e-04	2.99719111377664e-26		1.00000004687577e+00
8.40000000000000e-01    	2.07291356541240e-06 	 -1.00000264883307e+01   1.22464679910523e-15 	5.61391315615231e-06	 -3.74711769696869e-04	8.51976077434376e-26		1.00000007022021e+00
8.70000000000000e-01    	2.21387917766791e-06 	 -1.00000387512125e+01   1.22464679910914e-15 	3.67046978408472e-06	 -4.42338333098444e-04	1.84339489952118e-25		1.00000009783833e+00
9.00000000000000e-01    	2.28615415303408e-06 	 -1.00000529793153e+01   1.22464679911685e-15 	1.02927864337891e-06	 -5.05015920284509e-04	3.39923771835141e-25		1.00000012752106e+00
