0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.64663269058119e-13 	 -1.03454863149581e-11   1.00000000000000e+01 	-2.73476948034338e-11	 -1.71830643452285e-09	-1.08361174151187e-21		1.00000000000000e+00
6.00000000000000e-02    	-5.13253644548606e-12 	 -3.22486313260170e-10   1.00000000000000e+01 	-4.21702030352375e-10	 -2.64963420725439e-08	-5.30093615456929e-19		1.00000000000000e+00
9.00000000000000e-02    	-3.72853373933378e-11 	 -2.34271142810319e-09   1.00000000000000e+01 	-2.00458313415828e-09	 -1.25952171464511e-07	-1.88821320935368e-17		1.00000000000001e+00
1.20000000000000e-01    	-1.47404506310753e-10 	 -9.26175743628809e-09   1.00000000000000e+01 	-5.77687614990377e-09	 -3.62975973642389e-07	-2.25462173872829e-16		1.00000000000007e+00
1.50000000000000e-01    	-4.12895106185536e-10 	 -2.59433290237175e-08   1.00000000000000e+01 	-1.24180799163450e-08	 -7.80270104537030e-07	-1.45205963898397e-15		1.00000000000030e+00
1.80000000000000e-01    	-9.19224615443850e-10 	 -5.77580373949440e-08   1.00000000000000e+01 	-2.16807383420309e-08	 -1.36229928572051e-06	-6.20932790471808e-15		1.00000000000093e+00
2.10000000000000e-01    	-1.72265223261886e-09 	 -1.08241584980643e-07   1.00000000000000e+01 	-3.17637495651034e-08	 -1.99590043197178e-06	-1.95785301328577e-14		1.00000000000199e+00
2.40000000000000e-01    	-2.79500614653586e-09 	 -1.75624340605864e-07   1.00000000000000e+01 	-3.87582449790375e-08	 -2.43543875708785e-06	-4.79724705849080e-14		1.00000000000297e+00
2.70000000000000e-01    	-3.95411639740808e-09 	 -2.48458945736166e-07   1.00000000000000e+01 	-3.62608020969022e-08	 -2.27849656984117e-06	-9.26527854782421e-14		1.00000000000260e+00
3.00000000000000e-01    	-4.78625222595130e-09 	 -3.00746584981513e-07   1.00000000000000e+01 	-1.52404207244375e-08	 -9.57612777734733e-07	-1.35600306166323e-13		1.00000000000046e+00
3.30000000000000e-01    	-4.56926781331976e-09 	 -2.87114057127583e-07   1.00000000000000e+01 	3.57715578981798e-08	 2.24743440334937e-06	-1.19460838590158e-13		1.00000000000253e+00
3.60000000000000e-01    	-2.20688143454991e-09 	 -1.38706776910957e-07   1.00000000000000e+01 	1.30124097690489e-07	 8.17383850667004e-06	6.85720483762627e-14		1.00000000003341e+00
3.90000000000000e-01    	3.81459054777266e-09 	 2.39476497033611e-07   1.00000000000000e+01 	2.82107059951669e-07	 1.77154471670276e-05	5.88371409774942e-13		1.00000000015696e+00
4.20000000000000e-01    	1.54357682082307e-08 	 9.69083574318302e-07   1.00000000000000e+01 	5.05647557076317e-07	 3.17391174226164e-05	1.58416427184791e-12		1.00000000050381e+00
4.50000000000000e-01    	3.49897595902381e-08 	 2.19609098303450e-06   1.00000000000001e+01 	8.12692439286820e-07	 5.09812985741268e-05	3.03594186568231e-12		1.00000000129988e+00
4.80000000000000e-01    	6.51154579812330e-08 	 4.08515756515754e-06   1.00000000000002e+01 	1.21135818324227e-06	 7.59307063775152e-05	4.50571575931050e-12		1.00000000288347e+00
5.10000000000000e-01    	1.08613184240652e-07 	 6.81034670556132e-06   1.00000000000004e+01 	1.70395784714759e-06	 1.06705038067519e-04	4.78977269270728e-12		1.00000000569443e+00
5.40000000000000e-01    	1.68240957485672e-07 	 1.05421793810070e-05   1.00000000000005e+01 	2.28504063255017e-06	 1.42931364909578e-04	1.53552280960494e-12		1.00000001021730e+00
5.70000000000000e-01    	2.46454103513648e-07 	 1.54312878388471e-05   1.00000000000004e+01 	2.93960321385189e-06	 1.83640968976612e-04	-9.06271374392774e-12		1.00000001686632e+00
6.00000000000000e-01    	3.45096008631477e-07 	 2.15892712000419e-05   9.99999999999980e+00 	3.64165303191640e-06	 2.27189832604818e-04	-3.23272283930188e-11		1.00000002581424e+00
6.30000000000000e-01    	4.65053495973986e-07 	 2.90676874738077e-05   9.99999999999825e+00 	4.35332029333892e-06	 2.71215649115856e-04	-7.47411908567457e-11		1.00000003678844e+00
6.60000000000000e-01    	6.05896350438731e-07 	 3.78364270855893e-05   9.99999999999506e+00 	5.02472327323656e-06	 3.12641054306547e-04	-1.43031472124287e-10		1.00000004888484e+00
