0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157063049e-02 	 9.51056516298435e-01   3.09016994370000e-01 	-1.00000000009009e+01	 -2.45912185427434e-09	3.78991895927967e-20		1.00498756220174e+01
6.00000000000000e-02    	-5.97022314127760e-02 	 9.51056516266764e-01   3.09016994370000e-01 	-1.00000000150533e+01	 -2.18023249852081e-08	-3.64762693823846e-19		1.00498756360995e+01
9.00000000000000e-02    	-8.95533471202202e-02 	 9.51056516189749e-01   3.09016994370000e-01 	-1.00000000722993e+01	 -1.27489396325312e-08	-5.10775676625112e-17		1.00498756930614e+01
1.20000000000000e-01    	-1.19404462830313e-01 	 9.51056516448730e-01   3.09016994370000e-01 	-1.00000001951713e+01	 2.64929134448870e-07	1.21666804794057e-15		1.00498758153236e+01
1.50000000000000e-01    	-1.49255578544735e-01 	 9.51056518528468e-01   3.09016994370000e-01 	-1.00000003530633e+01	 1.30974394745050e-06	2.53418073990804e-14		1.00498759724321e+01
1.80000000000000e-01    	-1.79106694262894e-01 	 9.51056525696542e-01   3.09016994370000e-01 	-1.00000004167325e+01	 3.78708482024300e-06	1.87038612407295e-13		1.00498760357859e+01
2.10000000000000e-01    	-2.08957809978634e-01 	 9.51056543137284e-01   3.09016994370002e-01 	-1.00000001394970e+01	 8.25642939989356e-06	8.02538288301389e-13		1.00498757599290e+01
2.40000000000000e-01    	-2.38808925677071e-01 	 9.51056577048009e-01   3.09016994370006e-01 	-9.99999918792593e+00	 1.47628088449074e-05	2.31316331208404e-12		1.00498748130878e+01
2.70000000000000e-01    	-2.68660041333218e-01 	 9.51056632450725e-01   3.09016994370016e-01 	-9.99999723203991e+00	 2.24090913925374e-05	4.67440822119698e-12		1.00498728669226e+01
3.00000000000000e-01    	-2.98511156914073e-01 	 9.51056709898442e-01   3.09016994370033e-01 	-9.99999408572809e+00	 2.90720526694970e-05	6.30796264844099e-12		1.00498697362425e+01
3.30000000000000e-01    	-3.28362272385267e-01 	 9.51056801758709e-01   3.09016994370050e-01 	-9.99998986715550e+00	 3.14282278636863e-05	3.88962336014329e-12		1.00498655386130e+01
3.60000000000000e-01    	-3.58213387722189e-01 	 9.51056889191944e-01   3.09016994370050e-01 	-9.99998513243946e+00	 2.54061684762763e-05	-4.87815317379619e-12		1.00498608273774e+01
3.90000000000000e-01    	-3.88064502923945e-01 	 9.51056941155097e-01   3.09016994370019e-01 	-9.99998092951612e+00	 7.08424075950140e-06	-1.47565493382001e-11		1.00498566452829e+01
4.20000000000000e-01    	-4.17915618027068e-01 	 9.51056916632253e-01   3.09016994369979e-01 	-9.99997872672819e+00	 -2.60744324591911e-05	-6.54162769361612e-12		1.00498544534583e+01
