0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+00  	1.22464679910000e-16    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157063051e-02 	 -1.00000000000061e+00   1.22464675095987e-16 	-1.00000000009014e+01	 -1.21767283428014e-09	-1.76545164786540e-20		1.00498756220178e+01
6.00000000000000e-02    	-5.97022314127546e-02 	 -1.00000000003744e+00   1.22455655966955e-16 	-1.00000000123583e+01	 -3.69632179599681e-08	-1.62681855608484e-17		1.00498756334178e+01
9.00000000000000e-02    	-8.95533471198684e-02 	 -1.00000000039917e+00   1.21792408472056e-16 	-1.00000000464697e+01	 -2.56775275876472e-07	-7.85065878535946e-16		1.00498756673600e+01
1.20000000000000e-01    	-1.19404462828153e-01 	 -1.00000000204118e+00   1.09612725415385e-16 	-1.00000000835021e+01	 -9.51102263484531e-07	-1.07709530495041e-14		1.00498757042087e+01
1.50000000000000e-01    	-1.49255578536587e-01 	 -1.00000000687135e+00   9.99852878360093e-18 	-1.00000000346911e+01	 -2.43615305210152e-06	-7.06657287209064e-14		1.00498756556401e+01
1.80000000000000e-01    	-1.79106694240271e-01 	 -1.00000001748430e+00   -4.56045239647094e-16 	-9.99999972692961e+00	 -4.80663137552043e-06	-2.75094140581054e-13		1.00498753494068e+01
2.10000000000000e-01    	-2.08957809928207e-01 	 -1.00000003604588e+00   -1.85426779706948e-15 	-9.99999892936943e+00	 -7.63104400402429e-06	-6.93374128050526e-13		1.00498745558066e+01
2.40000000000000e-01    	-2.38808925582605e-01 	 -1.00000006233268e+00   -4.62388138717873e-15 	-9.99999742963060e+00	 -9.71333533550646e-06	-1.12340537541831e-12		1.00498730635124e+01
2.70000000000000e-01    	-2.68660041181068e-01 	 -1.00000009133180e+00   -7.98011264999450e-15 	-9.99999514947758e+00	 -9.05838776371938e-06	-9.77015663724938e-13		1.00498707946748e+01
3.00000000000000e-01    	-2.98511156702453e-01 	 -1.00000011118139e+00   -9.65586085202483e-15 	-9.99999227138083e+00	 -3.14739019029212e-06	-1.17950353574479e-13		1.00498679308579e+01
3.30000000000000e-01    	-3.28362272136098e-01 	 -1.00000010244632e+00   -1.05091415394005e-14 	-9.99998933402542e+00	 1.04458210370294e-05	-1.29922713666123e-12		1.00498650080850e+01
3.60000000000000e-01    	-3.58213387492822e-01 	 -1.00000003966643e+00   -2.77648895334910e-14 	-9.99998725155594e+00	 3.31699734977854e-05	-1.31005769100593e-11		1.00498629359997e+01
3.90000000000000e-01    	-3.88064502814883e-01 	 -9.99999895734588e-01   -1.13322244033505e-13 	-9.99998722108213e+00	 6.45231984047249e-05	-4.95714964052644e-11		1.00498629058296e+01
4.20000000000000e-01    	-4.17915618181402e-01 	 -9.99999648992613e-01   -3.60184629211026e-13 	-9.99999050553907e+00	 1.01253318117025e-04	-1.22072772370152e-10		1.00498661742893e+01
4.50000000000000e-01    	-4.47766733705875e-01 	 -9.99999292092796e-01   -8.72087865085681e-13 	-9.99999811078396e+00	 1.37021676383648e-04	-2.23552120664817e-10		1.00498737422148e+01
4.80000000000000e-01    	-4.77617849523387e-01 	 -9.99998840852879e-01   -1.68627624972637e-12 	-1.00000104102227e+01	 1.62777052696277e-04	-3.15490668951754e-10		1.00498859809980e+01
5.10000000000000e-01    	-5.07468965766989e-01 	 -9.99998340755679e-01   -2.68397796392315e-12 	-1.00000267989368e+01	 1.67967566127747e-04	-3.35931701919640e-10		1.00499022884636e+01
5.40000000000000e-01    	-5.37320082535170e-01 	 -9.99997868618175e-01   -3.57509171741585e-12 	-1.00000454738803e+01	 1.42539525304914e-04	-2.41919692089748e-10		1.00499208703349e+01
5.70000000000000e-01    	-5.67171199855139e-01 	 -9.99997527415003e-01   -4.05131887741337e-12 	-1.00000634308810e+01	 7.94647828346552e-05	-7.51891214056388e-11		1.00499387375227e+01
6.00000000000000e-01    	-5.97022317649289e-01 	 -9.99997433309125e-01   -4.11766687156411e-12 	-1.00000767402679e+01	 -2.26537033920651e-05	-6.11182812562752e-12		1.00499519805698e+01
6.30000000000000e-01    	-6.26873435714069e-01 	 -9.99997695499908e-01   -4.44595270577226e-12 	-1.00000811132244e+01	 -1.57476915035280e-04	-2.95279338209667e-10		1.00499563330328e+01
6.60000000000000e-01    	-6.56724553720501e-01 	 -9.99998391291961e-01   -6.44622667631611e-12 	-1.00000727077711e+01	 -3.09928022595774e-04	-1.14371923403368e-09		1.00499479728386e+01
6.90000000000000e-01    	-6.86575671243043e-01 	 -9.99999540461932e-01   -1.17781015589517e-11 	-1.00000490582388e+01	 -4.56790606914111e-04	-2.48445957608125e-09		1.00499244462753e+01
