0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157062994e-02 	 -5.87785252288687e-01   -8.09016994370000e-01 	-1.00000000000059e+01	 2.37076123404813e-09	-1.07665496073859e-19		1.00498756211268e+01
6.00000000000000e-02    	-5.97022314126367e-02 	 -5.87785252233297e-01   -8.09016994370000e-01 	-1.00000000046593e+01	 5.17806158917890e-08	-3.51479142028825e-17		1.00498756257571e+01
9.00000000000000e-02    	-8.95533471195023e-02 	 -5.87785251778635e-01   -8.09016994370000e-01 	-1.00000000441234e+01	 3.06727101917231e-07	-8.79030300159219e-16		1.00498756650253e+01
1.20000000000000e-01    	-1.19404462828881e-01 	 -5.87785249947255e-01   -8.09016994370000e-01 	-1.00000001898904e+01	 1.01689383861094e-06	-6.42104479340246e-15		1.00498758100690e+01
1.50000000000000e-01    	-1.49255578545345e-01 	 -5.87785245063441e-01   -8.09016994370000e-01 	-1.00000005398785e+01	 2.36359197449468e-06	-1.63364150667510e-14		1.00498761583203e+01
1.80000000000000e-01    	-1.79106694276156e-01 	 -5.87785235325134e-01   -8.09016994370000e-01 	-1.00000011671544e+01	 4.20399630772184e-06	2.51870489523098e-14		1.00498767824838e+01
2.10000000000000e-01    	-2.08957810029441e-01 	 -5.87785220166462e-01   -8.09016994370000e-01 	-1.00000020431745e+01	 5.81715478906101e-06	3.10427824768580e-13		1.00498776541572e+01
2.40000000000000e-01    	-2.38808925810010e-01 	 -5.87785202217233e-01   -8.09016994369998e-01 	-1.00000029611968e+01	 5.77981987966234e-06	1.07540531073799e-12		1.00498785676235e+01
2.70000000000000e-01    	-2.68660041613344e-01 	 -5.87785189288679e-01   -8.09016994369993e-01 	-1.00000034939559e+01	 2.08926510412805e-06	2.00812716010975e-12		1.00498790977372e+01
3.00000000000000e-01    	-2.98511157419231e-01 	 -5.87785195536474e-01   -8.09016994369987e-01 	-1.00000030180731e+01	 -7.40454916038491e-06	1.27042763915716e-12		1.00498786242186e+01
