0.00000000000000e+00    	0.00000000000000e+00 	 -1.83697019870000e-16  	-1.00000000000000e+00    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157062940e-02 	 -2.37628391233463e-12   -1.00000000000000e+00 	-9.99999999906080e+00	 -3.92433287618357e-09	6.10651965318252e-20		1.00498756201864e+01
6.00000000000000e-02    	-5.97022314124375e-02 	 -6.82805431386798e-11   -1.00000000000000e+00 	-9.99999998712317e+00	 -5.38045055644091e-08	2.59966485224841e-17		1.00498756083080e+01
9.00000000000000e-02    	-8.95533471178889e-02 	 -4.26291862257910e-10   -1.00000000000000e+00 	-9.99999995158029e+00	 -2.02316713797283e-07	7.17310430150838e-16		1.00498755729415e+01
1.20000000000000e-01    	-1.19404462822120e-01 	 -1.29916542805969e-09   -1.00000000000000e+00 	-9.99999991299393e+00	 -3.63545819655269e-07	5.56252383470167e-15		1.00498755345466e+01
1.50000000000000e-01    	-1.49255578526196e-01 	 -2.23779178319849e-09   -1.00000000000000e+00 	-9.99999996385306e+00	 -1.51036224829808e-07	1.58870532525375e-14		1.00498755851533e+01
1.80000000000000e-01    	-1.79106694235219e-01 	 -1.08832212388236e-09   -1.00000000000000e+00 	-1.00000002845283e+01	 1.18887220146554e-06	-6.95190579798984e-15		1.00498759042372e+01
2.10000000000000e-01    	-2.08957809960645e-01 	 6.98384336839760e-09   -1.00000000000000e+00 	-1.00000011155543e+01	 4.66122989050828e-06	-1.81469743824703e-13		1.00498767311400e+01
2.40000000000000e-01    	-2.38808925721003e-01 	 2.98013259239080e-08   -1.00000000000000e+00 	-1.00000026782215e+01	 1.11906832498794e-05	-5.25078419434466e-13		1.00498782860571e+01
2.70000000000000e-01    	-2.68660041539611e-01 	 7.72137235747876e-08   -1.00000000000000e+00 	-1.00000050540463e+01	 2.11178539941142e-05	-2.12388432217786e-13		1.00498806501071e+01
3.00000000000000e-01    	-2.98511157438466e-01 	 1.58522705842170e-07   -9.99999999999999e-01 	-1.00000080528983e+01	 3.36483179325524e-05	3.62451634278383e-12		1.00498836341106e+01
3.30000000000000e-01    	-3.28362273428615e-01 	 2.78414428428376e-07   -9.99999999999972e-01 	-1.00000111134838e+01	 4.64367661073107e-05	1.63143912683486e-11		1.00498866795579e+01
3.60000000000000e-01    	-3.58213389498687e-01 	 4.32099801205590e-07   -9.99999999999887e-01 	-1.00000132832927e+01	 5.55031913917190e-05	4.32155486799641e-11		1.00498888386445e+01
3.90000000000000e-01    	-3.88064505604500e-01 	 6.00902173399960e-07   -9.99999999999700e-01 	-1.00000133149731e+01	 5.56355817420577e-05	8.37408184843384e-11		1.00498888701684e+01
4.20000000000000e-01    	-4.17915621663390e-01 	 7.49859092134169e-07   -9.99999999999386e-01 	-1.00000098925806e+01	 4.13353496282035e-05	1.25558300671423e-10		1.00498854646916e+01
4.50000000000000e-01    	-4.47766737556801e-01 	 8.28872930796360e-07   -9.99999999998971e-01 	-1.00000019680298e+01	 8.22329350416773e-06	1.47521759635511e-10		1.00498775793871e+01
4.80000000000000e-01    	-4.77617853143599e-01 	 7.78474608610836e-07   -9.99999999998537e-01 	-9.99998915222004e+00	 -4.53260088712094e-05	1.39138922005779e-10		1.00498648272787e+01
5.10000000000000e-01    	-5.07468968284695e-01 	 5.40374469504326e-07   -9.99999999998140e-01 	-9.99997207542815e+00	 -1.16678400762315e-04	1.33207942186570e-10		1.00498478358111e+01
5.40000000000000e-01    	-5.37320082876919e-01 	 7.17945860115683e-08   -9.99999999997641e-01 	-9.99995261634372e+00	 -1.97983502954033e-04	2.29858496526015e-10		1.00498284745720e+01
5.70000000000000e-01    	-5.67171196891243e-01 	 -6.38664920849482e-07   -9.99999999996516e-01 	-9.99993390520219e+00	 -2.76162181221695e-04	5.78872086911608e-10		1.00498098581355e+01
6.00000000000000e-01    	-5.97022310407646e-01 	 -1.55688865492992e-06   -9.99999999993809e-01 	-9.99992003658724e+00	 -3.34106952370828e-04	1.30094851892425e-09		1.00497960601082e+01
6.30000000000000e-01    	-6.26873423637054e-01 	 -2.59459985269096e-06   -9.99999999988393e-01 	-9.99991547929026e+00	 -3.53147509849954e-04	2.37313557390126e-09		1.00497915260796e+01
6.60000000000000e-01    	-6.56724536920747e-01 	 -3.60972208910472e-06   -9.99999999979523e-01 	-9.99992423647087e+00	 -3.16558639331137e-04	3.55753463342014e-09		1.00498002385802e+01
6.90000000000000e-01    	-6.86575650700327e-01 	 -4.41817337699934e-06   -9.99999999967426e-01 	-9.99994887714866e+00	 -2.13605249476452e-04	4.47042353399289e-09		1.00498247542539e+01
7.20000000000000e-01    	-7.16426765457018e-01 	 -4.81764487124152e-06   -9.99999999953399e-01 	-9.99998961517241e+00	 -4.33897088447548e-05	4.83036581732077e-09		1.00498652879249e+01
7.50000000000000e-01    	-7.46277881626776e-01 	 -4.62151226069799e-06   -9.99999999939006e-01 	-1.00000436399658e+01	 1.82350768164303e-04	4.79312952593714e-09		1.00499190461652e+01
7.80000000000000e-01    	-7.76128999505180e-01 	 -3.69849914665522e-06   -9.99999999924408e-01 	-1.00001048937079e+01	 4.38309560424089e-04	5.15003056862976e-09		1.00499800038247e+01
8.10000000000000e-01    	-8.05980119160547e-01 	 -2.01156311384690e-06   -9.99999999906622e-01 	-1.00001644376587e+01	 6.87136563027005e-04	7.14742630188239e-09		1.00500392662104e+01
8.40000000000000e-01    	-8.35831240373311e-01 	 3.51780527216067e-07   -9.99999999879004e-01 	-1.00002114597571e+01	 8.83645498819144e-04	1.18565341129080e-08		1.00500860703123e+01
8.70000000000000e-01    	-8.65682362614586e-01 	 3.16542878371436e-06   -9.99999999833019e-01 	-1.00002348585478e+01	 9.81434523634318e-04	1.93438383118564e-08		1.00501093620582e+01
9.00000000000000e-01    	-8.95533485069778e-01 	 6.07310175488246e-06   -9.99999999762137e-01 	-1.00002252141127e+01	 9.41129943882396e-04	2.81790541056178e-08		1.00500997616293e+01
9.30000000000000e-01    	-9.25384606707592e-01 	 8.62227116111413e-06   -9.99999999665979e-01 	-1.00001768481211e+01	 7.39005035066031e-04	3.58248565282249e-08		1.00500516187642e+01
9.60000000000000e-01    	-9.55235726392710e-01 	 1.03224702124113e-05   -9.99999999551743e-01 	-1.00000896054743e+01	 3.74431283520302e-04	4.00429828568872e-08		1.00499647888793e+01
9.90000000000000e-01    	-9.85086843040126e-01 	 1.07221054336774e-05   -9.99999999430525e-01 	-9.99996997807989e+00	 -1.25430522184075e-04	4.07513866931123e-08		1.00498457489770e+01
1.02000000000000e+00    	-1.01493795580555e+00 	 9.49342604580013e-06   -9.99999999308821e-01 	-9.99983124781130e+00	 -7.05050524025151e-04	4.11817212856474e-08		1.00497077311631e+01
1.05000000000000e+00    	-1.04478906429466e+00 	 6.51199607558162e-06   -9.99999999179093e-01 	-9.99969245064389e+00	 -1.28488168235284e-03	4.72034168117490e-08		1.00495696802592e+01
1.08000000000000e+00    	-1.07464016875430e+00 	 1.91565146949921e-06   -9.99999999015608e-01 	-9.99957614509418e+00	 -1.77069950460733e-03	6.45345949375782e-08		1.00494540258122e+01
1.11000000000000e+00    	-1.10449127018933e+00 	 -3.87093952646683e-06   -9.99999998780534e-01 	-9.99950518121737e+00	 -2.06709541595396e-03	9.49580191278151e-08		1.00493834707447e+01
1.14000000000000e+00    	-1.13434237034344e+00 	 -1.01561853767979e-05   -9.99999998440084e-01 	-9.99949887754119e+00	 -2.09341778719262e-03	1.33798627880270e-07		1.00493772038045e+01
1.17000000000000e+00    	-1.16419347150389e+00 	 -1.60498287475697e-05   -9.99999997983410e-01 	-9.99956918306264e+00	 -1.79976230703928e-03	1.70884400753649e-07		1.00494471034978e+01
1.20000000000000e+00    	-1.19404457613946e+00 	 -2.05756172872537e-05   -9.99999997432361e-01 	-9.99971749174412e+00	 -1.18024990655819e-03	1.95603890699150e-07		1.00495945842448e+01
1.23000000000000e+00    	-1.22389568644252e+00 	 -2.28161815769303e-05   -9.99999996832174e-01 	-9.99993275910874e+00	 -2.80904910243723e-04	2.04070265129323e-07		1.00498087178614e+01
1.26000000000000e+00    	-1.25374680389140e+00 	 -2.20705901125986e-05   -9.99999996222620e-01 	-1.00001914329115e+01	 7.99997571486823e-04	2.04279794659240e-07		1.00500661358458e+01
1.29000000000000e+00    	-1.28359792895078e+00 	 -1.80000898771983e-05   -9.99999995602105e-01 	-1.00004594629067e+01	 1.92024469873483e-03	2.15140627857807e-07		1.00503329873482e+01
1.32000000000000e+00    	-1.31344906097715e+00 	 -1.07361138051520e-05   -9.99999994906019e-01 	-1.00006963313197e+01	 2.91046305440567e-03	2.58034923313631e-07		1.00505689183283e+01
1.35000000000000e+00    	-1.34330019831525e+00 	 -9.27431900309772e-07   -9.99999994017978e-01 	-1.00008606959846e+01	 3.59770367377786e-03	3.44144995831032e-07		1.00507326899069e+01
1.38000000000000e+00    	-1.37315133850195e+00 	 1.02896246293223e-05   -9.99999992816705e-01 	-1.00009169204441e+01	 3.83282022045155e-03	4.64578662644348e-07		1.00507887222912e+01
1.41000000000000e+00    	-1.40300247848155e+00 	 2.14033152952142e-05   -9.99999991238778e-01 	-1.00008415350757e+01	 3.51761135361955e-03	5.90588774427637e-07		1.00507135957247e+01
1.44000000000000e+00    	-1.43285361479336e+00 	 3.07136366445354e-05   -9.99999989321290e-01 	-1.00006285738922e+01	 2.62723846265642e-03	6.86692132968051e-07		1.00505014191001e+01
1.47000000000000e+00    	-1.46270474378800e+00 	 3.65739084589723e-05   -9.99999987191116e-01 	-1.00002927887806e+01	 1.22366349193643e-03	7.31878773294771e-07		1.00501670313826e+01
1.50000000000000e+00    	-1.49255586199643e+00 	 3.76548510367397e-05   -9.99999984992524e-01 	-9.99986996239414e+00	 -5.43182910358929e-04	7.37512275793467e-07		1.00497462435546e+01
1.53000000000000e+00    	-1.52240696674859e+00 	 3.31916536052567e-05   -9.99999982782150e-01 	-9.99941390814029e+00	 -2.44817322963905e-03	7.49553578490420e-07		1.00492927363005e+01
1.56000000000000e+00    	-1.55225805700005e+00 	 2.31725053984809e-05   -9.99999980449052e-01 	-9.99899022522957e+00	 -4.21728582313429e-03	8.29525172820856e-07		1.00488717431231e+01
1.59000000000000e+00    	-1.58210913412968e+00 	 8.43153953846925e-06   -9.99999977716731e-01 	-9.99866741121087e+00	 -5.56478141682423e-03	1.02078927627979e-06		1.00485511874500e+01
1.62000000000000e+00    	-1.61196020233404e+00 	 -9.37983276152645e-06   -9.99999974246698e-01 	-9.99850644559440e+00	 -6.23653158882605e-03	1.31775567742495e-06		1.00483914153919e+01
1.65000000000000e+00    	-1.64181126827705e+00 	 -2.79526813887078e-05   -9.99999969803923e-01 	-9.99855035371024e+00	 -6.05325781650473e-03	1.65816913948520e-06		1.00484349934511e+01
1.68000000000000e+00    	-1.67166233989569e+00 	 -4.46009347153381e-05   -9.99999964395764e-01 	-9.99881544865138e+00	 -4.94677585524710e-03	1.94893751619134e-06		1.00486981667669e+01
1.71000000000000e+00    	-1.70151342463151e+00 	 -5.66314452034483e-05   -9.99999958291312e-01 	-9.99928586341104e+00	 -2.98273285723563e-03	2.11731030948950e-06		1.00491654715659e+01
1.74000000000000e+00    	-1.73136452767138e+00 	 -6.17552057312047e-05   -9.99999951880969e-01 	-9.99991260453019e+00	 -3.64816728345031e-04	2.16138007271794e-06		1.00497886660038e+01
1.77000000000000e+00    	-1.76121565084996e+00 	 -5.84796262632397e-05   -9.99999945426269e-01 	-1.00006177235939e+01	 2.58212970599683e-03	2.16835914937508e-06		1.00504906109532e+01
1.80000000000000e+00    	-1.79106679260496e+00 	 -4.64187614830223e-05   -9.99999938829368e-01 	-1.00013034134284e+01	 5.44955565805798e-03	2.28212844817637e-06		1.00511740441163e+01
1.83000000000000e+00    	-1.82091794888260e+00 	 -2.64651437506747e-05   -9.99999931567887e-01 	-1.00018650286137e+01	 7.79937310179954e-03	2.62902159254258e-06		1.00517344215232e+01
1.86000000000000e+00    	-1.85076911441819e+00 	 -7.83145151678149e-07   -9.99999922870349e-01 	-1.00022063449102e+01	 9.22802287511875e-03	3.23858316795096e-06		1.00520752545222e+01
1.89000000000000e+00    	-1.88062028364747e+00 	 2.73922586997825e-05   -9.99999912075596e-01 	-1.00022549198540e+01	 9.43142934153325e-03	4.00687007708711e-06		1.00521237772731e+01
1.92000000000000e+00    	-1.91047145078272e+00 	 5.41389534204700e-05   -9.99999898995194e-01 	-1.00019752592833e+01	 8.26087705950808e-03	4.73353797921981e-06		1.00518444739972e+01
1.95000000000000e+00    	-1.94032260920271e+00 	 7.53719593776164e-05   -9.99999884058994e-01 	-1.00013776467096e+01	 5.76034733138344e-03	5.22507044748437e-06		1.00512480823892e+01
1.98000000000000e+00    	-1.97017375091587e+00 	 8.74418082671901e-05   -9.99999868111823e-01 	-1.00005209366878e+01	 2.17786250783163e-03	5.41453333448098e-06		1.00503942085993e+01
2.01000000000000e+00    	-2.00002486705902e+00 	 8.77228766635753e-05   -9.99999851914972e-01 	-9.99950831582131e+00	 -2.05327820001125e-03	5.42836474615325e-06		1.00493865869594e+01
2.04000000000000e+00    	-2.02987594996469e+00 	 7.51012466997346e-05   -9.99999835595734e-01 	-9.99847594923113e+00	 -6.36321759443320e-03	5.54944448034145e-06		1.00483611498554e+01
2.07000000000000e+00    	-2.05972699639676e+00 	 5.02785773886717e-05   -9.99999818366610e-01 	-9.99757548381312e+00	 -1.01194245255241e-02	6.07900593188436e-06		1.00474682361942e+01
2.10000000000000e+00    	-2.08957801059381e+00 	 1.58289020251953e-05   -9.99999798733870e-01 	-9.99695245311339e+00	 -1.27166352439544e-02	7.16183970304403e-06		1.00468512511469e+01
2.13000000000000e+00    	-2.11942900537095e+00 	 -2.40225066791860e-05   -9.99999775160690e-01 	-9.99672354645732e+00	 -1.36704514283569e-02	8.67347050911785e-06		1.00466247339896e+01
