0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034368228e-02 	 1.00000000000199e+00   -2.44929299562756e-16 	-1.00000000057220e+00	 5.61230022414638e-10	3.11467192861575e-20		1.41421356277770e+00
6.00000000000000e-02    	-4.24264069074984e-02 	 1.00000000012376e+00   -2.44813675402265e-16 	-1.00000000819513e+00	 1.72782735935920e-08	2.95213525942469e-17		1.41421356816792e+00
9.00000000000000e-02    	-6.36396105470415e-02 	 1.00000000134344e+00   -2.35954685942321e-16 	-1.00000003385287e+00	 1.22987824399397e-07	1.49575312906273e-15		1.41421358631069e+00
1.20000000000000e-01    	-8.48528145590996e-02 	 1.00000000705084e+00   -6.28565147875817e-17 	-1.00000007596305e+00	 4.72451139921542e-07	2.20723962930068e-14		1.41421361608716e+00
1.50000000000000e-01    	-1.06066018967233e-01 	 1.00000002459392e+00   1.48422494738342e-15 	-1.00000009866856e+00	 1.27442897571558e-06	1.60607915289901e-13		1.41421363214288e+00
1.80000000000000e-01    	-1.27279223155127e-01 	 1.00000006560535e+00   9.68365557570351e-15 	-1.00000001538702e+00	 2.70531692742255e-06	7.23722320164202e-13		1.41421357325595e+00
2.10000000000000e-01    	-1.48492425302331e-01 	 1.00000014398647e+00   3.90780666045143e-14 	-9.99999686983432e-01	 4.77866570306056e-06	2.25813026582213e-12		1.41421334104505e+00
2.40000000000000e-01    	-1.69705621909843e-01 	 1.00000027092938e+00   1.15233913884907e-13 	-9.99998941316280e-01	 7.20309452418641e-06	5.13066893391446e-12		1.41421281378920e+00
2.70000000000000e-01    	-1.90918807657232e-01 	 1.00000044719100e+00   2.60824626894991e-13 	-9.99997616005589e-01	 9.27328761332397e-06	8.50361012093335e-12		1.41421187666589e+00
3.00000000000000e-01    	-2.12131975819881e-01 	 1.00000065382731e+00   4.59941192582863e-13 	-9.99995619987911e-01	 9.84131124238255e-06	9.57727292386852e-12		1.41421046527448e+00
3.30000000000000e-01    	-2.33345119393516e-01 	 1.00000084352364e+00   6.28740219807458e-13 	-9.99993003043101e-01	 7.40651844768517e-06	5.42454331642830e-12		1.41420861480547e+00
3.60000000000000e-01    	-2.54558232929757e-01 	 1.00000093527340e+00   6.76730082032348e-13 	-9.99990017443047e-01	 3.42187631091387e-07	1.15429240049251e-14		1.41420650365704e+00
3.90000000000000e-01    	-2.75771314902896e-01 	 1.00000081525109e+00   7.73916496770469e-13 	-9.99987153507943e-01	 -1.27514980905654e-05	1.60790535514548e-11		1.41420447861811e+00
4.20000000000000e-01    	-2.96984370238206e-01 	 1.00000034616535e+00   1.86876717158403e-12 	-9.99985132098870e-01	 -3.26106998340949e-05	1.05162228305876e-10		1.41420304959445e+00
4.50000000000000e-01    	-3.18197412476593e-01 	 9.99999386149571e-01   6.28581695222840e-12 	-9.99984842255779e-01	 -5.88596626593467e-05	3.42590806268656e-10		1.41420284549487e+00
4.80000000000000e-01    	-3.39410464969521e-01 	 9.99997816473166e-01   1.79376782293897e-11 	-9.99987220903738e-01	 -8.96439754196291e-05	7.94662393207297e-10		1.41420452905753e+00
5.10000000000000e-01    	-3.60623560523315e-01 	 9.99995575286678e-01   4.15300856915119e-11 	-9.99993082662480e-01	 -1.21444609445599e-04	1.45846774043623e-09		1.41420867629979e+00
5.40000000000000e-01    	-3.81836739059365e-01 	 9.99992692600469e-01   8.04027279900164e-11 	-1.00000291957366e+00	 -1.49160024738658e-04	2.20011189310378e-09		1.41421563469103e+00
5.70000000000000e-01    	-4.03050043122227e-01 	 9.99989320140920e-01   1.33475281143952e-10 	-1.00001670092875e+00	 -1.66512633232867e-04	2.74178662045110e-09		1.41422538156507e+00
6.00000000000000e-01    	-4.24263511425481e-01 	 9.99985749013572e-01   1.92926127557096e-10 	-1.00003371023477e+00	 -1.66788363638343e-04	2.75087481215313e-09		1.41423740914469e+00
