0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-8.87495361297263e-14 	 3.09016994370678e-01   -9.51056516300000e-01 	-1.29553924801029e-11	 1.07739708196761e-10	3.96441749837824e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.06185280439219e-12 	 3.09016994386532e-01   -9.51056516300000e-01 	-2.88914517138426e-11	 1.20117197651567e-09	7.57997855940432e-19		1.00000000000000e+00
9.00000000000000e-02    	5.50096241415890e-12 	 3.09016994454510e-01   -9.51056516300000e-01 	7.55912283471416e-10	 3.30435746589320e-09	1.20803186241963e-17		1.00000000000000e+00
1.20000000000000e-01    	7.95155794498399e-11 	 3.09016994548539e-01   -9.51056516300000e-01 	5.16530123452785e-09	 1.47912423198971e-09	4.74699212614226e-17		1.00000000000000e+00
1.50000000000000e-01    	4.08820328914622e-10 	 3.09016994368981e-01   -9.51056516300000e-01 	1.90349684480620e-08	 -1.81794219777984e-08	-1.06548842350580e-16		1.00000000000000e+00
1.80000000000000e-01    	1.40867965706549e-09 	 3.09016993025240e-01   -9.51056516300000e-01 	5.17276250926202e-08	 -8.15434306961689e-08	-1.75842221518484e-15		1.00000000000000e+00
2.10000000000000e-01    	3.82747880604080e-09 	 3.09016988651842e-01   -9.51056516300000e-01 	1.16007993433364e-07	 -2.27785660975864e-07	-8.75726743547165e-15		1.00000000000003e+00
2.40000000000000e-01    	8.83770951060658e-09 	 3.09016978016277e-01   -9.51056516300000e-01 	2.27176323336252e-07	 -5.08523249419476e-07	-2.75477712076821e-14		1.00000000000015e+00
2.70000000000000e-01    	1.80894187729721e-08 	 3.09016956189696e-01   -9.51056516300002e-01 	4.01435003023709e-07	 -9.84449563308873e-07	-6.04459168995772e-14		1.00000000000057e+00
3.00000000000000e-01    	3.37037723845588e-08 	 3.09016916357628e-01   -9.51056516300004e-01 	6.53546420842978e-07	 -1.71937678656901e-06	-8.30728660681610e-14		1.00000000000169e+00
3.30000000000000e-01    	5.81874060174962e-08 	 3.09016849846172e-01   -9.51056516300006e-01 	9.93924945488846e-07	 -2.77188355459359e-06	4.38129886158932e-15		1.00000000000434e+00
