0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-3.08468060196616e-13 	 5.87785252288618e-01   8.09016994370000e-01 	-5.27184352131921e-11	 -2.31310231331946e-10	5.98148828625718e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.10356011431149e-11 	 5.87785252245180e-01   8.09016994370000e-01 	-9.55350595121030e-10	 -3.74258373410546e-09	1.27395307775492e-18		1.00000000000000e+00
9.00000000000000e-02    	-9.11829557067057e-11 	 5.87785251950808e-01   8.09016994370000e-01 	-5.28585393232400e-09	 -1.87094449345312e-08	2.44997378203313e-17		1.00000000000000e+00
1.20000000000000e-01    	-4.08635733601109e-10 	 5.87785250889606e-01   8.09016994370000e-01 	-1.77226443047960e-08	 -5.69902847952514e-08	1.54927225979264e-16		1.00000000000000e+00
1.50000000000000e-01    	-1.29974421954234e-09 	 5.87785248175909e-01   8.09016994370000e-01 	-4.47082913941116e-08	 -1.30667398073903e-07	3.85224414510152e-16		1.00000000000001e+00
1.80000000000000e-01    	-3.30915740028911e-09 	 5.87785242617949e-01   8.09016994370000e-01 	-9.34724096219190e-08	 -2.47159721845776e-07	-4.70718790004892e-16		1.00000000000003e+00
2.10000000000000e-01    	-7.19135519221268e-09 	 5.87785232942538e-01   8.09016994370000e-01 	-1.70471407924194e-07	 -4.03486235361426e-07	-7.66313052144451e-15		1.00000000000010e+00
2.40000000000000e-01    	-1.38582015322373e-08 	 5.87785218195570e-01   8.09016994369999e-01 	-2.79378259010009e-07	 -5.80413891241864e-07	-3.48712767137958e-14		1.00000000000021e+00
2.70000000000000e-01    	-2.42618684455085e-08 	 5.87785198309538e-01   8.09016994369998e-01 	-4.18822367128206e-07	 -7.37316188317372e-07	-1.06614789145142e-13		1.00000000000036e+00
3.00000000000000e-01    	-3.92093120500769e-08 	 5.87785174804044e-01   8.09016994369992e-01 	-5.80131958807820e-07	 -8.08587795656270e-07	-2.50868257903665e-13		1.00000000000050e+00
3.30000000000000e-01    	-5.91125991095089e-08 	 5.87785151560551e-01   8.09016994369982e-01 	-7.45364112763323e-07	 -7.02401795195011e-07	-4.70627700097005e-13		1.00000000000052e+00
3.60000000000000e-01    	-8.36881370892768e-08 	 5.87785135590924e-01   8.09016994369964e-01 	-8.85916792659481e-07	 -3.02459584951195e-07	-6.84393420348910e-13		1.00000000000044e+00
