0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.83621407079187e-13 	 2.85316954889797e+00   9.27050983120000e-01 	-2.99827672059946e-11	 -2.93653018371749e-10	8.49252120047808e-22		1.00000000000000e+00
6.00000000000000e-02    	-5.23291193261098e-12 	 2.85316954887828e+00   9.27050983120000e-01 	-4.13155073984009e-10	 -3.61590630914124e-10	-8.46172164438079e-20		1.00000000000000e+00
9.00000000000000e-02    	-3.42113122618202e-11 	 2.85316954906444e+00   9.27050983120000e-01 	-1.70688023425653e-09	 2.00610233829245e-08	1.43391834035350e-17		1.00000000000000e+00
1.20000000000000e-01    	-1.18626301545873e-10 	 2.85316955095865e+00   9.27050983120000e-01 	-4.05934240578254e-09	 1.30641051250520e-07	5.29766252854430e-16		1.00000000000001e+00
1.50000000000000e-01    	-2.78729200124346e-10 	 2.85316955920386e+00   9.27050983120000e-01 	-6.44337425890118e-09	 4.74221196358394e-07	6.52906545398831e-15		1.00000000000011e+00
1.80000000000000e-01    	-4.77054929794203e-10 	 2.85316958399485e+00   9.27050983120001e-01 	-5.92648413878473e-09	 1.27888885410021e-06	4.56232766349947e-14		1.00000000000082e+00
2.10000000000000e-01    	-5.52196408942455e-10 	 2.85316964362503e+00   9.27050983120004e-01 	2.89603471004746e-09	 2.85441814282951e-06	2.21049279572379e-13		1.00000000000407e+00
2.40000000000000e-01    	-1.39520503531468e-10 	 2.85316976666003e+00   9.27050983120018e-01 	2.81863436200276e-08	 5.57069105201327e-06	8.24066830335835e-13		1.00000000001552e+00
2.70000000000000e-01    	1.41118321484468e-09 	 2.85316999318427e+00   9.27050983120064e-01 	8.07691193355918e-08	 9.81755478020423e-06	2.51401245562112e-12		1.00000000004820e+00
3.00000000000000e-01    	5.10860556763146e-09 	 2.85317037458084e+00   9.27050983120192e-01 	1.73588253351236e-07	 1.59476044967323e-05	6.52823270900875e-12		1.00000000012718e+00
3.30000000000000e-01    	1.23693733978533e-08 	 2.85317097138056e+00   9.27050983120498e-01 	3.20685630907193e-07	 2.42054334914299e-05	1.48127833065610e-11		1.00000000029300e+00
3.60000000000000e-01    	2.50298283127233e-08 	 2.85317184885139e+00   9.27050983121149e-01 	5.35716996140906e-07	 3.46487980291042e-05	2.98939297029777e-11		1.00000000060041e+00
3.90000000000000e-01    	4.53070642965772e-08 	 2.85317307018798e+00   9.27050983122385e-01 	8.30067940572669e-07	 4.70687381127887e-05	5.42860888836275e-11		1.00000000110808e+00
4.20000000000000e-01    	7.56987855647248e-08 	 2.85317468739028e+00   9.27050983124513e-01 	1.21068192740476e-06	 6.09168289277604e-05	8.93075976977910e-11		1.00000000185616e+00
4.50000000000000e-01    	1.18815614212749e-07 	 2.85317673017562e+00   9.27050983127836e-01 	1.67775902271309e-06	 7.52482880689783e-05	1.33390241887046e-10		1.00000000283256e+00
4.80000000000000e-01    	1.77144872460805e-07 	 2.85317919353005e+00   9.27050983132547e-01 	2.22252504950995e-06	 8.86895431357964e-05	1.80318309645288e-10		1.00000000393539e+00
5.10000000000000e-01    	2.52751350611032e-07 	 2.85318202475244e+00   9.27050983138567e-01 	2.82530175712317e-06	 9.94380280356368e-05	2.18250497863686e-10		1.00000000494795e+00
5.40000000000000e-01    	3.46927766967768e-07 	 2.85318511105595e+00   9.27050983145387e-01 	3.45412405352912e-06	 1.05300427227657e-04	2.30726272334806e-10		1.00000000555006e+00
5.70000000000000e-01    	4.59814983887521e-07 	 2.85318826894711e+00   9.27050983151985e-01 	4.06414484685305e-06	 1.03773377912567e-04	2.00950385509002e-10		1.00000000539272e+00
6.00000000000000e-01    	5.90018860828921e-07 	 2.85319123668200e+00   9.27050983156929e-01 	4.59803680072802e-06	 9.21678726151210e-05	1.20295680642022e-10		1.00000000425803e+00
6.30000000000000e-01    	7.34256082287449e-07 	 2.85319367109011e+00   9.27050983158805e-01 	4.98754073999196e-06	 6.77754255430501e-05	1.04137987160238e-12		1.00000000230919e+00
6.60000000000000e-01    	8.87064552387491e-07 	 2.85319514994719e+00   9.27050983157075e-01 	5.15622371721251e-06	 2.80706604795621e-05	-1.08112175527114e-10		1.00000000040727e+00
6.90000000000000e-01    	1.04061426275747e-06 	 2.85319518086665e+00   9.27050983153400e-01 	5.02340201546675e-06	 -2.90584407870998e-05	-1.07028507634567e-10		1.00000000043481e+00
