0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-3.40894060533381e-13 	 -9.27050983119552e-01   2.85316954890000e+00 	-5.66165545251446e-11	 8.95069954079721e-11	-6.91781902009633e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.06256359179899e-11 	 -9.27050983091615e-01   2.85316954890000e+00 	-8.73029139994123e-10	 2.82584667734914e-09	-3.34734504870188e-18		1.00000000000000e+00
9.00000000000000e-02    	-7.71901205418676e-11 	 -9.27050982802000e-01   2.85316954890000e+00 	-4.15000343240159e-09	 2.09897038391130e-08	-1.16864615582905e-16		1.00000000000000e+00
1.20000000000000e-01    	-3.05166033261422e-10 	 -9.27050981374095e-01   2.85316954890000e+00 	-1.19597076674236e-08	 8.57580784629411e-08	-1.35090754557934e-15		1.00000000000000e+00
1.50000000000000e-01    	-8.54807463823305e-10 	 -9.27050976655214e-01   2.85316954890000e+00 	-2.57091223168097e-08	 2.51448787313344e-07	-8.26646166247678e-15		1.00000000000003e+00
1.80000000000000e-01    	-1.90306907542511e-09 	 -9.27050964509920e-01   2.85316954890000e+00 	-4.48862812204339e-08	 5.95469742229767e-07	-3.25323515542828e-14		1.00000000000018e+00
2.10000000000000e-01    	-3.56644165243627e-09 	 -9.27050938197213e-01   2.85316954890000e+00 	-6.57622735864263e-08	 1.21269698032636e-06	-8.86455306147445e-14		1.00000000000074e+00
2.40000000000000e-01    	-5.78659569561767e-09 	 -9.27050888002934e-01   2.85316954889999e+00 	-8.02429437710044e-08	 2.20410647638765e-06	-1.60143366021599e-13		1.00000000000243e+00
2.70000000000000e-01    	-8.18629808773293e-09 	 -9.27050801294264e-01   2.85316954889999e+00 	-7.50675740389664e-08	 3.66013815587664e-06	-1.03650034254462e-13		1.00000000000670e+00
3.00000000000000e-01    	-9.90880240368807e-09 	 -9.27050663138955e-01   2.85316954889999e+00 	-3.15365081685848e-08	 5.63992343866210e-06	5.38319631085912e-13		1.00000000001590e+00
3.30000000000000e-01    	-9.45891141275048e-09 	 -9.27050457588844e-01   2.85316954890004e+00 	7.40840029910149e-08	 8.14810563919626e-06	2.81373920095949e-12		1.00000000003320e+00
3.60000000000000e-01    	-4.56764205732910e-09 	 -9.27050169667609e-01   2.85316954890020e+00 	2.69381801995368e-07	 1.11114732835164e-05	8.66092161015481e-12		1.00000000006177e+00
3.90000000000000e-01    	7.89557006075034e-09 	 -9.27049788030656e-01   2.85316954890062e+00 	5.83809793071084e-07	 1.43579632916873e-05	2.10814121904544e-11		1.00000000010325e+00
4.20000000000000e-01    	3.19392597627865e-08 	 -9.27049308185578e-01   2.85316954890157e+00 	1.04592762662039e-06	 1.76007365712473e-05	4.39617068022888e-11		1.00000000015544e+00
4.50000000000000e-01    	7.23734077745900e-08 	 -9.27048736081116e-01   2.85316954890341e+00 	1.67999194679097e-06	 2.04299574553634e-05	8.13053886100162e-11		1.00000000021010e+00
4.80000000000000e-01    	1.34623193304394e-07 	 -9.27048091797461e-01   2.85316954890662e+00 	2.50208981626901e-06	 2.23146094156425e-05	1.35734440640736e-10		1.00000000025210e+00
5.10000000000000e-01    	2.24423118478178e-07 	 -9.27047413008092e-01   2.85316954891171e+00 	3.51607920974920e-06	 2.26161570115363e-05	2.06360326452872e-10		1.00000000026193e+00
5.40000000000000e-01    	3.47390392776817e-07 	 -9.27046757839469e-01   2.85316954891910e+00 	4.70965615868946e-06	 2.06151385829924e-05	2.86502843976578e-10		1.00000000022358e+00
5.70000000000000e-01    	5.08486655406170e-07 	 -9.27046206735345e-01   2.85316954892886e+00 	6.05090467734774e-06	 1.55508817210841e-05	3.62178164369998e-10		1.00000000013922e+00
6.00000000000000e-01    	7.11388054373671e-07 	 -9.27045862941689e-01   2.85316954894058e+00 	7.48569848125399e-06	 6.67352397631305e-06	4.12653687031574e-10		1.00000000005029e+00
6.30000000000000e-01    	9.57794633348472e-07 	 -9.27045851268591e-01   2.85316954895313e+00 	8.93630970155299e-06	 -6.69354404673399e-06	4.14498322397381e-10		1.00000000006233e+00
6.60000000000000e-01    	1.24672007814611e-06 	 -9.27046314857965e-01   2.85316954896478e+00 	1.03015381472730e-05	 -2.50837475997308e-05	3.50261907179100e-10		1.00000000036766e+00
6.90000000000000e-01    	1.57381131710790e-06 	 -9.27047409788632e-01   2.85316954897350e+00 	1.14586060923256e-05	 -4.88138071916108e-05	2.22073701752622e-10		1.00000000125704e+00
7.20000000000000e-01    	1.93075348589064e-06 	 -9.27049297479881e-01   2.85316954897784e+00 	1.22669710550654e-05	 -7.79113301898106e-05	6.90572183894907e-11		1.00000000311033e+00
7.50000000000000e-01    	2.30481870749668e-06 	 -9.27052135004896e-01   2.85316954897831e+00 	1.25740974212679e-05	 -1.12048790128445e-04	-1.43090354547940e-11		1.00000000635652e+00
7.80000000000000e-01    	2.67861651998039e-06 	 -9.27056063588794e-01   2.85316954897929e+00 	1.22231032540069e-05	 -1.50489454462947e-04	1.36466879563116e-10		1.00000001139824e+00
8.10000000000000e-01    	3.03009932455001e-06 	 -9.27061195732958e-01   2.85316954899122e+00 	1.10620682583004e-05	 -1.92050772673533e-04	7.60931676518630e-10		1.00000001850293e+00
8.40000000000000e-01    	3.33286785796042e-06 	 -9.27067601567494e-01   2.85316954903271e+00 	8.95465982257385e-06	 -2.35090325453062e-04	2.16302680625685e-09		1.00000002767382e+00
8.70000000000000e-01    	3.55680955889454e-06 	 -9.27075295175832e-01   2.85316954913215e+00 	5.79161316641105e-06	 -2.77518653989547e-04	4.68007829493940e-09		1.00000003852507e+00
9.00000000000000e-01    	3.66908713648677e-06 	 -9.27084221748855e-01   2.85316954932788e+00 	1.50249497295475e-06	 -3.16842149636637e-04	8.63008957229216e-09		1.00000005019560e+00
9.30000000000000e-01    	3.63547616835169e-06 	 -9.27094246500187e-01   2.85316954966662e+00 	-3.93290727021663e-06	 -3.50237724527666e-04	1.42410158137456e-08		1.00000006134096e+00
9.60000000000000e-01    	3.42202981060757e-06 	 -9.27105146300605e-01   2.85316955019962e+00 	-1.04742910595326e-05	 -3.74659260681703e-04	2.15717997031624e-08		1.00000007023963e+00
9.90000000000000e-01    	2.99702648116416e-06 	 -9.27116604961188e-01   2.85316955097641e+00 	-1.80123952841813e-05	 -3.86973926536720e-04	3.04409727954742e-08		1.00000007503663e+00
1.02000000000000e+00    	2.33313359847525e-06 	 -9.27128213007597e-01   2.85316955203690e+00 	-2.63631645179367e-05	 -3.84124450141640e-04	4.03830436051130e-08		1.00000007412330e+00
1.05000000000000e+00    	1.40969818011812e-06 	 -9.27139472640607e-01   2.85316955340276e+00 	-3.52652424133667e-05	 -3.63311454676839e-04	5.06540577970822e-08		1.00000006661942e+00
