0.00000000000000e+00    	0.00000000000000e+00 	 -9.18485099360000e-16  	-5.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	5.47030649996798e-28 	 -9.18485099360000e-16   -5.00000000000000e+00 	9.08522447559783e-26	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.00000000000000e-02    	1.70508941246957e-26 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.40094461964735e-24	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.00000000000000e-02    	1.23866525332844e-25 	 -9.18485099360000e-16   -5.00000000000000e+00 	6.65948591081439e-24	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.20000000000000e-01    	4.89698164416317e-25 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.91916768633154e-23	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.50000000000000e-01    	1.37170511198224e-24 	 -9.18485099360000e-16   -5.00000000000000e+00 	4.12553246414586e-23	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.80000000000000e-01    	3.05384839691522e-24 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.20290301010744e-23	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.10000000000000e-01    	5.72307166478717e-24 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.05529506260767e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.40000000000000e-01    	9.28580895878661e-24 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.28769273118425e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.70000000000000e-01    	1.31368025981006e-23 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.20471248641809e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-01    	1.59014138595499e-23 	 -9.18485099360000e-16   -5.00000000000000e+00 	5.06319892022508e-23	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.30000000000000e-01    	1.51806195440188e-23 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.18828890946201e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.60000000000000e-01    	7.33386175529575e-24 	 -9.18485099360000e-16   -5.00000000000000e+00 	-4.32176460116913e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.90000000000000e-01    	-1.26618743183991e-23 	 -9.18485099360000e-16   -5.00000000000000e+00 	-9.36671310847342e-22	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
4.20000000000000e-01    	-5.12384941631553e-23 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.67814703734143e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
4.50000000000000e-01    	-1.16114244929738e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.69554228551039e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
4.80000000000000e-01    	-2.15995176366345e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	-4.01469739800052e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
5.10000000000000e-01    	-3.60084600508712e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	-5.64183594829571e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
5.40000000000000e-01    	-5.57398549520396e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	-7.55724066237859e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
5.70000000000000e-01    	-8.15901495380045e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	-9.70969297706815e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.00000000000000e-01    	-1.14149412129422e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.20122688553474e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.30000000000000e-01    	-1.53690255177794e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.43400655339460e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.60000000000000e-01    	-2.00053487253081e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.65303720979384e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.90000000000000e-01    	-2.52538468340754e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.83856913599758e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
7.20000000000000e-01    	-3.09807155760847e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.96798745344198e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
7.50000000000000e-01    	-3.69811349238866e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.01674495571526e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
7.80000000000000e-01    	-4.29752581398231e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.95960171924066e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
8.10000000000000e-01    	-4.86083391812694e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.77213671794905e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
8.40000000000000e-01    	-5.34557341876808e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.43247422938919e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
8.70000000000000e-01    	-5.70333087219907e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-9.23146517288267e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.00000000000000e-01    	-5.88135179642656e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.32995533825938e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.30000000000000e-01    	-5.82471119395777e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	6.40998411160141e-21	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.60000000000000e-01    	-5.47900658751473e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.69208265588680e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.90000000000000e-01    	-4.79349641902041e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	2.90241783495293e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.02000000000000e+00    	-3.72456954588520e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	4.24220442389830e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.05000000000000e+00    	-2.23939668146107e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	5.66936024571193e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.08000000000000e+00    	-3.19584227353613e-22 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.12984030027954e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.11000000000000e+00    	2.03537275674334e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	8.55866443349523e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.14000000000000e+00    	4.80505667327809e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	9.88168618482230e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.17000000000000e+00    	7.94573534210756e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.10180988604360e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.20000000000000e+00    	1.13888272938761e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.18836340701467e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.23000000000000e+00    	1.50404201281619e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.23943655529549e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.26000000000000e+00    	1.87820051883526e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.24709892471429e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.29000000000000e+00    	2.24725471364855e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.20434115231686e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.32000000000000e+00    	2.59519513458063e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.10554436052541e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.35000000000000e+00    	2.90459272472302e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	9.46937368216800e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
