0.00000000000000e+00    	0.00000000000000e+00 	 5.70633909780000e+00  	1.85410196620000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-7.41586197160772e-13 	 5.70633909779967e+00   1.85410196620000e+00 	-1.23164525960171e-10	 -6.65242004854515e-11	-1.18082669132345e-21		1.00000000000000e+00
6.00000000000000e-02    	-2.31151723022150e-11 	 5.70633909777890e+00   1.85410196620000e+00 	-1.89920106355549e-09	 -2.10025138517615e-09	-5.71370018684028e-19		1.00000000000000e+00
9.00000000000000e-02    	-1.67920581883903e-10 	 5.70633909756365e+00   1.85410196620000e+00 	-9.02798184602809e-09	 -1.56001580316161e-08	-1.99480295278428e-17		1.00000000000000e+00
1.20000000000000e-01    	-6.63862963677584e-10 	 5.70633909650239e+00   1.85410196620000e+00 	-2.60173385997663e-08	 -6.37378974076728e-08	-2.30591130956320e-16		1.00000000000000e+00
1.50000000000000e-01    	-1.85956207492368e-09 	 5.70633909299518e+00   1.85410196620000e+00 	-5.59280730143973e-08	 -1.86884053380515e-07	-1.41103125968840e-15		1.00000000000002e+00
1.80000000000000e-01    	-4.13997080900631e-09 	 5.70633908396845e+00   1.85410196620000e+00 	-9.76465975777747e-08	 -4.42570447903621e-07	-5.55306100897908e-15		1.00000000000010e+00
2.10000000000000e-01    	-7.75851672287747e-09 	 5.70633906441208e+00   1.85410196620000e+00 	-1.43061459728835e-07	 -9.01311737103508e-07	-1.51312162005305e-14		1.00000000000042e+00
2.40000000000000e-01    	-1.25883442484841e-08 	 5.70633902710623e+00   1.85410196620000e+00 	-1.74565678623077e-07	 -1.63815624802547e-06	-2.73354307476699e-14		1.00000000000136e+00
2.70000000000000e-01    	-1.78089012662394e-08 	 5.70633896266181e+00   1.85410196620000e+00 	-1.63314009899375e-07	 -2.72032162092847e-06	-1.76923724504927e-14		1.00000000000371e+00
3.00000000000000e-01    	-2.15565866511423e-08 	 5.70633885998074e+00   1.85410196620000e+00 	-6.86307402735993e-08	 -4.19175608600021e-06	9.18877387951339e-14		1.00000000000879e+00
3.30000000000000e-01    	-2.05790382730733e-08 	 5.70633870720989e+00   1.85410196620001e+00 	1.61109829697987e-07	 -6.05591066286862e-06	4.80287245631150e-13		1.00000000001835e+00
3.60000000000000e-01    	-9.94074499524038e-09 	 5.70633849321839e+00   1.85410196620004e+00 	5.85917661329518e-07	 -8.25837232471818e-06	1.47836359513934e-12		1.00000000003427e+00
3.90000000000000e-01    	1.71679810606390e-08 	 5.70633820957464e+00   1.85410196620011e+00 	1.26986262118575e-06	 -1.06712585889052e-05	3.59846081539283e-12		1.00000000005774e+00
4.20000000000000e-01    	6.94667902323622e-08 	 5.70633785293974e+00   1.85410196620027e+00 	2.27507772104803e-06	 -1.30813822406236e-05	7.50397752833343e-12		1.00000000008815e+00
4.50000000000000e-01    	1.57419070568339e-07 	 5.70633742773497e+00   1.85410196620058e+00 	3.65434516608894e-06	 -1.51841420551356e-05	1.38782974023170e-11		1.00000000012196e+00
4.80000000000000e-01    	2.92827112988625e-07 	 5.70633694888448e+00   1.85410196620113e+00 	5.44268632892485e-06	 -1.65848731240261e-05	2.31689737997313e-11		1.00000000015234e+00
5.10000000000000e-01    	4.88167003947391e-07 	 5.70633644438816e+00   1.85410196620200e+00 	7.64852658050338e-06	 -1.68090019865992e-05	3.52243406560715e-11		1.00000000017052e+00
5.40000000000000e-01    	7.55660613138925e-07 	 5.70633595744697e+00   1.85410196620326e+00 	1.02451268921349e-05	 -1.53218124372140e-05	4.89041430416615e-11		1.00000000016986e+00
5.70000000000000e-01    	1.10610412408508e-06 	 5.70633554784837e+00   1.85410196620493e+00 	1.31630547141798e-05	 -1.15579643799013e-05	6.18214645304150e-11		1.00000000015343e+00
