y	z	phi	r	period	thetamin	thetamax
7.50000000000000e-01	0.00000000000000e+00	0.00000000000000e+00	7.50000000000000e-01	6.96000000000000e+03	3.12139648065116e+00	3.66639138027719e-02
8.00000000000000e-01	0.00000000000000e+00	0.00000000000000e+00	8.00000000000000e-01	6.38000000000000e+03	3.12317630754870e+00	3.71098247647272e-02
8.50000000000000e-01	0.00000000000000e+00	0.00000000000000e+00	8.50000000000000e-01	5.82000000000000e+03	3.12105379200178e+00	3.78496043084350e-02
9.00000000000000e-01	0.00000000000000e+00	0.00000000000000e+00	9.00000000000000e-01	5.40000000000000e+03	3.12659333808670e+00	2.75418766665394e-02
9.50000000000000e-01	0.00000000000000e+00	0.00000000000000e+00	9.50000000000000e-01	5.02000000000000e+03	3.12816963205574e+00	3.23245026905395e-02
1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.00000000000000e+00	4.68000000000000e+03	3.12195367551069e+00	3.53121318990712e-02
1.05000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.05000000000000e+00	4.40000000000000e+03	3.12594701665668e+00	3.37149939615948e-02
1.10000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.10000000000000e+00	4.18000000000000e+03	3.12589235879650e+00	3.09118640492098e-02
1.15000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.15000000000000e+00	3.94000000000000e+03	3.12770450215668e+00	3.23350715283121e-02
1.20000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.20000000000000e+00	3.72000000000000e+03	3.12256862984571e+00	3.47467503403387e-02
1.25000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.25000000000000e+00	3.52000000000000e+03	3.12613036691161e+00	3.13986499834318e-02
1.30000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.30000000000000e+00	3.34000000000000e+03	3.12546514598064e+00	3.09426154239483e-02
1.35000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.35000000000000e+00	3.20000000000000e+03	3.12810984655350e+00	3.35436268933243e-02
1.40000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.40000000000000e+00	3.04000000000000e+03	3.12492652579407e+00	3.02299626259946e-02
1.45000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.45000000000000e+00	2.92000000000000e+03	3.12613398440798e+00	3.15679392298507e-02
1.50000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.50000000000000e+00	2.78000000000000e+03	3.12448540283461e+00	3.18548539896961e-02
1.55000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.55000000000000e+00	2.68000000000000e+03	3.12603890015560e+00	3.13242901577851e-02
1.60000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.60000000000000e+00	2.56000000000000e+03	3.12768750071714e+00	2.85771422989982e-02
1.65000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.65000000000000e+00	2.48000000000000e+03	3.12479376628097e+00	3.23491558194801e-02
1.70000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.70000000000000e+00	2.38000000000000e+03	3.12934611559738e+00	3.07017511560626e-02
1.75000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.75000000000000e+00	2.30000000000000e+03	3.12777950527208e+00	3.38777444643699e-02
1.80000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.80000000000000e+00	2.26000000000000e+03	3.12701387341224e+00	2.90528906015732e-02
1.85000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.85000000000000e+00	2.16000000000000e+03	3.13026332318797e+00	2.81038693009213e-02
1.90000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.90000000000000e+00	2.10000000000000e+03	3.12700617824418e+00	3.07346039577624e-02
1.95000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.95000000000000e+00	2.04000000000000e+03	3.12845794701007e+00	2.67900881899382e-02
2.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.00000000000000e+00	1.96000000000000e+03	3.12811778126151e+00	2.67492609210851e-02
2.05000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.05000000000000e+00	1.92000000000000e+03	3.12807168671694e+00	2.89668376079452e-02
2.10000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.10000000000000e+00	1.86000000000000e+03	3.13022119195678e+00	2.68985199374061e-02
2.15000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.15000000000000e+00	1.82000000000000e+03	3.12621291121507e+00	2.61125284161700e-02
2.20000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.20000000000000e+00	1.78000000000000e+03	3.13201717605704e+00	2.87046052579610e-02
2.25000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.25000000000000e+00	1.72000000000000e+03	3.12775864907676e+00	2.85012100486565e-02
2.30000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.30000000000000e+00	1.70000000000000e+03	3.12687096113491e+00	3.16296809820397e-02
2.35000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.35000000000000e+00	1.66000000000000e+03	3.13198431801102e+00	2.89920170318161e-02
2.40000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.40000000000000e+00	1.62000000000000e+03	3.12581860789264e+00	2.33230124296993e-02
2.45000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.45000000000000e+00	1.58000000000000e+03	3.12617656398392e+00	2.78538128414393e-02
2.50000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.50000000000000e+00	1.54000000000000e+03	3.12653930619149e+00	2.62793013005250e-02
2.55000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.55000000000000e+00	1.54000000000000e+03	3.12689731883096e+00	1.09998657330039e-02
2.60000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.60000000000000e+00	1.50000000000000e+03	3.12693116709924e+00	1.23963947097522e-02
2.65000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.65000000000000e+00	1.46000000000000e+03	3.12361784805959e+00	1.17528683018855e-02
2.70000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.70000000000000e+00	1.46000000000000e+03	3.12596450507813e+00	1.11682146590275e-02
