t	x	y	px	py
0.000000	0.000000	-19.000000	0.000000	0.000000
0.750000	0.000000	-19.000000	0.000000	0.000001
1.500000	0.000000	-18.999996	0.000000	0.000009
2.250000	0.000000	-18.999996	0.000000	-0.000028
3.000000	0.000000	-19.000090	0.000000	-0.000270
3.750000	0.000000	-19.000478	0.000000	-0.000805
4.500000	0.000001	-19.001298	0.000001	-0.001324
5.250000	0.000001	-19.002260	0.000001	-0.001025
6.000000	0.000001	-19.002424	0.000000	0.000887
6.750000	0.000004	-19.000556	0.000009	0.004235
7.500000	0.000017	-18.996149	0.000026	0.007230
8.250000	0.000038	-18.990523	0.000025	0.007004
9.000000	0.000048	-18.986988	0.000001	0.001510
9.750000	0.000054	-18.989348	0.000034	-0.008204
10.500000	0.000121	-18.999135	0.000148	-0.017215
11.250000	0.000255	-19.013288	0.000177	-0.018794
12.000000	0.000339	-19.024353	0.000038	-0.008726
12.750000	0.000352	-19.023958	0.000058	0.010752
13.500000	0.000529	-19.008198	0.000457	0.030229
14.250000	0.000995	-18.981835	0.000686	0.037042
15.000000	0.001378	-18.958073	0.000256	0.022613
15.750000	0.001432	-18.952691	0.000054	-0.010380
16.500000	0.001786	-18.974366	0.001063	-0.046105
17.250000	0.003014	-19.017064	0.002004	-0.063305
18.000000	0.004309	-19.060981	0.001166	-0.048300
18.750000	0.004664	-19.081901	0.000007	-0.003831
19.500000	0.004961	-19.064359	0.001238	0.049759
20.250000	0.006790	-19.012563	0.003439	0.082929
21.000000	0.009293	-18.951452	0.002604	0.072173
21.750000	0.010208	-18.916667	0.000099	0.014042
22.500000	0.010662	-18.936056	0.002171	-0.065900
23.250000	0.014382	-19.009480	0.007667	-0.123833
24.000000	0.020759	-19.106850	0.008165	-0.127789
24.750000	0.024940	-19.184897	0.002648	-0.072773
25.500000	0.025509	-19.206275	0.000169	0.018361
26.250000	0.027165	-19.159800	0.005013	0.100134
27.000000	0.032521	-19.070703	0.008101	0.127288
27.750000	0.037003	-18.989724	0.002949	0.076804
28.500000	0.037618	-18.972391	0.000695	-0.037287
29.250000	0.041729	-19.046331	0.012153	-0.155902
30.000000	0.055596	-19.188579	0.023845	-0.218380
30.750000	0.072914	-19.347832	0.020688	-0.203412
31.500000	0.083309	-19.470480	0.007041	-0.118667
32.250000	0.085072	-19.514591	0.000002	0.002149
33.000000	0.086529	-19.473063	0.004986	0.099862
33.750000	0.091786	-19.384742	0.007431	0.121913
34.500000	0.095178	-19.315427	0.001175	0.048483
35.250000	0.095937	-19.329533	0.004203	-0.091684
36.000000	0.106034	-19.448481	0.024708	-0.222297
36.750000	0.130864	-19.637749	0.041242	-0.287200
37.500000	0.160800	-19.845365	0.038535	-0.277616
38.250000	0.182851	-20.023852	0.020736	-0.203645
39.000000	0.191404	-20.133767	0.004041	-0.089902
39.750000	0.192194	-20.159518	0.000106	0.014589
40.500000	0.192918	-20.127940	0.001562	0.055886
41.250000	0.193585	-20.098079	0.000045	0.009466
42.000000	0.194685	-20.130479	0.005248	-0.102452
42.750000	0.204841	-20.250531	0.023652	-0.217493
43.500000	0.228787	-20.436457	0.040602	-0.284963
44.250000	0.259802	-20.647630	0.042883	-0.292859
45.000000	0.287088	-20.846004	0.030893	-0.248566
45.750000	0.303542	-21.000439	0.014264	-0.168904
46.500000	0.309616	-21.093740	0.003578	-0.084596
47.250000	0.310843	-21.135166	0.000602	-0.034697
48.000000	0.311287	-21.160815	0.000975	-0.044158
48.750000	0.313347	-21.214651	0.005644	-0.106246
49.500000	0.321460	-21.323026	0.017162	-0.185269
50.250000	0.338808	-21.481988	0.029538	-0.243057
51.000000	0.362594	-21.667812	0.034288	-0.261870
51.750000	0.386210	-21.852987	0.029342	-0.242246
52.500000	0.404038	-22.014251	0.019036	-0.195121
53.250000	0.414459	-22.137832	0.009767	-0.139766
54.000000	0.419667	-22.225491	0.005017	-0.100168
54.750000	0.422971	-22.295713	0.004439	-0.094218
55.500000	0.427196	-22.374845	0.007538	-0.122781
56.250000	0.435102	-22.482710	0.014266	-0.168916
