t	x	y	px	py
0.000000	0.000000	4.000000	0.000000	0.000000
0.750000	0.000000	4.000007	0.000000	0.000043
1.500000	0.000000	4.000131	0.000000	0.000292
2.250000	0.000000	4.000122	0.000000	-0.000896
3.000000	0.000008	3.997174	0.000036	-0.008495
3.750000	0.000116	3.984952	0.000322	-0.025363
4.500000	0.000571	3.959101	0.000874	-0.041816
5.250000	0.001193	3.928663	0.000532	-0.032617
6.000000	0.001327	3.923228	0.000382	0.027624
6.750000	0.003968	3.981683	0.008894	0.133375
7.500000	0.017045	4.118865	0.026981	0.232298
8.250000	0.040483	4.303304	0.033413	0.258507
9.000000	0.058547	4.464444	0.012231	0.156401
9.750000	0.061240	4.492297	0.005582	-0.105657
10.500000	0.090797	4.297913	0.095712	-0.437519
11.250000	0.204279	3.922169	0.282398	-0.751529
12.000000	0.427629	3.440029	0.603279	-1.098434
12.750000	0.754020	2.915076	0.894376	-1.337442
13.500000	1.091841	2.387929	0.657625	-1.146844
14.250000	1.306825	1.915667	0.184603	-0.607624
15.000000	1.342278	1.769730	0.023969	0.218947
15.750000	1.467079	2.140602	0.480027	0.979823
16.500000	1.801567	2.663814	1.123747	1.499164
17.250000	2.190963	3.193205	0.852703	1.305912
18.000000	2.424739	3.671298	0.151059	0.549652
18.750000	2.463722	3.667652	0.175812	-0.592979
19.500000	2.730304	3.174318	1.028475	-1.434207
20.250000	3.126519	2.645136	0.926988	-1.361608
21.000000	3.330947	2.211259	0.018164	-0.190599
21.750000	3.463102	2.527864	0.754341	1.228284
22.500000	3.877574	3.052504	1.480291	1.720634
23.250000	4.243578	3.573961	0.409150	0.904599
24.000000	4.324593	3.629518	0.302513	-0.777835
24.750000	4.672512	3.112061	1.378014	-1.660129
25.500000	5.042377	2.590250	0.381577	-0.873587
26.250000	5.154402	2.672433	0.642415	1.133504
27.000000	5.581143	3.191949	1.761624	1.877032
27.750000	5.968040	3.709531	0.366747	0.856443
28.500000	6.090025	3.607538	0.746686	-1.222036
29.250000	6.509777	3.083349	1.309275	-1.618193
30.000000	6.724632	2.719855	0.060675	0.348354
30.750000	7.054459	3.207541	1.869663	1.933734
31.500000	7.522532	3.718310	0.947800	1.376808
32.250000	7.672198	3.848127	0.471408	-0.970987
33.000000	8.078823	3.326834	1.461746	-1.709822
33.750000	8.313964	2.962910	0.091970	0.428883
34.500000	8.679287	3.457520	2.146578	2.071993
35.250000	9.149204	3.964794	0.786625	1.254293
36.000000	9.312344	3.951071	0.882285	-1.328371
36.750000	9.746220	3.428882	1.100420	-1.483523
37.500000	9.931688	3.358965	0.799755	1.264717
38.250000	10.413876	3.860780	2.317531	2.152919
39.000000	10.786205	4.353089	0.086446	0.415803
39.750000	11.039315	3.977295	1.568978	-1.771428
40.500000	11.391986	3.483392	0.043387	-0.294575
41.250000	11.687782	3.893652	2.241710	2.117409
42.000000	12.201828	4.383922	1.294053	1.608759
42.750000	12.392282	4.500616	0.712354	-1.193611
43.500000	12.815598	3.977319	1.009524	-1.420932
44.250000	13.018260	4.004342	1.206477	1.553369
45.000000	13.536445	4.491200	2.461746	2.218894
45.750000	13.877267	4.956561	0.007350	0.121246
46.500000	14.174493	4.513201	1.509475	-1.737513
47.250000	14.423868	4.182887	0.223334	0.668333
48.000000	14.856399	4.679062	2.855881	2.389929
48.750000	15.351746	5.172053	0.775015	1.245002
49.500000	15.533280	5.109648	1.074870	-1.466199
50.250000	15.911046	4.591019	0.234620	-0.685011
51.000000	16.161859	4.913104	2.116088	2.057225
51.750000	16.707550	5.384657	2.110721	2.054615
52.500000	16.974132	5.791816	0.022678	-0.212971
53.250000	17.287984	5.305954	1.160454	-1.523452
54.000000	17.476864	5.151225	0.539029	1.038295
54.750000	17.952722	5.646283	3.092274	2.486875
55.500000	18.455444	6.135957	0.873913	1.322054
56.250000	18.592307	6.279568	0.425321	-0.922303
57.000000	18.935730	5.754945	0.523136	-1.022875
57.750000	19.086259	5.880215	0.962506	1.387448
58.500000	19.598888	6.365784	3.126860	2.500744
59.250000	20.086778	6.861077	0.810468	1.273160
60.000000	20.264304	7.292002	0.076728	0.391736
60.750000	20.371363	7.087359	0.683559	-1.169238
61.500000	20.629912	6.604082	0.059491	-0.344937
62.250000	20.719369	6.858610	0.450628	0.949345
63.000000	21.134971	7.367745	2.690071	2.319513
63.750000	21.681847	7.837992	1.881411	1.939799
64.500000	22.057190	8.362453	0.794328	1.260419
65.250000	22.501503	8.875039	2.563921	2.264474
66.000000	23.039005	9.352150	1.868439	1.933101
66.750000	23.455881	9.877306	1.208284	1.554531
67.500000	23.945039	10.378844	2.601132	2.280847
68.250000	24.462366	10.868005	1.607679	1.793142
69.000000	24.902088	11.390038	1.678043	1.831962
69.750000	25.416768	11.881347	2.412663	2.196662
70.500000	25.909903	12.383297	1.518821	1.742884
71.250000	26.378080	12.896295	2.058756	2.029165
72.000000	26.895915	13.386579	2.091182	2.045083
72.750000	27.374791	13.895755	1.653051	1.818269
73.500000	27.867260	14.398890	2.187108	2.091463
74.250000	28.374489	14.894977	1.864057	1.930833
75.000000	28.854632	15.404004	1.866819	1.932262
75.750000	29.358170	15.902105	2.107273	2.052936
76.500000	29.853887	16.404062	1.815236	1.905380
