0.00000000000000e+00    	0.00000000000000e+00 	 5.00000000000000e-01  	5.00000000000000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.22495913074220e-24 	 4.99999999999778e-01   5.00000000000000e-01 	6.40952240100668e-22	 -3.58037340367666e-11	-3.85462972343005e-23		1.00000000000000e+00
6.00000000000000e-02    	7.50915222482608e-22 	 4.99999999994111e-01   5.00000000000000e-01 	1.00567701679698e-19	 -4.48481225965984e-10	-1.62783038658716e-20		1.00000000000000e+00
9.00000000000000e-02    	1.63181442386341e-20 	 4.99999999965231e-01   5.00000000000000e-01 	1.26447195056982e-18	 -1.59026536079538e-09	-4.62150842759737e-19		1.00000000000000e+00
1.20000000000000e-01    	9.45148197599770e-20 	 4.99999999897572e-01   5.00000000000000e-01 	3.84152045138446e-18	 -2.77182991224778e-09	-3.87667500182020e-18		1.00000000000000e+00
1.50000000000000e-01    	1.83536975473367e-19 	 4.99999999825920e-01   5.00000000000000e-01 	6.60403628099583e-19	 -1.14926412704730e-09	-1.23363522049085e-17		1.00000000000000e+00
1.80000000000000e-01    	4.48347734038826e-19 	 4.99999999914717e-01   5.00000000000000e-01 	4.23860712638340e-17	 9.20717898805657e-09	1.48441114967230e-17		1.00000000000000e+00
2.10000000000000e-01    	8.41723889332701e-18 	 5.00000000560237e-01   5.00000000000000e-01 	7.17369914597435e-16	 3.78779597481782e-08	3.31165601857694e-16		1.00000000000000e+00
2.40000000000000e-01    	7.58005770268249e-17 	 5.00000002502203e-01   5.00000000000000e-01 	4.81529591055273e-15	 9.81355788250043e-08	1.82640639320132e-15		1.00000000000000e+00
2.70000000000000e-01    	4.16781769167333e-16 	 5.00000006927305e-01   5.00000000000000e-01 	2.12900700822458e-14	 2.06349558227172e-07	6.78155685624467e-15		1.00000000000002e+00
3.00000000000000e-01    	1.69238713751275e-15 	 5.00000015544573e-01   5.00000000000000e-01 	7.24664677515851e-14	 3.80700585138778e-07	1.98331978562240e-14		1.00000000000007e+00
