0.00000000000000e+00    	0.00000000000000e+00 	 -2.00000000000000e+01  	-1.70000000000000e+01    -2.00000000000000e+03	 0.00000000000000e+00	0.00000000000000e+00		2.00000024999998e+03
1.20000000000000e-01    	-1.19999985000003e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.03975692048896e-19	9.83899986240635e-43		2.00000024999998e+03
2.40000000000000e-01    	-2.39999970000005e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.08736321941520e-18	-8.33770409174384e-40		2.00000024999998e+03
3.60000000000000e-01    	-3.59999955000007e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.42812307755175e-17	-4.18603943924380e-40		2.00000024999998e+03
4.80000000000000e-01    	-4.79999940000009e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -6.86359445059308e-17	-1.32515655354469e-37		2.00000024999998e+03
6.00000000000000e-01    	-5.99999925000016e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.20839181878645e-17	-4.70278406286820e-37		2.00000024999998e+03
7.20000000000000e-01    	-7.19999910000024e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.41104160743604e-16	-1.84796615477088e-36		2.00000024999998e+03
8.40000000000000e-01    	-8.39999895000031e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.99026934452420e-17	-6.35205554273870e-36		2.00000024999998e+03
9.60000000000000e-01    	-9.59999880000039e-01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.49636815797986e-16	-1.25577050960324e-35		2.00000024999998e+03
1.08000000000000e+00    	-1.07999986500005e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.74284387226617e-16	-3.91314529906708e-35		2.00000024999998e+03
1.20000000000000e+00    	-1.19999985000005e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 9.95958394438406e-16	-5.73819659580580e-35		2.00000024999998e+03
1.32000000000000e+00    	-1.31999983500006e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 7.13754180760401e-16	-1.59506847101649e-34		2.00000024999998e+03
1.44000000000000e+00    	-1.43999982000007e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.55271319558788e-15	-2.02523688297676e-34		2.00000024999998e+03
1.56000000000000e+00    	-1.55999980500008e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.46383658645506e-15	-5.01001113356161e-34		2.00000024999998e+03
1.68000000000000e+00    	-1.67999979000009e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.16040926541439e-15	-5.95230042486850e-34		2.00000024999998e+03
1.80000000000000e+00    	-1.79999977500009e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.60262001500005e-15	-1.31304917154051e-33		2.00000024999998e+03
1.92000000000000e+00    	-1.91999976000010e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.72910137561440e-15	-1.52461293996818e-33		2.00000024999998e+03
2.04000000000000e+00    	-2.03999974500010e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.19301051310621e-15	-3.01232026611049e-33		2.00000024999998e+03
2.16000000000000e+00    	-2.15999973000009e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.13976774381902e-15	-3.50622607649397e-33		2.00000024999998e+03
2.28000000000000e+00    	-2.27999971500007e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 6.27295602579463e-15	-6.24148654890846e-33		2.00000024999998e+03
2.40000000000000e+00    	-2.39999970000006e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.25031409458103e-15	-7.38955295537568e-33		2.00000024999998e+03
2.52000000000000e+00    	-2.51999968500004e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -8.84914448655697e-15	-1.19380274915054e-32		2.00000024999998e+03
