0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	0.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.00000000000000e-02    	2.00648512321870e-16 	 3.00000000000000e+00   0.00000000000000e+00 	1.00309112312159e-13	 1.32120775188831e-13	0.00000000000000e+00		1.00000000000000e+00
2.00000000000000e-02    	6.40296283148004e-15 	 3.00000000000001e+00   0.00000000000000e+00 	1.59822611149723e-12	 4.22058710668410e-12	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	4.83846740488784e-14 	 3.00000000000016e+00   0.00000000000000e+00 	8.03574742722852e-12	 3.19666800496538e-11	0.00000000000000e+00		1.00000000000000e+00
4.00000000000000e-02    	2.02506219258922e-13 	 3.00000000000090e+00   0.00000000000000e+00 	2.51556241743359e-11	 1.34230363127222e-10	0.00000000000000e+00		1.00000000000000e+00
5.00000000000000e-02    	6.12612615973399e-13 	 3.00000000000341e+00   0.00000000000000e+00 	6.06651551467643e-11	 4.07801796301387e-10	0.00000000000000e+00		1.00000000000000e+00
6.00000000000000e-02    	1.50812740443787e-12 	 3.00000000001014e+00   0.00000000000000e+00 	1.23911480363022e-10	 1.00923076617835e-09	0.00000000000000e+00		1.00000000000000e+00
7.00000000000000e-02    	3.21847591007390e-12 	 3.00000000002544e+00   0.00000000000000e+00 	2.25473028775612e-10	 2.16742508414549e-09	0.00000000000000e+00		1.00000000000000e+00
8.00000000000000e-02    	6.18302766058835e-12 	 3.00000000005637e+00   0.00000000000000e+00 	3.76672974418450e-10	 4.19474308136770e-09	0.00000000000000e+00		1.00000000000000e+00
9.00000000000000e-02    	1.09558121049279e-11 	 3.00000000011357e+00   0.00000000000000e+00 	5.89021698784853e-10	 7.49632252459490e-09	0.00000000000000e+00		1.00000000000000e+00
1.00000000000000e-01    	1.82043371970545e-11 	 3.00000000021222e+00   0.00000000000000e+00 	8.73596332539740e-10	 1.25774084398520e-08	0.00000000000000e+00		1.00000000000000e+00
1.10000000000000e-01    	2.87019261912497e-11 	 3.00000000037307e+00   0.00000000000000e+00 	1.24036644623844e-09	 2.00484652870651e-08	0.00000000000000e+00		1.00000000000000e+00
1.20000000000000e-01    	4.33130833097471e-11 	 3.00000000062354e+00   0.00000000000000e+00 	1.69747586762890e-09	 3.06278844780645e-08	0.00000000000000e+00		1.00000000000000e+00
1.30000000000000e-01    	6.29715028545409e-11 	 3.00000000099873e+00   0.00000000000000e+00 	2.25049141312527e-09	 4.51421261509760e-08	0.00000000000000e+00		1.00000000000000e+00
1.40000000000000e-01    	8.86504478213205e-11 	 3.00000000154259e+00   0.00000000000000e+00 	2.90163002469798e-09	 6.45231641624477e-08	0.00000000000000e+00		1.00000000000000e+00
1.50000000000000e-01    	1.21325342032272e-10 	 3.00000000230885e+00   0.00000000000000e+00 	3.64897639310927e-09	 8.98031351728165e-08	0.00000000000000e+00		1.00000000000000e+00
1.60000000000000e-01    	1.61928543061878e-10 	 3.00000000336205e+00   0.00000000000000e+00 	4.48570361742076e-09	 1.22106126198214e-07	0.00000000000000e+00		1.00000000000001e+00
1.70000000000000e-01    	2.11296390549445e-10 	 3.00000000477839e+00   0.00000000000000e+00 	5.39930979326659e-09	 1.62637069792444e-07	0.00000000000000e+00		1.00000000000001e+00
1.80000000000000e-01    	2.70108754585053e-10 	 3.00000000664645e+00   0.00000000000000e+00 	6.37088363380028e-09	 2.12667751791898e-07	0.00000000000000e+00		1.00000000000002e+00
1.90000000000000e-01    	3.38821440391368e-10 	 3.00000000906781e+00   0.00000000000000e+00 	7.37441230383440e-09	 2.73519972989596e-07	0.00000000000000e+00		1.00000000000004e+00
2.00000000000000e-01    	4.17591937140445e-10 	 3.00000001215743e+00   0.00000000000000e+00 	8.37614458695863e-09	 3.46545942872179e-07	0.00000000000000e+00		1.00000000000006e+00
2.10000000000000e-01    	5.06199129061052e-10 	 3.00000001604385e+00   0.00000000000000e+00 	9.33402230594410e-09	 4.33106020322711e-07	0.00000000000000e+00		1.00000000000009e+00
2.20000000000000e-01    	6.03957714618432e-10 	 3.00000002086915e+00   0.00000000000000e+00 	1.01971925782866e-08	 5.34543952625660e-07	0.00000000000000e+00		1.00000000000014e+00
