0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-6.41825617349197e-15 	 -2.01023141105048e-13   1.00000000000000e+01 	-1.28220775073851e-12	 -4.02817445264684e-11	3.51790557208656e-22		1.00000000000000e+00
6.00000000000000e-02    	-4.06621341436581e-13 	 -1.27737740065449e-11   1.00000000000000e+01 	-4.04808855724967e-11	 -1.27174455267958e-09	1.70221911761808e-19		1.00000000000000e+00
9.00000000000000e-02    	-4.55541963174945e-12 	 -1.43112127786965e-10   1.00000000000000e+01 	-3.00682161629224e-10	 -9.44621010320095e-09	5.94289442054388e-18		1.00000000000000e+00
1.20000000000000e-01    	-2.50104747179452e-11 	 -7.85726885169307e-10   1.00000000000000e+01 	-1.22850291689943e-09	 -3.85945808039042e-08	6.86974479970975e-17		1.00000000000000e+00
1.50000000000000e-01    	-9.26094191640968e-11 	 -2.90941293883576e-09   1.00000000000000e+01 	-3.60205367972193e-09	 -1.13162055104938e-07	4.20372818685050e-16		1.00000000000001e+00
1.80000000000000e-01    	-2.66592936394608e-10 	 -8.37528293124289e-09   1.00000000000000e+01 	-8.53020104570023e-09	 -2.67985298473824e-07	1.65436152322578e-15		1.00000000000004e+00
2.10000000000000e-01    	-6.43525899577871e-10 	 -2.02170577309332e-08   1.00000000000000e+01 	-1.73720054030904e-08	 -5.45762328533516e-07	4.50787437895079e-15		1.00000000000015e+00
2.40000000000000e-01    	-1.36256134916659e-09 	 -4.28064978503820e-08   1.00000000000000e+01 	-3.15738229920697e-08	 -9.91936373987044e-07	8.14374063241909e-15		1.00000000000049e+00
2.70000000000000e-01    	-2.60465636580399e-09 	 -8.18288786221728e-08   1.00000000000000e+01 	-5.24309335424172e-08	 -1.64720901947231e-06	5.27089914207382e-15		1.00000000000136e+00
3.00000000000000e-01    	-4.58369632521732e-09 	 -1.44004310056726e-07   1.00000000000000e+01 	-8.07899291353812e-08	 -2.53819178342027e-06	-2.73750489265070e-14		1.00000000000322e+00
3.30000000000000e-01    	-7.52810287046897e-09 	 -2.36510105505542e-07   1.00000000000000e+01 	-1.16716689064929e-07	 -3.66697439079059e-06	-1.43086491913086e-13		1.00000000000673e+00
3.60000000000000e-01    	-1.16523560463416e-08 	 -3.66086212113849e-07   9.99999999999999e+00 	-1.59161804402499e-07	 -5.00060883921239e-06	-4.40432088681868e-13		1.00000000001252e+00
3.90000000000000e-01    	-1.71188953475755e-08 	 -5.37838159309677e-07   9.99999999999997e+00 	-2.05660118846182e-07	 -6.46165995300186e-06	-1.07204892039369e-12		1.00000000002090e+00
4.20000000000000e-01    	-2.39920021942531e-08 	 -7.53787717308759e-07   9.99999999999992e+00 	-2.52103068950490e-07	 -7.92103862994711e-06	-2.23557644794293e-12		1.00000000003140e+00
4.50000000000000e-01    	-3.21864179969459e-08 	 -1.01125771688176e-06   9.99999999999983e+00 	-2.92621373484325e-07	 -9.19430198181267e-06	-4.13460854932638e-12		1.00000000004231e+00
4.80000000000000e-01    	-4.14145203579464e-08 	 -1.30121124669451e-06   9.99999999999967e+00 	-3.19611201506741e-07	 -1.00424700287371e-05	-6.90248080160862e-12		1.00000000005048e+00
5.10000000000000e-01    	-5.11367675096965e-08 	 -1.60669365127555e-06   9.99999999999941e+00 	-3.23929353256876e-07	 -1.01781735289760e-05	-1.04940080479796e-11		1.00000000005185e+00
5.40000000000000e-01    	-6.05207373442617e-08 	 -1.90154550521965e-06   9.99999999999904e+00 	-2.95272576134224e-07	 -9.27762112171207e-06	-1.45694799308421e-11		1.00000000004308e+00
5.70000000000000e-01    	-6.84143560608823e-08 	 -2.14956352372500e-06   9.99999999999854e+00 	-2.22743491049030e-07	 -6.99847240543897e-06	-1.84177712864671e-11		1.00000000002451e+00
6.00000000000000e-01    	-7.33387764715248e-08 	 -2.30428225353774e-06   9.99999999999795e+00 	-9.55914781085822e-08	 -3.00324930357218e-06	-2.09845576265260e-11		1.00000000000451e+00
6.30000000000000e-01    	-7.35057958015297e-08 	 -2.30953119293648e-06   9.99999999999731e+00 	9.58978670527293e-08	 3.01256133560950e-06	-2.10782886720023e-11		1.00000000000454e+00
6.60000000000000e-01    	-6.68636927233118e-08 	 -2.10088942214549e-06   9.99999999999672e+00 	3.59405531331068e-07	 1.12890342506794e-05	-1.78115774591190e-11		1.00000000006379e+00
6.90000000000000e-01    	-5.11739359601358e-08 	 -1.60811356453239e-06   9.99999999999627e+00 	6.99528199918623e-07	 2.19687157853813e-05	-1.12927541474233e-11		1.00000000024156e+00
7.20000000000000e-01    	-2.41194207781414e-08 	 -7.58556619898399e-07   9.99999999999605e+00 	1.11673895626755e-06	 3.50640335689518e-05	-3.51150541916912e-12		1.00000000061537e+00
7.50000000000000e-01    	1.65572023463808e-08 	 5.18472445949025e-07   9.99999999999603e+00 	1.60643324470698e-06	 5.04275805984518e-05	7.27380777477576e-13		1.00000000127276e+00
7.80000000000000e-01    	7.28888365902152e-08 	 2.28653199782156e-06   9.99999999999598e+00 	2.15813871995166e-06	 6.77277771869526e-05	-6.94143526580097e-12		1.00000000229585e+00
8.10000000000000e-01    	1.46498997604683e-07 	 4.59625273069370e-06   9.99999999999537e+00 	2.75496848119250e-06	 8.64323925247799e-05	-3.87001840796522e-11		1.00000000373907e+00
8.40000000000000e-01    	2.38405075649893e-07 	 7.47919528385074e-06   9.99999999999326e+00 	3.37339344247558e-06	 1.05802222613715e-04	-1.10005781810073e-10		1.00000000560274e+00
8.70000000000000e-01    	3.48820407568142e-07 	 1.09416954180239e-05   9.99999999998820e+00 	3.98340074811588e-06	 1.24896869275320e-04	-2.38012672924501e-10		1.00000000780755e+00
9.00000000000000e-01    	4.76967571823250e-07 	 1.49590827356849e-05   9.99999999997825e+00 	4.54909084038448e-06	 1.42594051858475e-04	-4.38892267228460e-10		1.00000001017688e+00
9.30000000000000e-01    	6.20916613310689e-07 	 1.94706923388480e-05   9.99999999996102e+00 	5.02974587123414e-06	 1.57623225389452e-04	-7.24236127572257e-10		1.00000001243519e+00
9.60000000000000e-01    	7.77462518159674e-07 	 2.43761006387722e-05   9.99999999993392e+00 	5.38137680051948e-06	 1.68613502327248e-04	-1.09704037399905e-09		1.00000001422974e+00
9.90000000000000e-01    	9.42056037864892e-07 	 2.95330037032694e-05   9.99999999989441e+00 	5.55872640479015e-06	 1.74155014969638e-04	-1.54807510754405e-09		1.00000001518043e+00
1.02000000000000e+00    	1.10880078131960e-06 	 3.47571171692183e-05   9.99999999984048e+00 	5.51767181791936e-06	 1.72871954719525e-04	-2.05366718068317e-09		1.00000001495758e+00
1.05000000000000e+00    	1.27052727611765e-06 	 3.98244103558292e-05   9.99999999977102e+00 	5.21793512073951e-06	 1.63504631432701e-04	-2.57598368138433e-09		1.00000001338050e+00
1.08000000000000e+00    	1.41895144015540e-06 	 4.44758947980479e-05   9.99999999968624e+00 	4.62597655192382e-06	 1.44997062902943e-04	-3.06672628086765e-09		1.00000001052277e+00
1.11000000000000e+00    	1.54492068261934e-06 	 4.84250715664299e-05   9.99999999958785e+00 	3.71791530978129e-06	 1.16585883923607e-04	-3.47469625399475e-09		1.00000000680305e+00
1.14000000000000e+00    	1.63874585117447e-06 	 5.13680065942723e-05   9.99999999947902e+00 	2.48230106043858e-06	 7.78858069136226e-05	-3.75698240161297e-09		1.00000000303618e+00
1.17000000000000e+00    	1.69061174114541e-06 	 5.29958543894333e-05   9.99999999936391e+00 	9.22548362779196e-07	 2.89665174088116e-05	-3.89263957135603e-09		1.00000000041995e+00
1.20000000000000e+00    	1.69105325093788e-06 	 5.30094948189641e-05   9.99999999924680e+00 	-9.41151245926453e-07	 -2.95842144364475e-05	-3.89680852177784e-09		1.00000000043806e+00
1.23000000000000e+00    	1.63147893176519e-06 	 5.11357929544196e-05   9.99999999913081e+00 	-3.07060751237930e-06	 -9.66162534480555e-05	-3.83247236863433e-09		1.00000000467206e+00
1.26000000000000e+00    	1.50471907963075e-06 	 4.71448467272220e-05   9.99999999901639e+00 	-5.40923646575492e-06	 -1.70396236800444e-04	-3.81666399448755e-09		1.00000001453207e+00
1.29000000000000e+00    	1.30557205693166e-06 	 4.08674600740148e-05   9.99999999889965e+00 	-7.88258470202905e-06	 -2.48613966107340e-04	-4.01812310575278e-09		1.00000003093552e+00
1.32000000000000e+00    	1.03132052226308e-06 	 3.22119788498428e-05   9.99999999877105e+00 	-1.03998133318059e-05	 -3.28418866859773e-04	-4.64427126683840e-09		1.00000005398355e+00
1.35000000000000e+00    	6.82188864532714e-07 	 2.11795608777872e-05   9.99999999861452e+00 	-1.28561266687341e-05	 -4.06488059088829e-04	-5.91693396409293e-09		1.00000008269891e+00
1.38000000000000e+00    	2.61714388481458e-07 	 7.87692677891903e-06   9.99999999840753e+00 	-1.51360781181867e-05	 -4.79126115208422e-04	-8.03835166034032e-09		1.00000011489546e+00
1.41000000000000e+00    	-2.22992481698726e-07 	 -7.47434019133150e-06   9.99999999812228e+00 	-1.71176412768239e-05	 -5.42394972908560e-04	-1.11513968321090e-08		1.00000014724265e+00
1.44000000000000e+00    	-7.61119837667769e-07 	 -2.45328060160920e-05   9.99999999772805e+00 	-1.86769021246158e-05	 -5.92270793439051e-04	-1.53001337553866e-08		1.00000017556674e+00
1.47000000000000e+00    	-1.33817399026174e-06 	 -4.28372487764635e-05   9.99999999719472e+00 	-1.96932103091330e-05	 -6.24822888276879e-04	-2.03984336190341e-08		1.00000019539571e+00
1.50000000000000e+00    	-1.93615851222251e-06 	 -6.18123415330885e-05   9.99999999649691e+00 	-2.00546230163540e-05	 -6.36408265128926e-04	-2.62148128865031e-08		1.00000020270881e+00
1.53000000000000e+00    	-2.53391895615300e-06 	 -8.07803093853603e-05   9.99999999561830e+00 	-1.96634800400322e-05	 -6.23873954182775e-04	-3.23806330773834e-08		1.00000019480266e+00
