a0	px
0.100000	-0.002494
0.200000	-0.009901
0.300000	-0.022010
0.400000	-0.038490
0.500000	-0.058925
0.600000	-0.082850
0.700000	-0.109786
0.800000	-0.139260
0.900000	-0.170837
1.000000	-0.204122
1.100000	-0.238771
1.200000	-0.274494
1.300000	-0.311045
1.400000	-0.348223
1.500000	-0.385867
1.600000	-0.423845
1.700000	-0.462053
1.800000	-0.500411
1.900000	-0.538857
2.000000	-0.577339
2.100000	-0.615824
2.200000	-0.654282
2.300000	-0.692691
2.400000	-0.731037
2.500000	-0.769309
2.600000	-0.807500
2.700000	-0.845607
2.800000	-0.883623
2.900000	-0.921553
3.000000	-0.959391
3.100000	-0.997142
3.200000	-1.034806
3.300000	-1.072387
3.400000	-1.109885
3.500000	-1.147304
3.600000	-1.184648
3.700000	-1.221917
3.800000	-1.259116
3.900000	-1.296249
4.000000	-1.333317
4.100000	-1.370323
4.200000	-1.407271
4.300000	-1.444161
4.400000	-1.480998
4.500000	-1.517784
4.600000	-1.554519
4.700000	-1.591208
4.800000	-1.627853
4.900000	-1.664454
5.000000	-1.701014
5.100000	-1.737534
5.200000	-1.774019
5.300000	-1.810466
5.400000	-1.846879
5.500000	-1.883259
5.600000	-1.919608
5.700000	-1.955928
5.800000	-1.992218
5.900000	-2.028480
6.000000	-2.064716
6.100000	-2.100926
6.200000	-2.137113
6.300000	-2.173275
6.400000	-2.209415
6.500000	-2.245535
6.600000	-2.281632
6.700000	-2.317709
6.800000	-2.353768
6.900000	-2.389808
7.000000	-2.425831
7.100000	-2.461837
7.200000	-2.497825
7.300000	-2.533798
7.400000	-2.569755
7.500000	-2.605698
7.600000	-2.641626
7.700000	-2.677542
7.800000	-2.713443
7.900000	-2.749331
8.000000	-2.785207
8.100000	-2.821072
8.200000	-2.856925
8.300000	-2.892766
8.400000	-2.928596
8.500000	-2.964416
8.600000	-3.000226
8.700000	-3.036027
8.800000	-3.071817
8.900000	-3.107598
9.000000	-3.143370
9.100000	-3.179134
9.200000	-3.214889
9.300000	-3.250637
9.400000	-3.286376
9.500000	-3.322107
9.600000	-3.357831
9.700000	-3.393548
9.800000	-3.429258
9.900000	-3.464960
10.000000	-3.500657
