y	z	phi	r	period	thetamin	thetamax	raio_max	px_mean
1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.00000000000000e+00	0.00000000000000e+00	1.69960162559208e-01	3.02566788467233e+00	8.21219222364971e-01	-9.93860873459506e+00
2.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.00000000000000e+00	0.00000000000000e+00	1.25035387612874e-01	3.04231832573636e+00	1.74137362207377e+00	-9.76728495437956e+00
9.96194698000000e-01	8.71557427000000e-02	8.72664625602358e-02	9.99999999904450e-01	0.00000000000000e+00	3.58455721774595e-01	3.07279177447618e+00	8.21252422044650e-01	-9.93860962932105e+00
1.99238940000000e+00	1.74311486000000e-01	8.72664626847827e-02	2.00000000384597e+00	0.00000000000000e+00	3.05676965194287e-01	3.05299974075856e+00	1.74132651534220e+00	-9.76730377801161e+00
9.84807753000000e-01	1.73648178000000e-01	1.74532925529562e-01	1.00000000004581e+00	0.00000000000000e+00	3.27039795238697e-01	3.00210593977041e+00	8.21216281434869e-01	-9.93861032258650e+00
1.96961551000000e+00	3.47296355000000e-01	1.74532924689862e-01	2.00000000385721e+00	0.00000000000000e+00	3.21384928462236e-01	3.00587585095471e+00	1.74136024502248e+00	-9.76731307767540e+00
9.65925826000000e-01	2.58819045000000e-01	2.61799387774938e-01	9.99999999694247e-01	0.00000000000000e+00	3.11331831970749e-01	2.97069001323451e+00	8.21205228831204e-01	-9.93861083375599e+00
1.93185165000000e+00	5.17638090000000e-01	2.61799388033757e-01	1.99999999745664e+00	0.00000000000000e+00	2.66407057024414e-01	2.97445992441882e+00	1.74122589201740e+00	-9.76731414537842e+00
9.39692621000000e-01	3.42020143000000e-01	3.49065850019614e-01	1.00000000008979e+00	2.07031333333239e+03	2.64207942166902e-01	2.93927408669861e+00	8.21235507721659e-01	-9.93861119494684e+00
1.87938524000000e+00	6.84040287000000e-01	3.49065850831480e-01	1.99999999864222e+00	0.00000000000000e+00	2.27137148854542e-01	2.95089797951689e+00	1.74123828004656e+00	-9.76730857956504e+00
9.06307787000000e-01	4.22618262000000e-01	4.36332313249077e-01	1.00000000007637e+00	2.05471333333240e+03	2.64207942166902e-01	2.97069001323451e+00	8.21258441405232e-01	-9.93861144373973e+00
1.81261557000000e+00	8.45236523000000e-01	4.36332313641160e-01	1.99999999610489e+00	0.00000000000000e+00	2.11429185586593e-01	2.94304399788292e+00	1.74127148655331e+00	-9.76729794399182e+00
8.66025404000000e-01	5.00000000000000e-01	5.23598775490518e-01	1.00000000018668e+00	2.04601333333241e+03	2.40645997264978e-01	2.94712806833259e+00	8.21232627588552e-01	-9.93861161684057e+00
1.73205081000000e+00	1.00000000000000e+00	5.23598774990518e-01	2.00000000210541e+00	2.07591333333238e+03	2.03575203952619e-01	2.95089797951689e+00	1.74118241837356e+00	-9.76728358043536e+00
8.19152044000000e-01	5.73576436000000e-01	6.10865238076214e-01	9.99999999561920e-01	2.03021333333243e+03	2.56353960532927e-01	2.97854399486848e+00	8.21279309340496e-01	-9.93861174527075e+00
1.63830409000000e+00	1.14715287000000e+00	6.10865236683486e-01	1.99999999961499e+00	2.08441333333237e+03	1.56451314148772e-01	2.95875196115087e+00	1.74124404587670e+00	-9.76726654946341e+00
1.53208889000000e+00	1.28557522000000e+00	6.98131699828759e-01	2.00000000328487e+00	2.07051333333239e+03	1.87867240684670e-01	2.97445992441882e+00	1.74125097837836e+00	-9.76724766431836e+00
7.07106781000000e-01	7.07106781000000e-01	7.85398163397448e-01	9.99999999736182e-01	2.00791333333245e+03	2.64207942166902e-01	2.98639797650246e+00	8.21251811587695e-01	-9.93861194540702e+00
1.41421356000000e+00	1.41421356000000e+00	7.85398163397448e-01	1.99999999664394e+00	2.07181333333239e+03	2.19283167220568e-01	2.99016788768677e+00	1.74118066388961e+00	-9.76722758639465e+00
6.42787610000000e-01	7.66044443000000e-01	8.72664625680562e-01	1.00000000011035e+00	2.00021333333245e+03	2.48499978898953e-01	2.96283603160053e+00	8.21239031991586e-01	-9.93861202860107e+00
1.28557522000000e+00	1.53208889000000e+00	8.72664626966138e-01	2.00000000328487e+00	0.00000000000000e+00	2.27137148854542e-01	3.00587585095471e+00	1.74113902670043e+00	-9.76720694998255e+00
5.73576436000000e-01	8.19152044000000e-01	9.59931088718682e-01	9.99999999561920e-01	1.98721333333246e+03	2.72061923800876e-01	2.97854399486848e+00	8.21180381585582e-01	-9.93861209020243e+00
1.14715287000000e+00	1.63830409000000e+00	9.59931090111411e-01	1.99999999961499e+00	0.00000000000000e+00	1.55980075250733e-01	2.99048204695212e+00	1.74112558214348e+00	-9.76718649074962e+00
5.00000000000000e-01	8.66025404000000e-01	1.04719755130438e+00	1.00000000018668e+00	1.98061333333247e+03	2.40645997264978e-01	2.95498204996656e+00	8.20950858749195e-01	-9.93861211033497e+00
1.00000000000000e+00	1.73205081000000e+00	1.04719755180438e+00	2.00000000210541e+00	0.00000000000000e+00	2.10957946688555e-01	2.99833602858610e+00	1.74109879255001e+00	-9.76716714533933e+00
4.22618262000000e-01	9.06307787000000e-01	1.13446401354582e+00	1.00000000007637e+00	1.96971333333248e+03	2.56353960532927e-01	2.97854399486848e+00	8.20580666846741e-01	-9.93861206151153e+00
8.45236523000000e-01	1.81261557000000e+00	1.13446401315374e+00	1.99999999610489e+00	0.00000000000000e+00	2.10957946688555e-01	3.00619001022007e+00	1.74119757144163e+00	-9.76715008732367e+00
3.42020143000000e-01	9.39692621000000e-01	1.22173047677528e+00	1.00000000008979e+00	1.96111333333249e+03	2.24938033997029e-01	2.95498204996656e+00	8.20292398755725e-01	-9.93861191121253e+00
6.84040287000000e-01	1.87938524000000e+00	1.22173047596342e+00	1.99999999864222e+00	0.00000000000000e+00	2.03103965054580e-01	3.01404399185405e+00	1.74122689624263e+00	-9.76713666029554e+00
2.58819045000000e-01	9.65925826000000e-01	1.30899693901996e+00	9.99999999694247e-01	0.00000000000000e+00	2.40645997264978e-01	2.97069001323451e+00	8.19814706083424e-01	-9.93861162466558e+00
5.17638090000000e-01	1.93185165000000e+00	1.30899693876114e+00	1.99999999745664e+00	0.00000000000000e+00	1.95249983420606e-01	3.01404399185405e+00	1.74111043084614e+00	-9.76712817540829e+00
1.73648178000000e-01	9.84807753000000e-01	1.39626340126533e+00	1.00000000004581e+00	0.00000000000000e+00	2.56353960532927e-01	2.98639797650246e+00	8.19789799919791e-01	-9.93861116879129e+00
3.47296355000000e-01	1.96961551000000e+00	1.39626340210503e+00	2.00000000385721e+00	0.00000000000000e+00	1.87396001786631e-01	3.00619001022007e+00	1.74087855187567e+00	-9.76712556509230e+00
1.74311486000000e-01	1.99238940000000e+00	1.48352986411011e+00	2.00000000384597e+00	0.00000000000000e+00	1.71688038518682e-01	2.99833602858610e+00	1.74056061324658e+00	-9.76712893541228e+00
6.12323400000000e-17	1.00000000000000e+00	1.57079632679490e+00	1.00000000000000e+00	0.00000000000000e+00	2.40645997264978e-01	2.96283603160053e+00	8.20515371700637e-01	-9.93860965295622e+00
1.22464680000000e-16	2.00000000000000e+00	1.57079632679490e+00	2.00000000000000e+00	0.00000000000000e+00	1.87396001786631e-01	3.02189797348802e+00	1.74023157548671e+00	-9.76713714745303e+00
-8.71557427000000e-02	9.96194698000000e-01	1.65806278935513e+00	9.99999999904450e-01	0.00000000000000e+00	2.17084052363055e-01	2.97069001323451e+00	8.20891550227522e-01	-9.93860857879223e+00
-1.74311486000000e-01	1.99238940000000e+00	1.65806278947968e+00	2.00000000384597e+00	0.00000000000000e+00	1.63834056884708e-01	2.99048204695212e+00	1.73963378496507e+00	-9.76714764309960e+00
-1.73648178000000e-01	9.84807753000000e-01	1.74532925232446e+00	1.00000000004581e+00	0.00000000000000e+00	1.77814144193182e-01	2.97854399486848e+00	8.21118707669644e-01	-9.93860731697792e+00
-3.47296355000000e-01	1.96961551000000e+00	1.74532925148476e+00	2.00000000385721e+00	0.00000000000000e+00	1.71688038518682e-01	2.99833602858610e+00	1.73858460041416e+00	-9.76715673948325e+00
-2.58819045000000e-01	9.65925826000000e-01	1.83259571456984e+00	9.99999999694247e-01	0.00000000000000e+00	1.30690254389335e-01	2.98639797650246e+00	8.21177305947035e-01	-9.93860591472565e+00
-5.17638090000000e-01	1.93185165000000e+00	1.83259571482865e+00	1.99999999745664e+00	0.00000000000000e+00	1.87867240684670e-01	3.01372983258869e+00	1.73751183725140e+00	-9.76716045658245e+00
-3.42020143000000e-01	9.39692621000000e-01	1.91986217681451e+00	1.00000000008979e+00	0.00000000000000e+00	1.30690254389335e-01	3.07279177447618e+00	8.21189466770198e-01	-9.93860444393175e+00
-6.84040287000000e-01	1.87938524000000e+00	1.91986217762638e+00	1.99999999864222e+00	0.00000000000000e+00	1.87867240684670e-01	3.00587585095471e+00	1.73782108781640e+00	-9.76715566043373e+00
-4.22618262000000e-01	9.06307787000000e-01	2.00712864004397e+00	1.00000000007637e+00	0.00000000000000e+00	1.38544236023310e-01	3.07279177447618e+00	8.21209339526748e-01	-9.93860299751600e+00
-8.45236523000000e-01	1.81261557000000e+00	2.00712864043606e+00	1.99999999610489e+00	0.00000000000000e+00	1.95721222318644e-01	2.99802186932074e+00	1.73972941217308e+00	-9.76714108807120e+00
-5.00000000000000e-01	8.66025404000000e-01	2.09439510228541e+00	1.00000000018668e+00	0.00000000000000e+00	1.38544236023310e-01	3.05708381120823e+00	8.21264395404938e-01	-9.93860168146219e+00
-1.00000000000000e+00	1.73205081000000e+00	2.09439510178541e+00	2.00000000210541e+00	0.00000000000000e+00	1.87867240684670e-01	2.98231390605279e+00	1.74090466408293e+00	-9.76711787730429e+00
-5.73576436000000e-01	8.19152044000000e-01	2.18166156487111e+00	9.99999999561920e-01	9.44010000000045e+02	1.38544236023310e-01	3.05221434259516e+00	8.21305488958499e-01	-9.93860060344638e+00
-1.14715287000000e+00	1.63830409000000e+00	2.18166156347838e+00	1.99999999961499e+00	0.00000000000000e+00	1.25035387612874e-01	2.97445992441882e+00	1.74172091164100e+00	-9.76708947417407e+00
-1.28557522000000e+00	1.53208889000000e+00	2.26892802662366e+00	2.00000000328487e+00	0.00000000000000e+00	9.36194610769758e-02	3.06588027063828e+00	1.74173849146641e+00	-9.76706102082328e+00
-7.07106781000000e-01	7.07106781000000e-01	2.35619449019234e+00	9.99999999736182e-01	9.89110000000056e+02	1.16396007815502e-01	3.05708381120823e+00	8.21339068180496e-01	-9.93859951693788e+00
-1.41421356000000e+00	1.41421356000000e+00	2.35619449019234e+00	1.99999999664394e+00	0.00000000000000e+00	1.40743350880823e-01	3.08944221554020e+00	1.74184672522907e+00	-9.76703838803381e+00
-7.66044443000000e-01	6.42787610000000e-01	2.44346095247546e+00	1.00000000011035e+00	1.02131000000006e+03	1.14982291121386e-01	3.04922982957425e+00	8.21327939562596e-01	-9.93859961032428e+00
-1.53208889000000e+00	1.28557522000000e+00	2.44346095376103e+00	2.00000000328487e+00	1.01076000000006e+03	1.09327424344925e-01	3.04514575912459e+00	1.74183483356337e+00	-9.76702698753127e+00
-8.19152044000000e-01	5.73576436000000e-01	2.53072741551358e+00	9.99999999561920e-01	1.04931000000004e+03	1.22836272755361e-01	3.04137584794028e+00	8.21294033423662e-01	-9.93860012854363e+00
-1.63830409000000e+00	1.14715287000000e+00	2.53072741690631e+00	1.99999999961499e+00	1.03726000000005e+03	1.09327424344925e-01	3.05299974075856e+00	1.74175267303369e+00	-9.76703054211993e+00
-8.66025404000000e-01	5.00000000000000e-01	2.61799387809927e+00	1.00000000018668e+00	1.06981000000002e+03	1.30690254389335e-01	3.07279177447618e+00	8.21259769174504e-01	-9.93860101968119e+00
-1.73205081000000e+00	1.00000000000000e+00	2.61799387859927e+00	2.00000000210541e+00	1.05936000000003e+03	1.09327424344925e-01	3.06870770402651e+00	1.74160057845310e+00	-9.76705010413469e+00
-9.06307787000000e-01	4.22618262000000e-01	2.70526034034072e+00	1.00000000007637e+00	1.08041000000001e+03	1.46398217657284e-01	3.06493779284220e+00	8.21303560203158e-01	-9.93860219765778e+00
-1.81261557000000e+00	8.45236523000000e-01	2.70526033994863e+00	1.99999999610489e+00	1.08186000000001e+03	1.25035387612874e-01	3.05299974075856e+00	1.74157591440883e+00	-9.76708369128800e+00
-9.39692621000000e-01	3.42020143000000e-01	2.79252680357018e+00	1.00000000008979e+00	2.02181333333243e+03	1.22836272755361e-01	3.04137584794028e+00	8.21316543024940e-01	-9.93860355544558e+00
-1.87938524000000e+00	6.84040287000000e-01	2.79252680275831e+00	1.99999999864222e+00	1.09955999999999e+03	9.39336203423348e-02	3.04514575912459e+00	1.74165737474718e+00	-9.76712677307136e+00
-9.65925826000000e-01	2.58819045000000e-01	2.87979326581485e+00	9.99999999694247e-01	0.00000000000000e+00	1.38544236023310e-01	3.05614133341215e+00	8.21289196933144e-01	-9.93860498042642e+00
-1.93185165000000e+00	5.17638090000000e-01	2.87979326555604e+00	1.99999999745664e+00	2.04661333333241e+03	1.17181405978899e-01	3.03053735328539e+00	1.74155016822549e+00	-9.76717348191062e+00
-9.84807753000000e-01	1.73648178000000e-01	2.96705972806023e+00	1.00000000004581e+00	0.00000000000000e+00	1.69960162559208e-01	3.07279177447618e+00	8.21232567954084e-01	-9.93860636917951e+00
-1.96961551000000e+00	3.47296355000000e-01	2.96705972889993e+00	2.00000000385721e+00	0.00000000000000e+00	1.17181405978899e-01	3.05299974075856e+00	1.74147774120666e+00	-9.76721807697563e+00
-9.96194698000000e-01	8.71557427000000e-02	3.05432619102956e+00	9.99999999904450e-01	0.00000000000000e+00	1.00688044547553e-01	3.04922982957425e+00	8.21241266059834e-01	-9.93860763901474e+00
-1.99238940000000e+00	1.74311486000000e-01	3.05432619090501e+00	2.00000000384597e+00	0.00000000000000e+00	1.56451314148772e-01	3.06085372239254e+00	1.74148774892950e+00	-9.76725610680068e+00
7.66044443000000e-01	6.42787610000000e-01	6.98131701114334e-01	1.00000000011035e+00	2.02841333333243e+03	2.40645997264978e-01	2.95498204996656e+00	8.21259326820531e-01	-9.93861185101597e+00
