file	phi	r	period	raio_max	px_mean	x_final	eta
0	02.87511802259747e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
1	02.86451231165400e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
2	02.85102955171115e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
3	02.83644127127867e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
4	02.82454898679198e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
5	02.81830085407970e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
6	02.81521300994166e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
7	02.79387738924698e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
8	0.16269250917487e-01	2.00000000000000e+00	1.33313919999895e+03	2.02604197839848e+00	-9.52322336078344e+00	-9.07581080000000e+02	6.02140560071915e+01
9	0.32399747118985e-01	2.00000000000000e+00	1.30513199999898e+03	2.01709150253807e+00	-9.51523019158203e+00	-9.06187367000000e+02	5.96495429615741e+01
10	0.50324287471986e-01	2.00000000000000e+00	1.28647439999900e+03	2.00990969344038e+00	-9.50710741362000e+00	-9.04781683000000e+02	5.95589999999657e+01
11	0.68633826389270e-01	2.00000000000000e+00	1.27665159999901e+03	2.00114217010634e+00	-9.49894800433598e+00	-9.03367037000000e+02	5.97683333332987e+01
12	0.83188702731817e-01	2.00000000000000e+00	1.26765599999902e+03	1.99231789417070e+00	-9.49080050386763e+00	-9.01941222000000e+02	6.00784834122875e+01
13	0.88675209241073e-01	2.00000000000000e+00	1.26326879999903e+03	1.98535829230598e+00	-9.48256051647332e+00	-9.00502866000000e+02	6.05593863853919e+01
14	0.88463054943064e-01	2.00000000000000e+00	1.26096119999902e+03	1.97887933643777e+00	-9.47416642951555e+00	-8.99055827000000e+02	6.12117087378289e+01
15	0.88707155293987e-01	2.00000000000000e+00	1.25696639999903e+03	1.97154061575317e+00	-9.46568148554425e+00	-8.97596243000000e+02	6.17370530451511e+01
16	0.97149577951373e-01	2.00000000000000e+00	1.25080759999903e+03	1.96488002656744e+00	-9.45712505593405e+00	-8.96118174000000e+02	6.21673757454911e+01
17	0.30112842170187e-01	2.00000000000000e+00	1.24391479999904e+03	1.95612525014164e+00	-9.44855956568598e+00	-8.94641578000000e+02	6.25082814069994e+01
18	02.80644485216138e+00	2.00000000000000e+00	1.23640079999905e+03	1.94883851958885e+00	-9.43970375282870e+00	-8.93133540000000e+02	6.28891556459457e+01
19	02.71431852133795e+00	2.00000000000000e+00	1.22975919999905e+03	1.94435248486782e+00	-9.43079405062142e+00	-8.91634171000000e+02	6.32592181069597e+01
20	02.69294998463116e+00	2.00000000000000e+00	1.22029119999906e+03	1.93824803023767e+00	-9.42171844941646e+00	-8.90107331000000e+02	6.34906971903903e+01
21	02.68980052197716e+00	2.00000000000000e+00	1.21078239999908e+03	1.93314080431964e+00	-9.41260192364547e+00	-8.88571898000000e+02	6.36583806519093e+01
22	02.69285755211954e+00	2.00000000000000e+00	1.19927159999908e+03	1.92398009969663e+00	-9.40336217859269e+00	-8.87032620000000e+02	6.37232518596876e+01
23	02.69016604565816e+00	2.00000000000000e+00	1.18619919999909e+03	1.91886285977563e+00	-9.39388426601071e+00	-8.85468798000000e+02	6.37056498388468e+01
24	02.67462684820116e+00	2.00000000000000e+00	1.17249999999911e+03	1.91488309872242e+00	-9.38434297872853e+00	-8.83898772000000e+02	6.35845986984459e+01
