y	z	phi	r	period	thetamin	thetamax
1.00000000038472e-01	2.85000516409297e-20	2.85000516299652e-19	1.00000000038472e-01	9.56550000000028e+02	-1.38561935136850e-02	1.44388223551557e-02
2.00000000076851e-01	5.68634670638981e-20	2.84317335210240e-19	2.00000000076851e-01	9.87950000000035e+02	-1.41427769280354e-02	1.46686300461884e-02
3.00000000115047e-01	8.49547012483159e-20	2.83182337385789e-19	3.00000000115047e-01	1.03505000000003e+03	-2.09147841122710e-02	2.18205455303642e-02
4.00000000152967e-01	1.12640379374583e-19	2.81600948328768e-19	4.00000000152967e-01	1.09584999999998e+03	-2.80733251998113e-02	2.86768504410494e-02
5.00000000190522e-01	1.39790351615296e-19	2.79580703124059e-19	5.00000000190522e-01	1.15881999999988e+03	-3.67252181204645e-02	3.73364426911558e-02
6.00000000227622e-01	1.66278712042522e-19	2.77131186632401e-19	6.00000000227622e-01	1.29998666666642e+03	-5.20137427967244e-02	5.30744358888819e-02
7.00000000264182e-01	1.91984770492679e-19	2.74263957743176e-19	7.00000000264182e-01	1.38708666666634e+03	-8.12845762370916e-02	8.21278458441081e-02
8.00000000300116e-01	2.16793966900640e-19	2.70992458524139e-19	8.00000000300116e-01	1.36043999999970e+03	-1.27187378580583e-01	1.28996038351150e-01
9.00000000335342e-01	2.40598718430070e-19	2.67331909267136e-19	9.00000000335342e-01	1.20533999999984e+03	-1.96843219694926e-01	1.99836708694847e-01
1.00000000036978e+00	2.63299190673582e-19	2.63299190576219e-19	1.00000000036978e+00	1.08983333333332e+03	-2.90921297199457e-01	2.97770623682753e-01
1.10000000040336e+00	2.84803985257873e-19	2.58912713775853e-19	1.10000000040336e+00	9.51633333333360e+02	-4.03164512225995e-01	4.21601734111750e-01
1.20000000043600e+00	3.05030737347293e-19	2.54192281030388e-19	1.20000000043600e+00	8.69700000000035e+02	-5.72529081177960e-01	6.16380478634317e-01
1.30000000046763e+00	3.23906617774866e-19	2.49158936660271e-19	1.30000000046763e+00	7.81390476190491e+02	4.11324238145006e-02	3.11563524428951e+00
1.40000000049819e+00	3.41368735821846e-19	2.43834811214550e-19	1.40000000049819e+00	7.21554166666688e+02	4.58083478801562e-02	3.11529303508974e+00
1.50000000052762e+00	3.57364439994139e-19	2.38242959912291e-19	1.50000000052762e+00	6.64825925925951e+02	4.56709032015616e-02	3.11539962484049e+00
1.60000000055586e+00	3.71851515484744e-19	2.32407197097224e-19	1.60000000055586e+00	6.14637037037050e+02	4.22768611383084e-02	3.11398590814637e+00
1.70000000058286e+00	3.84798278344327e-19	2.26351928360233e-19	1.70000000058286e+00	5.78566666666685e+02	4.89190856058982e-02	3.11157299045549e+00
1.80000000060856e+00	3.96183567686190e-19	2.20101981973469e-19	1.80000000060856e+00	5.41316666666676e+02	4.69219302761161e-02	3.11143336411533e+00
1.90000000063293e+00	4.05996638507391e-19	2.13682441248497e-19	1.90000000063293e+00	5.15700000000014e+02	5.27394866721387e-02	3.11171261679565e+00
2.00000000065593e+00	4.14236958895873e-19	2.07118479380009e-19	2.00000000065593e+00	4.88154545454553e+02	5.08348961258998e-02	3.11162971365618e+00
2.10000000067753e+00	4.20913916497202e-19	2.00435198267334e-19	2.10000000067753e+00	4.69241666666679e+02	5.37885542189624e-02	3.10892008999246e+00
2.20000000069769e+00	4.26046440118781e-19	1.93657472719849e-19	2.20000000069769e+00	4.49466666666674e+02	5.35641547437060e-02	3.10973690408239e+00
2.30000000071639e+00	4.29662543241186e-19	1.86809801351025e-19	2.30000000071639e+00	4.33661538461550e+02	5.79938003852676e-02	3.10850121097198e+00
2.40000000073361e+00	4.31798796974969e-19	1.79916165351242e-19	2.40000000073361e+00	4.19700000000008e+02	5.78576647036120e-02	3.10389354174672e+00
2.50000000074935e+00	4.32499740638622e-19	1.72999896203594e-19	2.50000000074935e+00	4.06200000000005e+02	5.52396708256205e-02	3.10546433807351e+00
2.60000000076358e+00	4.31817238633792e-19	1.66083553271913e-19	2.60000000076358e+00	3.96771428571438e+02	6.14181363776805e-02	3.10179914664432e+00
2.70000000077632e+00	4.29809792654107e-19	1.59188812048343e-19	2.70000000077632e+00	3.87721428571436e+02	6.32638220616645e-02	3.10106610835849e+00
2.80000000078755e+00	4.26541818483588e-19	1.52336363701291e-19	2.80000000078755e+00	3.78321428571434e+02	6.05018385203834e-02	3.10138026762384e+00
2.90000000079729e+00	4.22082896721387e-19	1.45545826415636e-19	2.90000000079729e+00	3.87709523809531e+02	6.56592864600267e-02	3.10194575430149e+00
3.00000000080555e+00	4.16507006715695e-19	1.38835668867952e-19	3.00000000080555e+00	3.53453333333338e+02	6.92197581340951e-02	3.09457348354107e+00
3.10000000081234e+00	4.09891752807461e-19	1.32223146032274e-19	3.10000000081234e+00	3.46773333333337e+02	7.46651854003174e-02	3.09811301126411e+00
3.20000000081767e+00	4.02317591682267e-19	1.25724247368583e-19	3.20000000081767e+00	3.59373333333340e+02	6.77798615011998e-02	3.08920659609118e+00
3.30000000082158e+00	3.93867069216307e-19	1.19353657308560e-19	3.30000000082158e+00	3.39085416666672e+02	8.78467845760046e-02	3.07750416345656e+00
3.40000000082410e+00	3.84624074691388e-19	1.13124727822989e-19	3.40000000082410e+00	6.91750000000014e+02	5.12812640820974e-01	2.73742675870547e+00
9.96194698419447e-02	8.71557427480000e-03	8.72664625714960e-02	1.00000000032648e-01	9.48950000000026e+02	-8.45620677116469e-02	8.52565414331200e-02
1.99238939685810e-01	1.74311485500000e-02	8.72664625726514e-02	2.00000000067245e-01	9.62850000000029e+02	-8.50178408066903e-02	8.60934479068379e-02
2.98858409528518e-01	2.61467228240000e-02	8.72664625693880e-02	3.00000000100584e-01	1.00195000000004e+03	-8.69435766880974e-02	8.96345988163700e-02
3.98477879370990e-01	3.48622970990000e-02	8.72664625702982e-02	4.00000000133775e-01	1.07425000000000e+03	-8.96614196349240e-02	9.11542348417473e-02
4.98097349213150e-01	4.35778713740000e-02	8.72664625708987e-02	5.00000000166656e-01	1.15331999999989e+03	-9.18771861511724e-02	9.26528171835638e-02
5.97716819054920e-01	5.22934456490000e-02	8.72664625713556e-02	6.00000000199147e-01	1.23671999999981e+03	-1.00163836936169e-01	1.01434172802781e-01
6.97336288886227e-01	6.10090199230000e-02	8.72664625715617e-02	7.00000000221129e-01	1.36468666666636e+03	-1.19596505331346e-01	1.21615105288401e-01
7.96955758726999e-01	6.97245941980000e-02	8.72664625719303e-02	8.00000000252627e-01	1.38838666666634e+03	-1.55471876439123e-01	1.58957108289135e-01
8.96575228567164e-01	7.84401684730000e-02	8.72664625722757e-02	9.00000000283519e-01	1.31838666666640e+03	-2.19773255674527e-01	2.22613255433373e-01
9.96194698406656e-01	8.71557427480000e-02	8.72664625726108e-02	1.00000000031374e+00	1.18003999999986e+03	-3.04451744059387e-01	3.13463626985685e-01
1.09581416824541e+00	9.58713170220000e-02	8.72664625720377e-02	1.10000000034314e+00	1.09313333333331e+03	-4.23447419795734e-01	4.41438647724417e-01
1.19543363807336e+00	1.04586891300000e-01	8.72664625756655e-02	1.20000000036213e+00	9.68033333333364e+02	-5.75932473219349e-01	6.39628264270882e-01
1.29505310790045e+00	1.13302465570000e-01	8.72664625726624e-02	1.30000000037956e+00	8.92900000000041e+02	3.45749724820077e-02	3.11708823089179e+00
1.39467257772662e+00	1.22018039850000e-01	8.72664625772613e-02	1.40000000039695e+00	8.02690476190496e+02	3.28645498150532e-02	3.11847053165937e+00
1.49429204755182e+00	1.30733614120000e-01	8.72664625746620e-02	1.50000000041250e+00	7.44854166666694e+02	3.89361139504285e-02	3.11502874237444e+00
1.59391151737600e+00	1.39449188400000e-01	8.72664625786695e-02	1.60000000042790e+00	6.83216666666680e+02	3.42433599241287e-02	3.11614575309572e+00
1.69353098729912e+00	1.48164762670000e-01	8.72664625712730e-02	1.70000000054100e+00	6.39037037037056e+02	4.21601734111750e-02	3.11400947009128e+00
1.79315045712113e+00	1.56880336950000e-01	8.72664625751285e-02	1.80000000055424e+00	5.96151851851861e+02	4.18224522009141e-02	3.11378955860552e+00
1.89276992694200e+00	1.65595911220000e-01	8.72664625733874e-02	1.90000000056548e+00	5.62316666666681e+02	4.34761516671787e-02	3.11033380668657e+00
1.99238939676170e+00	1.74311485500000e-01	8.72664625768523e-02	2.00000000057642e+00	5.31316666666674e+02	4.49836798085888e-02	3.11029453677840e+00
2.09200886658019e+00	1.83027059770000e-01	8.72664625752936e-02	2.10000000058528e+00	5.06400000000012e+02	4.69668101711674e-02	3.10766345293102e+00
