tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
10	0.00000000000000e+00	1.00000000000000e+00	3.53723318008791e+02	1.94380715493030e+00	-4.08340545442018e-01	-4.94883464000000e+02	2.47689041399169e+01
20	0.00000000000000e+00	1.00000000000000e+00	3.21177527246022e+02	1.53569020919385e+00	-6.09197593755214e-01	-7.28438436000000e+02	2.66095714371127e+01
30	0.00000000000000e+00	1.00000000000000e+00	3.08721016916961e+02	1.35464797786444e+00	-6.89822884641631e-01	-8.40266453000000e+02	2.73833776390485e+01
40	0.00000000000000e+00	1.00000000000000e+00	3.00930083434492e+02	1.22774759825026e+00	-7.41400349223213e-01	-9.18772549000000e+02	2.78786472212939e+01
50	0.00000000000000e+00	1.00000000000000e+00	2.95951039498437e+02	1.12900116893389e+00	-7.74902007396861e-01	-9.72489152000000e+02	2.82216503018154e+01
60	0.00000000000000e+00	1.00000000000000e+00	2.92322199143397e+02	1.07655948076356e+00	-8.00211684596072e-01	-1.01471617000000e+03	2.84801124548122e+01
70	0.00000000000000e+00	1.00000000000000e+00	2.89575970418182e+02	1.02164087393951e+00	-8.19417582155120e-01	-1.04799303000000e+03	2.86708881602096e+01
80	0.00000000000000e+00	1.00000000000000e+00	2.87262902480756e+02	9.76934771302733e-01	-8.34636190442463e-01	-1.07508498000000e+03	2.68261964604751e+01
90	0.00000000000000e+00	1.00000000000000e+00	2.85491155179466e+02	9.38644854405073e-01	-8.47126180805457e-01	-1.09794082000000e+03	2.89723388999094e+01
100	0.00000000000000e+00	1.00000000000000e+00	2.83952385929149e+02	9.04098890379926e-01	-8.57486119285260e-01	-1.11728642000000e+03	2.91011768176463e+01
110	0.00000000000000e+00	1.00000000000000e+00	2.82736595085555e+02	8.76585350593624e-01	-8.66328449897013e-01	-1.13400859000000e+03	2.91920874919497e+01
120	0.00000000000000e+00	1.00000000000000e+00	2.81655314376513e+02	8.50728661274303e-01	-8.73982773576509e-01	-1.14871718000000e+03	2.92959443740659e+01
130	0.00000000000000e+00	1.00000000000000e+00	2.80692727923777e+02	8.27749039879513e-01	-8.80587530056306e-01	-1.16163101000000e+03	2.93498941219719e+01
140	0.00000000000000e+00	1.00000000000000e+00	2.79967482499449e+02	8.07242292021637e-01	-8.86474272659267e-01	-1.17318871000000e+03	2.94270120824755e+01
150	0.00000000000000e+00	1.00000000000000e+00	2.79174649856392e+02	7.87804177486402e-01	-8.91673906594119e-01	-1.18356519000000e+03	2.94987069965219e+01
160	0.00000000000000e+00	1.00000000000000e+00	3.18603319348334e+02	7.71020781968957e-01	-8.96354669042448e-01	-1.19294188000000e+03	3.38040657133434e+01
170	0.00000000000000e+00	1.00000000000000e+00	2.78020888453281e+02	7.54363338948697e-01	-9.00576680109344e-01	-1.20148501000000e+03	2.96183759625799e+01
180	0.00000000000000e+00	1.00000000000000e+00	2.77411118020307e+02	7.39466247161664e-01	-9.04429403814657e-01	-1.20930246000000e+03	2.96481705220648e+01
190	0.00000000000000e+00	1.00000000000000e+00	2.77035181090759e+02	7.26315866333589e-01	-9.07892871624881e-01	-1.21644714000000e+03	2.96953030666117e+01
200	0.00000000000000e+00	1.00000000000000e+00	2.76540139938503e+02	7.13259972321502e-01	-9.11100103663362e-01	-1.22306373000000e+03	2.97378675256408e+01
210	0.00000000000000e+00	1.00000000000000e+00	2.76182324127142e+02	7.01276692764507e-01	-9.14056212089297e-01	-1.22919459000000e+03	2.97852461163510e+01
220	0.00000000000000e+00	1.00000000000000e+00	2.75717970404280e+02	6.90296789228535e-01	-9.16774774200048e-01	-1.23487817000000e+03	2.97994424797849e+01
