t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
0.00000000e+00	0.00000000e+00	2.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.00000000e+00	0.00000000e+00	-0.00000000e+00	0.00000000e+00	-nan	0.00000000e+00	-0.00000000e+00
1.00000000e+01	1.04055120e-04	1.99972944e+00	8.28095242e-06	1.18053591e-04	-1.53657768e-02	9.39379285e-06	1.00011805e+00	0.00000000e+00	-6.32501800e-05	0.00000000e+00	5.01242270e-06	0.00000000e+00	-6.32501800e-05
2.00000000e+01	2.87165460e-03	1.99261743e+00	2.27905641e-04	1.11664051e-03	-4.72575200e-02	8.87412492e-05	1.00111664e+00	0.00000000e+00	-5.16716449e-03	0.00000000e+00	4.10939561e-04	0.00000000e+00	-5.16716449e-03
3.00000000e+01	8.57247228e-03	1.95413692e+00	6.67816160e-04	1.41715831e-03	-5.32381854e-02	1.11397147e-04	1.00141716e+00	0.00000000e+00	-1.61496377e-02	0.00000000e+00	1.30955543e-03	0.00000000e+00	-1.61496377e-02
4.00000000e+01	1.43596128e-02	1.87564305e+00	1.07330662e-03	1.55627612e-03	-5.57901248e-02	1.20489230e-04	1.00155628e+00	0.00000000e+00	-2.62561954e-02	0.00000000e+00	2.21786836e-03	0.00000000e+00	-2.62561954e-02
5.00000000e+01	2.01458156e-02	1.75647400e+00	1.40761033e-03	1.65578981e-03	-5.75461904e-02	1.26493715e-04	1.00165579e+00	0.00000000e+00	-3.50510962e-02	0.00000000e+00	3.16102638e-03	0.00000000e+00	-3.50510962e-02
6.00000000e+01	2.59321012e-02	1.59599849e+00	1.63881143e-03	1.70235429e-03	-5.83497424e-02	1.29014334e-04	1.00170235e+00	0.00000000e+00	-4.18124952e-02	0.00000000e+00	4.14898449e-03	0.00000000e+00	-4.18124952e-02
7.00000000e+01	3.17199219e-02	1.39414403e+00	1.73302237e-03	1.68033609e-03	-5.79711699e-02	1.27351052e-04	1.00168034e+00	0.00000000e+00	-4.56631203e-02	0.00000000e+00	5.18595487e-03	0.00000000e+00	-4.56631203e-02
8.00000000e+01	3.75111211e-02	1.15211202e+00	1.65603387e-03	1.57545899e-03	-5.61329144e-02	1.20584160e-04	1.00157546e+00	0.00000000e+00	-4.56104263e-02	0.00000000e+00	6.26720243e-03	0.00000000e+00	-4.56104263e-02
9.00000000e+01	4.33076024e-02	8.73222117e-01	1.37690280e-03	1.38177569e-03	-5.25693869e-02	1.07813663e-04	1.00138178e+00	0.00000000e+00	-4.06838302e-02	0.00000000e+00	7.37597649e-03	0.00000000e+00	-4.06838302e-02
1.00000000e+02	4.91106142e-02	5.63669377e-01	8.73534986e-04	1.11035326e-03	-4.71242970e-02	8.85922689e-05	1.00111035e+00	0.00000000e+00	-3.01840495e-02	0.00000000e+00	8.48243300e-03	0.00000000e+00	-3.01840495e-02
1.10000000e+02	5.49198442e-02	2.32832473e-01	1.39228603e-04	7.94424854e-04	-3.98603361e-02	6.34540575e-05	1.00079443e+00	0.00000000e+00	-1.39895706e-02	0.00000000e+00	9.54689579e-03	0.00000000e+00	-1.39895706e-02
1.20000000e+02	6.07329137e-02	-1.07228902e-01	-8.12196337e-04	4.84351371e-04	-3.11239824e-02	3.42428524e-05	1.00048435e+00	0.00000000e+00	7.22721265e-03	0.00000000e+00	1.05284660e-02	0.00000000e+00	7.22721265e-03
1.30000000e+02	6.65458903e-02	-4.43165238e-01	-1.94548582e-03	2.31295903e-04	-2.15079638e-02	3.90178808e-06	1.00023130e+00	0.00000000e+00	3.20421001e-02	0.00000000e+00	1.13965341e-02	0.00000000e+00	3.20421001e-02
1.40000000e+02	7.23547305e-02	-7.62214678e-01	-3.20852050e-03	6.85565079e-05	-1.17095326e-02	-2.43049891e-05	1.00006856e+00	0.00000000e+00	5.86160299e-02	0.00000000e+00	1.21397096e-02	0.00000000e+00	5.86160299e-02
1.50000000e+02	7.81567315e-02	-1.05385413e+00	-4.54076481e-03	2.77408841e-06	-2.35513526e-03	-4.77168877e-05	1.00000277e+00	0.00000000e+00	8.51619293e-02	0.00000000e+00	1.27676212e-02	0.00000000e+00	8.51619293e-02
