t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
0.00000000e+00	0.00000000e+00	2.00000000e+00	0.00000000e+00	-1.00000000e+00	0.00000000e+00	0.00000000e+00	1.41421356e+00	0.00000000e+00	-0.00000000e+00	0.00000000e+00	-nan	0.00000000e+00	-0.00000000e+00
5.00000000e-02	-3.53553391e-02	2.00000000e+00	3.25517653e-24	-1.00000000e+00	2.46638271e-10	1.00253730e-21	1.41421356e+00	0.00000000e+00	1.42453717e-08	0.00000000e+00	-1.13361066e-09	0.00000000e+00	1.42453717e-08
1.00000000e-01	-7.07106781e-02	2.00000000e+00	5.57672316e-21	-1.00000000e+00	7.09411916e-09	8.29432993e-19	1.41421356e+00	0.00000000e+00	1.95758650e-07	0.00000000e+00	-1.55779784e-08	0.00000000e+00	1.95758650e-07
1.50000000e-01	-1.06066017e-01	2.00000000e+00	3.54041722e-19	-1.00000000e+00	4.46850743e-08	3.29086007e-17	1.41421356e+00	0.00000000e+00	7.50916318e-07	0.00000000e+00	-5.97560219e-08	0.00000000e+00	7.50916318e-07
2.00000000e-01	-1.41421356e-01	2.00000000e+00	5.28729059e-18	-1.00000000e+00	1.41360469e-07	3.29336910e-16	1.41421356e+00	0.00000000e+00	1.49409234e-06	0.00000000e+00	-1.18896090e-07	0.00000000e+00	1.49409234e-06
2.50000000e-01	-1.76776695e-01	2.00000001e+00	3.20504732e-17	-1.00000000e+00	2.80486120e-07	1.29660353e-15	1.41421356e+00	0.00000000e+00	1.54208817e-06	0.00000000e+00	-1.22715477e-07	0.00000000e+00	1.54208817e-06
3.00000000e-01	-2.12132034e-01	2.00000002e+00	9.47501831e-17	-1.00000000e+00	3.46052966e-07	1.97364755e-15	1.41421356e+00	0.00000000e+00	-4.56641946e-07	0.00000000e+00	3.63384110e-08	0.00000000e+00	-4.56641946e-07
3.50000000e-01	-2.47487373e-01	2.00000003e+00	1.38733344e-16	-1.00000000e+00	1.15280681e-07	2.19026910e-16	1.41421356e+00	0.00000000e+00	-5.46983811e-06	0.00000000e+00	4.35275879e-07	0.00000000e+00	-5.46983811e-06
4.00000000e-01	-2.82842712e-01	2.00000002e+00	1.96008354e-16	-1.00000000e+00	-6.60026115e-07	7.17970643e-15	1.41421356e+00	0.00000000e+00	-1.29445617e-05	0.00000000e+00	1.03009547e-06	0.00000000e+00	-1.29445617e-05
4.50000000e-01	-3.18198052e-01	1.99999998e+00	1.31379464e-15	-1.00000000e+00	-2.08611899e-06	7.17236870e-14	1.41421356e+00	0.00000000e+00	-2.00537749e-05	0.00000000e+00	1.59582872e-06	0.00000000e+00	-2.00537749e-05
