phi	r	period	raio_max	px_mean
.00000000000000e+00	1.10000000000000e+00	3.83421824702175e+03	8.99973963571095e-01	-1.98518316600362e+01
.00000000000000e+00	1.20000000000000e+00	3.84923839397512e+03	9.86923665223804e-01	-1.98242299905250e+01
.00000000000000e+00	1.30000000000000e+00	3.81001025379645e+03	1.07366322183884e+00	-1.97945028424250e+01
.00000000000000e+00	1.40000000000000e+00	3.83894240379447e+03	1.16197974493968e+00	-1.97626510931837e+01
.00000000000000e+00	1.50000000000000e+00	3.84386875602405e+03	1.25286096522401e+00	-1.97288653466200e+01
.00000000000000e+00	1.60000000000000e+00	3.81826390013713e+03	1.34397380508165e+00	-1.96931440314808e+01
.00000000000000e+00	1.70000000000000e+00	3.85398921511448e+03	1.43836109582033e+00	-1.96557092579482e+01
.00000000000000e+00	1.80000000000000e+00	3.84906551703786e+03	1.53273523378734e+00	-1.96166676819088e+01
.00000000000000e+00	1.90000000000000e+00	3.82791775635020e+03	1.63143113354568e+00	-1.95761777103017e+01
.00000000000000e+00	2.00000000000000e+00	3.89479076200215e+03	1.73040267521093e+00	-1.95344791979493e+01
.00000000000000e+00	2.10000000000000e+00	3.90912249795841e+03	1.83272300883591e+00	-1.94918874286675e+01
.00000000000000e+00	2.20000000000000e+00	3.90975007387079e+03	1.93871752902904e+00	-1.94486311694683e+01
.00000000000000e+00	2.30000000000000e+00	3.98538076834322e+03	2.04590251115419e+00	-1.94052240813486e+01
.00000000000000e+00	2.40000000000000e+00	4.06076778081668e+03	2.15609761235466e+00	-1.93616781147204e+01
.00000000000000e+00	2.50000000000000e+00	4.12213259934227e+03	2.27005831725698e+00	-1.93191396461026e+01
.00000000000000e+00	2.60000000000000e+00	4.21222007444069e+03	2.38659878712284e+00	-1.92775374848050e+01
.00000000000000e+00	2.70000000000000e+00	4.33930634995486e+03	2.50734755242370e+00	-1.92378577410251e+01
.00000000000000e+00	2.80000000000000e+00	4.47240321334523e+03	2.62930798081714e+00	-1.92004716571456e+01
.00000000000000e+00	2.90000000000000e+00	4.66396232103496e+03	2.75488300318324e+00	-1.91664430802154e+01
.00000000000000e+00	3.00000000000000e+00	4.91421882930901e+03	2.88173141719589e+00	-1.91359694188429e+01
.00000000000000e+00	3.10000000000000e+00	5.11742174187380e+03	3.01115266038379e+00	-1.91101877970106e+01
.00000000000000e+00	3.20000000000000e+00	5.63405984621586e+03	3.14186145726066e+00	-1.90890837556202e+01
.00000000000000e+00	3.40000000000000e+00	6.56371556428592e+03	3.40337483896796e+00	-1.90629447760686e+01
.00000000000000e+00	3.50000000000000e+00	6.47967084500963e+03	3.53340533543464e+00	-1.90586193990614e+01
